source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
benchmark_pareto,0.96,2.0,0.96,1.0,Completed,1189.0,54.0,6.0,571.0,96.0
benchmark_max_rt,,737.0,,303.0,Completed,1577.0,5.0,335.0,1398.0,1.0
benchmark_min_acc,0.96,,0.96,,Completed,1984.0,6.0,295.0,1520.0,144.0
paper_default,-1.0,-1.0,0.96,2.0,Completed,2000.0,0.0,16.0,2000.0,500.0
recommendation_system,0.2278978336305699,0.8818299715959993,0.96,1.0,Completed,599.0,18.0,6.0,584.0,145.0
recommendation_system,0.2617658053723753,0.8813218256870533,0.96,1.0,Completed,625.0,12.0,11.0,624.0,156.0
recommendation_system,0.4260295128088147,0.8802530241573938,0.96,1.0,Completed,599.0,3.0,6.0,593.0,147.0
recommendation_system,0.465001802427661,0.860775476909017,0.96,1.0,Completed,862.0,3.0,24.0,601.0,132.0
recommendation_system,0.4939746657818702,0.8547328350311714,0.96,1.0,Completed,1348.0,3.0,30.0,630.0,131.0
recommendation_system,0.5024701553924215,0.822140253017111,0.96,1.0,Completed,1286.0,3.0,36.0,537.0,108.0
recommendation_system,0.5301741701574666,0.8203381739282177,0.96,1.0,Completed,1171.0,3.0,34.0,493.0,98.0
recommendation_system,0.2260524795045141,0.880254620694916,0.96,1.0,Completed,686.0,19.0,20.0,618.0,144.0
recommendation_system,0.2556773412550291,0.8783222760636211,0.96,1.0,Completed,599.0,12.0,20.0,587.0,129.0
recommendation_system,0.3460940442121853,0.8758020039976759,0.96,1.0,Completed,686.0,26.0,20.0,606.0,145.0
recommendation_system,0.4555301712219872,0.8631575546515561,0.96,1.0,Completed,1070.0,3.0,6.0,778.0,166.0
recommendation_system,0.4893760455117307,0.8328324673540158,0.96,1.0,Completed,1171.0,3.0,26.0,640.0,120.0
recommendation_system,0.5007343708957188,0.8184129797045593,0.96,1.0,Completed,1171.0,3.0,60.0,513.0,116.0
recommendation_system,0.507060036566989,0.8150970610876895,0.96,1.0,Completed,923.0,3.0,60.0,463.0,105.0
recommendation_system,0.3431245092143282,0.8719010142585455,0.96,1.0,Completed,923.0,28.0,6.0,698.0,171.0
recommendation_system,0.4348399606680214,0.8681187681748065,0.96,1.0,Completed,713.0,3.0,6.0,660.0,160.0
recommendation_system,0.4576341279222484,0.8562709391734834,0.96,1.0,Completed,752.0,3.0,34.0,584.0,134.0
recommendation_system,0.4667966730261428,0.8500613037778147,0.96,1.0,Completed,752.0,3.0,34.0,515.0,122.0
recommendation_system,0.4888882460287839,0.8298349147793748,0.96,1.0,Completed,1171.0,3.0,23.0,421.0,94.0
recommendation_system,0.5022930474333986,0.8074832418420195,0.96,1.0,Completed,1276.0,3.0,53.0,518.0,103.0
