source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
benchmark_pareto,0.11,331.0,0.11,208.0,Completed,1753.0,10.0,16.0,228.0,49.0
benchmark_pareto,0.19,386.0,0.19,258.0,Completed,1953.0,26.0,58.0,891.0,189.0
benchmark_max_rt,,13022.0,,8193.0,Completed,1783.0,21.0,102.0,1053.0,4.0
benchmark_min_acc,0.1,,0.1,,Completed,1424.0,2.0,307.0,401.0,73.0
paper_default,-1.0,-1.0,0.11,276.0,Completed,2000.0,0.0,16.0,2000.0,500.0
recommendation_system,0.3740702065447303,0.8493404217626581,0.1,178.0,Completed,681.0,19.0,3.0,679.0,165.0
recommendation_system,0.3794627348513123,0.8488346347568214,0.1,181.0,Completed,681.0,18.0,3.0,648.0,151.0
recommendation_system,0.4681704719837416,0.8403057127570474,0.1,177.0,Completed,710.0,8.0,2.0,620.0,151.0
recommendation_system,0.4753797436854545,0.8310795226844783,0.1,180.0,Completed,681.0,8.0,12.0,643.0,147.0
recommendation_system,0.4807925791132675,0.8051369834649708,0.1,186.0,Completed,627.0,8.0,53.0,617.0,148.0
recommendation_system,0.4880753805317075,0.7900294015458224,0.1,192.0,Completed,681.0,8.0,67.0,652.0,158.0
recommendation_system,0.4927654390112394,0.7814904253691534,0.1,213.0,Completed,681.0,8.0,75.0,647.0,154.0
recommendation_system,0.554274998963128,0.6753652769679234,0.11,357.0,Completed,4756.0,9.0,159.0,939.0,217.0
recommendation_system,0.5551543330844835,0.6713319137770145,0.11,331.0,Completed,4708.0,9.0,173.0,924.0,217.0
recommendation_system,0.5597380241383595,0.6666600342431845,0.11,320.0,Completed,4788.0,9.0,175.0,898.0,197.0
recommendation_system,0.5726082648998372,0.6630652285678279,0.11,336.0,Completed,4752.0,9.0,172.0,938.0,233.0
recommendation_system,0.3760365808137361,0.8463633107070921,0.1,142.0,Completed,681.0,18.0,3.0,672.0,158.0
recommendation_system,0.3841216405375136,0.8447144946771478,0.1,150.0,Completed,681.0,16.0,6.0,630.0,157.0
recommendation_system,0.3873384813985314,0.8438116687506975,0.1,141.0,Completed,681.0,15.0,3.0,672.0,164.0
recommendation_system,0.4657150989175063,0.8414030354806625,0.1,164.0,Completed,681.0,8.0,3.0,644.0,156.0
recommendation_system,0.4995262535772052,0.7711097820357105,0.1,218.0,Completed,681.0,8.0,88.0,674.0,157.0
recommendation_system,0.5348283563518724,0.7298717611482837,0.1,229.0,Completed,681.0,8.0,148.0,672.0,154.0
recommendation_system,0.5475726691136822,0.722982486117388,0.1,232.0,Completed,681.0,8.0,159.0,645.0,152.0
recommendation_system,0.5541086070673128,0.6721324239110454,0.11,461.0,Completed,4729.0,9.0,163.0,956.0,215.0
recommendation_system,0.5623734913524938,0.6610856918531269,0.11,476.0,Completed,4766.0,9.0,176.0,946.0,221.0
