source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
benchmark_pareto,0.41,2612.0,0.41,2294.0,Completed,1319.0,3.0,66.0,693.0,147.0
benchmark_pareto,0.5,3192.0,0.5,2305.0,Completed,1874.0,1.0,6.0,476.0,111.0
benchmark_pareto,0.54,3515.0,0.54,2453.0,Completed,1059.0,5.0,121.0,96.0,21.0
benchmark_pareto,0.56,3667.0,0.56,2618.0,Completed,636.0,7.0,10.0,280.0,65.0
benchmark_max_rt,,14382.0,,8838.0,Completed,1084.0,8.0,449.0,241.0,26.0
benchmark_min_acc,0.41,,0.41,,Completed,1492.0,3.0,175.0,766.0,144.0
paper_default,-1.0,-1.0,0.5,2316.0,Completed,2000.0,0.0,16.0,2000.0,500.0
recommendation_system,0.193426383877345,0.8731722889336475,0.5,4070.0,Completed,1084.0,8.0,3.0,991.0,242.0
recommendation_system,0.3800502709689906,0.8727469952381525,0.41,2872.0,Completed,976.0,3.0,4.0,971.0,235.0
recommendation_system,0.3975539394504959,0.8718700166435714,0.41,1954.0,Completed,1107.0,3.0,7.0,977.0,243.0
recommendation_system,0.4259818613533616,0.8666620254043474,0.41,1618.0,Completed,1679.0,3.0,4.0,1020.0,243.0
recommendation_system,0.4285401421518907,0.8566082693546361,0.41,2035.0,Completed,1618.0,3.0,4.0,1156.0,280.0
recommendation_system,0.4762626671090649,0.8319271630479601,0.41,1813.0,Completed,1679.0,3.0,19.0,1555.0,387.0
recommendation_system,0.4782046489845574,0.8217301665468862,0.41,1857.0,Completed,1765.0,3.0,27.0,1597.0,389.0
recommendation_system,0.496424704146102,0.81546242621552,0.41,1729.0,Completed,1738.0,3.0,26.0,1542.0,370.0
recommendation_system,0.5015842786141872,0.8060821090950158,0.41,2259.0,Completed,1731.0,3.0,33.0,1550.0,369.0
recommendation_system,0.3879973988673595,0.8718347973466543,0.41,2003.0,Completed,1024.0,3.0,5.0,1017.0,239.0
recommendation_system,0.3884205822691263,0.8693103176701252,0.41,2196.0,Completed,1092.0,3.0,3.0,1049.0,250.0
recommendation_system,0.4241272013088453,0.8575162340066049,0.41,1775.0,Completed,1391.0,3.0,11.0,1042.0,250.0
recommendation_system,0.4529427958193354,0.8403453644176501,0.41,1927.0,Completed,1628.0,3.0,8.0,1579.0,389.0
recommendation_system,0.4560549904607853,0.8378738945601006,0.41,1800.0,Completed,1608.0,3.0,7.0,1553.0,377.0
recommendation_system,0.4681329061424243,0.8336323350482628,0.41,1806.0,Completed,1649.0,3.0,19.0,1584.0,390.0
recommendation_system,0.4755413158585982,0.8170649753506838,0.41,2032.0,Completed,1673.0,3.0,21.0,1444.0,284.0
recommendation_system,0.4766479770644103,0.8161703264572211,0.41,1391.0,Completed,1625.0,3.0,27.0,1558.0,388.0
recommendation_system,0.4812853227434227,0.8151334957216122,0.41,1529.0,Completed,1683.0,3.0,32.0,1627.0,403.0
recommendation_system,0.4960543337757317,0.8137999914179989,0.41,1457.0,Completed,1728.0,3.0,26.0,1539.0,371.0
recommendation_system,0.4998486600168664,0.8034553353020837,0.41,1590.0,Completed,1716.0,3.0,34.0,1540.0,368.0
