source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
benchmark_pareto,0.66,47.0,0.66,31.0,Completed,3277.0,1.0,5.0,604.0,150.0
benchmark_pareto,0.68,49.0,0.68,33.0,Completed,699.0,7.0,4.0,624.0,135.0
benchmark_pareto,0.69,62.0,0.69,44.0,Completed,1802.0,3.0,10.0,1629.0,393.0
benchmark_pareto,0.7,135.0,0.7,72.0,Completed,1173.0,3.0,158.0,497.0,101.0
benchmark_max_rt,,13358.0,,8016.0,Completed,1951.0,3.0,101.0,1419.0,1.0
benchmark_min_acc,0.66,,0.66,,Completed,1131.0,1.0,249.0,773.0,183.0
paper_default,-1.0,-1.0,0.68,53.0,Completed,2000.0,0.0,16.0,2000.0,500.0
recommendation_system,0.6193472222222228,0.8652277524034571,0.69,41.0,Completed,1901.0,3.0,16.0,646.0,128.0
recommendation_system,0.6217025666016899,0.8602279217763985,0.69,48.0,Completed,1624.0,3.0,33.0,650.0,129.0
recommendation_system,0.6310550682261215,0.8280379359795085,0.69,36.0,Completed,3605.0,3.0,14.0,778.0,166.0
recommendation_system,0.644352664067577,0.820360720936698,0.69,38.0,Completed,3380.0,3.0,19.0,802.0,170.0
recommendation_system,0.6506652046783631,0.7956078386507924,0.69,56.0,Completed,4655.0,3.0,15.0,1756.0,270.0
recommendation_system,0.6720225795971415,0.7540429256767409,0.69,98.0,Completed,4321.0,3.0,61.0,1734.0,282.0
recommendation_system,0.6006686159844057,0.873876748231924,0.69,34.0,Completed,1476.0,3.0,13.0,578.0,137.0
recommendation_system,0.609027940220923,0.8619113343851927,0.69,34.0,Completed,2694.0,3.0,19.0,575.0,131.0
recommendation_system,0.6213146523716704,0.8451015137399555,0.69,46.0,Completed,1777.0,3.0,24.0,1314.0,293.0
recommendation_system,0.6293620045484086,0.8290640552728652,0.69,32.0,Completed,3282.0,3.0,8.0,768.0,166.0
recommendation_system,0.6300886127355424,0.8234682421570585,0.69,37.0,Completed,4801.0,3.0,15.0,775.0,165.0
recommendation_system,0.6382137751786878,0.8160879698271051,0.69,40.0,Completed,3260.0,3.0,24.0,801.0,173.0
recommendation_system,0.6456581384015595,0.7774026414901851,0.69,59.0,Completed,4801.0,3.0,65.0,768.0,166.0
recommendation_system,0.6470422352176745,0.7748726633160895,0.69,82.0,Completed,3727.0,3.0,56.0,1744.0,298.0
recommendation_system,0.6620653021442499,0.7568869819201947,0.69,88.0,Completed,4122.0,3.0,52.0,1705.0,261.0
recommendation_system,0.662465237166992,0.74135002618329,0.69,95.0,Completed,4072.0,3.0,74.0,1749.0,292.0
recommendation_system,0.6712059779077322,0.6966860543716507,0.69,96.0,Completed,4711.0,3.0,155.0,804.0,167.0
recommendation_system,0.6762483755685509,0.6961902555656863,0.69,97.0,Completed,4721.0,3.0,147.0,831.0,182.0
recommendation_system,0.6789879792072774,0.6759886799867462,0.69,111.0,Completed,4925.0,3.0,182.0,831.0,178.0
recommendation_system,0.679929012345679,0.6557756413622254,0.69,146.0,Completed,4787.0,3.0,196.0,1023.0,184.0
