source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,delta
benchmark_pareto,0.91,0.0,0.91,0.0,Completed,4614.0,0.032
benchmark_max_rt,,1.0,,1.0,Completed,3280.0,0.404
benchmark_min_acc,0.91,,0.91,,Completed,4614.0,0.032
paper_default,-1.0,-1.0,0.91,0.0,Completed,500.0,0.001
paper_default,-1.0,-1.0,0.91,0.0,Completed,2000.0,0.001
recommendation_system,0.3614354156645821,0.8641933404004712,0.91,0.0,Completed,8.0,0.3046425184411928
recommendation_system,0.3661488195446529,0.8454175549053121,0.91,0.0,Completed,8.0,0.518873931135051
recommendation_system,0.3661756353214686,0.8404765775731884,0.91,0.0,Completed,10.0,0.5070743121644482
recommendation_system,0.3691934824434822,0.8299490334903797,0.91,0.0,Completed,12.0,0.4248444891357794
recommendation_system,0.3695320165945165,0.8117973454746163,0.91,0.0,Completed,12.0,0.5586247821282595
recommendation_system,0.3706661355619688,0.7806346008168846,0.91,0.0,Completed,32.0,0.4263448010161519
recommendation_system,0.3735270462562128,0.7625022807655599,0.91,0.0,Completed,41.0,0.4238063449412584
recommendation_system,0.3740148709315375,0.7481884909284737,0.91,0.0,Completed,83.0,0.2404224557708948
recommendation_system,0.3777398789482123,0.7380026421184758,0.91,0.0,Completed,64.0,0.1508871256560087
recommendation_system,0.3803684964726633,0.7347739236080233,0.91,0.0,Completed,61.0,0.1272014556294307
recommendation_system,0.3804587842712845,0.7266636397824601,0.91,0.0,Completed,77.0,0.1361264698132872
recommendation_system,0.6986015812890815,0.3956689785529709,0.91,0.0,Completed,2541.0,0.0024728847630321
recommendation_system,0.7562246071829397,0.3858395829004427,0.91,0.0,Completed,2600.0,0.0022254058904945
recommendation_system,0.778724887766554,0.3185888539037705,0.91,0.0,Completed,2719.0,0.0020820512874051
recommendation_system,0.7793009760301424,0.2962629608462509,0.91,0.0,Completed,1431.0,0.0046921442728489
recommendation_system,0.8169604454641224,0.2408710392362063,0.91,0.0,Completed,4979.0,0.0143799465643242
recommendation_system,0.823790544332211,0.1933572870869306,0.91,0.0,Completed,3500.0,0.0021138896048069
recommendation_system,0.8295386904761906,0.1656541339677848,0.91,0.0,Completed,3789.0,0.0045233962694182
recommendation_system,0.8419954605579603,0.1585002419090194,0.91,0.0,Completed,3639.0,0.002441989830695
recommendation_system,0.8708709816418148,0.1294054018113468,0.91,0.0,Completed,3972.0,0.0020691252406686
