source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,delta
benchmark_pareto,0.73,1.0,0.73,1.0,Completed,1226.0,0.972
benchmark_pareto,0.74,2.0,0.74,2.0,Completed,4985.0,0.04
benchmark_max_rt,,6.0,,5.0,Completed,5000.0,0.004
benchmark_min_acc,0.72,,0.72,,Completed,265.0,0.042
paper_default,-1.0,-1.0,0.74,6.0,Completed,2000.0,0.001
recommendation_system,0.5165039582331242,0.8944217717875714,0.73,1.0,Completed,1.0,0.3039460716191679
recommendation_system,0.519683672037838,0.8783768866819567,0.73,1.0,Completed,2.0,0.2915883109243142
recommendation_system,0.5267775372775376,0.8650883650833421,0.73,1.0,Completed,1.0,0.550172432884574
recommendation_system,0.5386871693121698,0.851742462706583,0.73,1.0,Completed,1.0,0.6240524180158973
recommendation_system,0.5396962882796221,0.8347524139324835,0.73,1.0,Completed,6.0,0.6207437869738788
recommendation_system,0.5416811067019398,0.7441625047888171,0.73,1.0,Completed,3.0,0.0040384527764307
recommendation_system,0.5441956970498635,0.7407412730594005,0.73,1.0,Completed,5.0,0.0043506775216893
recommendation_system,0.5453981381273049,0.7291365254310087,0.73,1.0,Completed,9.0,0.0043127029932257
recommendation_system,0.5529984567901242,0.6363123837041618,0.73,1.0,Completed,599.0,0.7359494269248098
recommendation_system,0.5541095278178619,0.632600227347595,0.73,1.0,Completed,624.0,0.7306054849469266
recommendation_system,0.6330727212602214,0.5694175293591346,0.73,1.0,Completed,241.0,0.0033286716956645
recommendation_system,0.6644318823152158,0.5497003583877833,0.73,1.0,Completed,295.0,0.0028973493091762
recommendation_system,0.6920540624498954,0.5151288234217144,0.73,1.0,Completed,347.0,0.0052500949464738
recommendation_system,0.7453578832206286,0.4886123859233717,0.74,3.0,Completed,617.0,0.0018298887461423
recommendation_system,0.7747854136604139,0.47329557380996,0.73,1.0,Completed,534.0,0.0040349590913441
recommendation_system,0.7962790604457275,0.4363095843599097,0.73,1.0,Completed,718.0,0.0041687872894108
recommendation_system,0.8312800232719351,0.413647548820237,0.74,3.0,Completed,727.0,0.0011875231880694
recommendation_system,0.8347374539041206,0.4117902948119007,0.74,3.0,Completed,862.0,0.0013369998633861
recommendation_system,0.8576831309122976,0.3725015448960838,0.74,3.0,Completed,1214.0,0.0016984668765557
recommendation_system,0.8734380912297578,0.3657366996718072,0.74,3.0,Completed,1238.0,0.0010542758125811
