source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,delta
benchmark_pareto,0.32,14.0,0.32,10.0,Completed,1.0,0.076
benchmark_pareto,0.33,26.0,0.33,17.0,Completed,10.0,0.054
benchmark_pareto,0.36,47.0,0.36,30.0,Completed,2140.0,0.14
benchmark_pareto,0.37,56.0,0.37,34.0,Completed,51.0,0.001
benchmark_pareto,0.38,57.0,0.38,35.0,Completed,109.0,0.056
benchmark_pareto,0.4,61.0,0.4,36.0,Completed,2857.0,0.121
benchmark_pareto,0.44,62.0,0.44,41.0,Completed,2272.0,0.038
benchmark_pareto,0.45,68.0,0.45,45.0,Completed,2920.0,0.108
benchmark_pareto,0.46,74.0,0.46,48.0,Completed,3124.0,0.106
benchmark_pareto,0.47,78.0,0.47,49.0,Completed,176.0,0.001
benchmark_pareto,0.48,81.0,0.48,50.0,Completed,312.0,0.001
benchmark_pareto,0.49,82.0,0.49,51.0,Completed,3918.0,0.148
benchmark_pareto,0.51,83.0,0.5,52.0,Completed,588.0,0.041
benchmark_pareto,0.52,88.0,0.51,55.0,Completed,827.0,0.033
benchmark_pareto,0.53,94.0,0.52,72.0,Completed,1976.0,0.065
benchmark_pareto,0.55,106.0,0.55,76.0,Completed,483.0,0.001
benchmark_pareto,0.56,121.0,0.56,86.0,Completed,2648.0,0.001
benchmark_pareto,0.57,143.0,0.57,93.0,Completed,3481.0,0.024
benchmark_pareto,0.59,157.0,0.58,100.0,Completed,4738.0,0.029
benchmark_pareto,0.6,200.0,0.59,128.0,Completed,3933.0,0.003
benchmark_pareto,0.61,242.0,0.6,153.0,Completed,4448.0,0.006
benchmark_max_rt,,273.0,,188.0,Completed,4688.0,0.005
benchmark_min_acc,0.28,,0.28,,Completed,2407.0,0.999
paper_default,-1.0,-1.0,0.6,104.0,Completed,2000.0,0.001
recommendation_system,0.4918407687991017,0.8895946135785414,0.32,9.0,Completed,1.0,0.0011736058667302
recommendation_system,0.4929771324354652,0.8884570137003586,0.3,8.0,Completed,1.0,0.0014040105958392
recommendation_system,0.4969558080808077,0.8746219130064052,0.32,9.0,Completed,4.0,0.0013100426132346
recommendation_system,0.5099136503928167,0.861642212267215,0.32,9.0,Completed,1.0,0.0031642543394495
recommendation_system,0.5099857603815935,0.8528170331422125,0.34,14.0,Completed,10.0,0.0010155474330989
recommendation_system,0.5112840909090905,0.8465136072889177,0.33,11.0,Completed,5.0,0.0024415327497341
recommendation_system,0.522579335016835,0.8286484951231455,0.33,11.0,Completed,7.0,0.0043503715563565
recommendation_system,0.5463739478114473,0.7745594954619974,0.36,24.0,Completed,26.0,0.0039729744469337
recommendation_system,0.5529557379349046,0.7423168193200048,0.37,27.0,Completed,56.0,0.009876156353644
recommendation_system,0.614830878226711,0.7006311671297248,0.43,33.0,Completed,99.0,0.0108230517115443
recommendation_system,0.656687219416385,0.6612786381199015,0.45,35.0,Completed,122.0,0.0020960643384605
recommendation_system,0.6572333052749705,0.6499939922145657,0.44,34.0,Completed,128.0,0.001775253651254
recommendation_system,0.6624833052749715,0.6295494911789702,0.46,36.0,Completed,178.0,0.007051849419251
recommendation_system,0.7587829685746346,0.495227961059524,0.51,47.0,Completed,2548.0,0.0254585887936389
recommendation_system,0.7759404461279454,0.4604416926530337,0.51,47.0,Completed,2645.0,0.0252483692076057
recommendation_system,0.7846723484848478,0.4469754694312188,0.52,52.0,Completed,2686.0,0.0253580615147948
recommendation_system,0.7884356219117571,0.4440406150028504,0.56,63.0,Completed,2601.0,0.0011578067317605
recommendation_system,0.7968080966592321,0.4204499714125586,0.55,62.0,Completed,2617.0,0.0015852469057104
recommendation_system,0.8733033810325475,0.1897097193528808,0.59,93.0,Completed,4182.0,0.005211930161342
recommendation_system,0.8755648849607179,0.1833913800133947,0.6,99.0,Completed,4168.0,0.0049089740775525
