source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,delta
benchmark_pareto,0.58,46.0,0.57,41.0,Completed,1.0,0.061
benchmark_pareto,0.59,47.0,0.58,42.0,Completed,1.0,0.14
benchmark_pareto,0.6,118.0,0.59,74.0,Completed,42.0,0.247
benchmark_pareto,0.61,136.0,0.61,85.0,Completed,251.0,0.781
benchmark_pareto,0.63,145.0,0.63,136.0,Completed,94.0,0.101
benchmark_pareto,0.64,187.0,0.64,142.0,Completed,520.0,0.488
benchmark_pareto,0.65,221.0,0.65,153.0,Completed,665.0,0.511
benchmark_pareto,0.66,283.0,0.66,168.0,Completed,2432.0,0.084
benchmark_pareto,0.67,304.0,0.67,179.0,Completed,2464.0,0.069
benchmark_pareto,0.68,338.0,0.68,241.0,Completed,2553.0,0.046
benchmark_pareto,0.69,415.0,0.69,337.0,Completed,2705.0,0.048
benchmark_pareto,0.7,462.0,0.7,357.0,Completed,2446.0,0.001
benchmark_pareto,0.71,517.0,0.71,395.0,Completed,2625.0,0.013
benchmark_pareto,0.73,733.0,0.72,533.0,Completed,2637.0,0.001
benchmark_pareto,0.74,1449.0,0.74,1152.0,Completed,3960.0,0.001
benchmark_max_rt,,1595.0,,1255.0,Completed,4378.0,0.001
benchmark_min_acc,0.56,,0.56,,Completed,816.0,0.188
paper_default,-1.0,-1.0,0.71,632.0,Completed,2000.0,0.001
recommendation_system,0.3910158229116566,0.8492463312829882,0.58,33.0,Completed,6.0,0.2997094510532915
recommendation_system,0.4016718474426812,0.8457244653931195,0.58,22.0,Completed,1.0,0.1080506579820066
recommendation_system,0.4109322891614563,0.8363809737378454,0.58,23.0,Completed,1.0,0.0755089209228754
recommendation_system,0.4694425304633642,0.7555421112378249,0.59,25.0,Completed,3.0,0.0026470715789555
recommendation_system,0.4822318322109994,0.7332502455588874,0.6,34.0,Completed,7.0,0.0057903593312948
recommendation_system,0.5030457451499115,0.711336792110605,0.58,39.0,Completed,2008.0,0.3369032521713525
recommendation_system,0.5567631874298546,0.6508822895085699,0.65,75.0,Completed,50.0,0.004938799297437
recommendation_system,0.5818305675805676,0.634723421636129,0.59,90.0,Completed,74.0,0.002584362663048
recommendation_system,0.6058869648869651,0.6194251712846224,0.59,103.0,Completed,97.0,0.0013313573038136
recommendation_system,0.7175278178611517,0.5284996391239836,0.66,116.0,Completed,2102.0,0.0010919802840799
recommendation_system,0.7295652156485495,0.516650858073633,0.68,156.0,Completed,2286.0,0.0020864866077899
recommendation_system,0.7502886303511302,0.5114151903270141,0.67,153.0,Completed,2237.0,0.0067906329538673
recommendation_system,0.7783217492384156,0.4815373564293966,0.69,205.0,Completed,2430.0,0.0067251627258956
recommendation_system,0.7807354296937625,0.4795470377936966,0.61,54.0,Completed,2024.0,0.0063393500815551
recommendation_system,0.8148123476831803,0.4518930530157771,0.71,233.0,Completed,2625.0,0.0045731683503836
recommendation_system,0.8246609147025807,0.4280241167694479,0.72,247.0,Completed,2691.0,0.0052571885846555
recommendation_system,0.9181020222061892,0.2881575281354433,0.65,299.0,Completed,3946.0,0.004301600607112
recommendation_system,0.920881283068784,0.2824977189767972,0.67,320.0,Completed,5000.0,0.0074096811506897
recommendation_system,0.9277024310565986,0.2655007106503826,0.66,327.0,Completed,4393.0,0.005781620549038
recommendation_system,0.9382063692480374,0.1964237824529711,0.67,349.0,Completed,4388.0,0.0012913689576089
