source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,delta
benchmark_pareto,0.05,203.0,0.05,127.0,Completed,1.0,0.198
benchmark_pareto,0.06,234.0,0.06,138.0,Completed,1.0,0.381
benchmark_pareto,0.07,740.0,0.07,474.0,Completed,625.0,0.001
benchmark_pareto,0.1,853.0,0.1,551.0,Completed,389.0,0.001
benchmark_pareto,0.11,1339.0,0.11,926.0,Completed,2754.0,0.01
benchmark_pareto,0.12,1402.0,0.12,949.0,Completed,355.0,0.001
benchmark_pareto,0.15,1510.0,0.15,975.0,Completed,556.0,0.001
benchmark_pareto,0.16,1623.0,0.16,1034.0,Completed,401.0,0.001
benchmark_pareto,0.17,1703.0,0.17,1078.0,Completed,642.0,0.001
benchmark_pareto,0.18,1764.0,0.18,1102.0,Completed,568.0,0.004
benchmark_pareto,0.19,2011.0,0.19,1316.0,Completed,1123.0,0.001
benchmark_pareto,0.2,2015.0,0.2,1317.0,Completed,854.0,0.001
benchmark_pareto,0.21,2326.0,0.21,1441.0,Completed,3134.0,0.001
benchmark_pareto,0.22,2435.0,0.22,1522.0,Completed,1241.0,0.001
benchmark_pareto,0.23,2683.0,0.23,1694.0,Completed,3645.0,0.001
benchmark_max_rt,,3131.0,,1796.0,Completed,4223.0,0.001
benchmark_min_acc,0.03,,0.03,,Completed,91.0,0.034
paper_default,-1.0,-1.0,0.2,1152.0,Completed,2000.0,0.001
recommendation_system,0.7390233886483887,0.9575533800921464,0.05,115.0,Completed,1.0,0.2215103036297461
recommendation_system,0.7444216470258134,0.9529981893530276,0.05,115.0,Completed,1.0,0.3039460716191679
recommendation_system,0.748963393859227,0.942712912296846,0.04,130.0,Completed,3.0,0.2844024924207479
recommendation_system,0.75030628707712,0.9402243133001496,0.04,135.0,Completed,3.0,0.2914376210998743
recommendation_system,0.7793408790283795,0.9083656098352691,0.04,275.0,Completed,85.0,0.2827838853560388
recommendation_system,0.7823225809684141,0.901823034259914,0.04,343.0,Completed,121.0,0.2932442263066768
recommendation_system,0.8818638267596597,0.7421308259640504,0.08,726.0,Completed,1471.0,0.0611741494927555
recommendation_system,0.8918759519801188,0.7384610596232377,0.14,790.0,Completed,2536.0,0.0019786292891949
recommendation_system,0.9058307279140612,0.7250580088097092,0.15,811.0,Completed,2601.0,0.0012256319746375
recommendation_system,0.9145368366201698,0.6978902494860134,0.18,928.0,Completed,2709.0,0.0013395626352816
recommendation_system,0.918467011383678,0.6930558795329833,0.17,923.0,Completed,2728.0,0.0011666567706358
recommendation_system,0.9194329204745868,0.6922650746064938,0.07,325.0,Completed,2720.0,0.0010821335855871
recommendation_system,0.9235623597081928,0.6429626203177643,0.13,742.0,Completed,3848.0,0.0176503721307963
recommendation_system,0.9286436788520118,0.6220087205487699,0.14,942.0,Completed,3841.0,0.0111796414075163
recommendation_system,0.931068422318422,0.6161302789096672,0.19,1020.0,Completed,3845.0,0.0059112820681184
recommendation_system,0.934890021244188,0.6058485304653547,0.2,1064.0,Completed,3850.0,0.003742662442848
recommendation_system,0.9374527517235856,0.582788881355261,0.21,1107.0,Completed,3859.0,0.0012321465592831
recommendation_system,0.9377735189193528,0.5703437184384391,0.06,229.0,Completed,3931.0,0.0019248962812125
recommendation_system,0.9437970478595482,0.5589949581388571,0.21,1109.0,Completed,3976.0,0.001069194573909
recommendation_system,0.9449967933301276,0.5236994041766985,0.21,1166.0,Completed,4196.0,0.0014044842310249
