Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
Failed,,,4872,1615,3568,0.291,0.214,0.346,str('ks-test'),str('bounded'),49
Failed,,,3618,2917,75,0.903,0.423,3.469,str('t-test'),str('bounded'),37
Failed,,,2249,429,4302,0.011,0.509,7.747,str('ks-test'),str('bounded'),24
Failed,,,2209,3707,281,0.851,0.988,5.504,str('ks-test'),str('bounded'),21
Failed,,,3656,1199,4097,0.247,0.075,0.722,str('t-test'),str('bounded'),33
Failed,,,4912,4894,1969,0.57,0.288,2.594,str('ks-test'),str('bounded'),46
Failed,,,964,2388,3656,0.465,0.655,8.632,str('t-test'),str('bounded'),9
Failed,,,295,4356,4900,0.283,0.616,6.513,str('ks-test'),str('bounded'),39
Failed,,,2606,2976,2818,0.002,0.161,4.071,str('ks-test'),str('bounded'),15
Failed,,,1549,488,1557,0.895,0.777,9.634,str('t-test'),str('bounded'),27
Failed,,,1835,4587,2807,0.723,0.019,7.586,str('ks-test'),str('bounded'),43
Failed,,,2964,2080,1570,0.361,0.916,3.623,str('t-test'),str('bounded'),5
Failed,,,4360,4625,205,0.098,0.556,8.979,str('t-test'),str('bounded'),35
Failed,,,413,2118,4173,0.991,0.377,4.817,str('ks-test'),str('bounded'),25
Failed,,,847,3933,2899,0.76,0.354,0.042,str('t-test'),str('bounded'),29
Failed,,,4404,1445,1476,0.156,0.704,6.235,str('ks-test'),str('bounded'),19
Failed,,,3312,4048,346,0.389,0.814,1.523,str('ks-test'),str('bounded'),49
Failed,,,1947,1561,4029,0.525,0.245,7.205,str('t-test'),str('bounded'),11
Failed,,,2117,3783,1782,0.036,0.672,4.852,str('t-test'),str('bounded'),48
Failed,,,3248,1270,2595,0.921,0.259,8.854,str('ks-test'),str('bounded'),12
Failed,,,4494,2636,971,0.255,0.097,6.981,str('t-test'),str('bounded'),24
Failed,,,864,125,4654,0.641,0.962,1.726,str('ks-test'),str('bounded'),36
Failed,,,361,3192,3432,0.606,0.798,3.376,str('t-test'),str('bounded'),18
Failed,,,4226,700,2195,0.493,0.136,7.85,str('ks-test'),str('bounded'),30
Failed,,,2970,4458,3852,0.825,0.469,5.973,str('t-test'),str('bounded'),43
Failed,,,1605,1965,523,0.213,0.587,0.253,str('ks-test'),str('bounded'),6
Failed,,,1261,2944,4275,0.415,0.335,1.993,str('t-test'),str('bounded'),15
Failed,,,2709,432,102,0.559,0.733,6.735,str('ks-test'),str('bounded'),28
Failed,,,165,314,2519,0.184,0.193,5.454,str('t-test'),str('bounded'),44
Failed,,,1060,3540,3771,0.07,0.045,9.448,str('ks-test'),str('bounded'),3
Failed,,,4924,1048,604,0.955,0.895,4.348,str('t-test'),str('bounded'),39
Failed,,,3678,4735,3352,0.351,0.749,2.476,str('ks-test'),str('bounded'),26
Failed,,,3533,3499,1343,0.689,0.507,8.366,str('t-test'),str('bounded'),20
Failed,,,2477,1007,3031,0.334,0.436,2.842,str('ks-test'),str('bounded'),33
Failed,,,2376,4932,4395,0.203,0.763,3.969,str('t-test'),str('bounded'),28
Failed,,,3507,2425,1229,0.838,0.177,9.805,str('ks-test'),str('bounded'),13
Failed,,,4763,3669,2728,0.484,0.469,6.683,str('t-test'),str('bounded'),1
Failed,,,1133,1161,1650,0.62,0.601,2.091,str('ks-test'),str('bounded'),41
Failed,,,151,3092,421,0.631,0.64,3.116,str('t-test'),str('bounded'),7
Failed,,,4016,604,3954,0.268,0.305,8.178,str('ks-test'),str('bounded'),47
Failed,,,2770,4240,2483,0.912,0.092,5.05,str('t-test'),str('bounded'),35
Failed,,,1406,1753,3144,0.05,0.973,1.244,str('ks-test'),str('bounded'),20
Failed,,,1666,3352,1894,0.317,0.23,1.694,str('t-test'),str('bounded'),13
Failed,,,3114,844,3731,0.71,0.831,7.102,str('ks-test'),str('bounded'),48
Failed,,,541,519,4690,0.504,0.021,3.047,str('t-test'),str('bounded'),30
Failed,,,741,3745,3475,0.748,0.247,2.178,str('ks-test'),str('bounded'),24
Failed,,,4684,1233,2150,0.354,0.816,6.609,str('t-test'),str('bounded'),36
Failed,,,3430,4862,4287,0.966,0.546,9.736,str('ks-test'),str('bounded'),49
Failed,,,3148,2775,4980,0.542,0.932,8.108,str('t-test'),str('bounded'),6
Failed,,,2091,286,647,0.437,0.004,3.169,str('ks-test'),str('bounded'),42
Failed,,,1969,2518,3524,0.877,0.572,5.831,str('ks-test'),str('bounded'),4
Failed,,,4663,3902,4355,0.659,0.152,3.586,str('ks-test'),str('bounded'),32
Failed,,,715,1389,22,0.304,0.784,7.708,str('t-test'),str('bounded'),17
Failed,,,525,4418,1268,0.447,0.948,7.464,str('ks-test'),str('bounded'),37
Failed,,,4081,1925,3106,0.592,0.113,1.31,str('t-test'),str('bounded'),22
Failed,,,2826,3232,830,0.229,0.275,4.437,str('ks-test'),str('bounded'),10
Failed,,,1768,740,4797,0.872,0.658,9.337,str('t-test'),str('bounded'),50
Failed,,,1410,4219,1046,0.515,0.422,8.576,str('ks-test'),str('bounded'),32
Failed,,,2540,1706,4579,0.402,0.523,2.701,str('t-test'),str('bounded'),22
Failed,,,3797,2826,1858,0.796,0.872,0.823,str('ks-test'),str('bounded'),9
Failed,,,133,2011,3232,0.328,0.329,7.39,str('ks-test'),str('bounded'),2
Failed,,,1105,3825,4464,0.425,0.431,7.79,str('t-test'),str('bounded'),46
Failed,,,4740,1319,1161,0.538,0.501,3.516,str('ks-test'),str('bounded'),9
Failed,,,3496,2589,2776,0.144,0.853,0.388,str('t-test'),str('bounded'),22
Failed,,,2313,2242,2275,0.736,0.32,6.321,str('t-test'),str('bounded'),16
Failed,,,2327,2703,3839,0.308,0.649,3.248,str('ks-test'),str('bounded'),20
Failed,,,3697,211,536,0.671,0.282,8.036,str('t-test'),str('bounded'),34
Failed,,,4950,4009,3401,0.027,0.074,6.158,str('ks-test'),str('bounded'),46
Failed,,,1081,1515,2226,0.889,0.985,0.127,str('t-test'),str('bounded'),8
Failed,,,176,4545,938,0.861,0.775,4.745,str('ks-test'),str('bounded'),40
Failed,,,3812,2032,4686,0.225,0.159,9.058,str('t-test'),str('bounded'),2
Failed,,,2568,3437,1770,0.58,0.446,7.186,str('ks-test'),str('bounded'),14
Failed,,,1433,925,2607,0.444,0.61,1.617,str('t-test'),str('bounded'),28
Failed,,,1796,4326,1357,0.18,0.374,1.17,str('ks-test'),str('bounded'),42
Failed,,,2849,1833,3018,0.784,0.694,5.136,str('t-test'),str('bounded'),6
Failed,,,4092,3011,937,0.398,0.917,8.259,str('ks-test'),str('bounded'),18
Failed,,,372,1793,611,0.411,0.232,6.428,str('ks-test'),str('bounded'),23
Failed,,,885,4980,1850,0.338,0.006,8.703,str('t-test'),str('bounded'),31
Failed,,,4520,2468,2527,0.7,0.934,2.515,str('ks-test'),str('bounded'),17
Failed,,,3267,3626,1020,0.119,0.71,0.638,str('t-test'),str('bounded'),4
Failed,,,1988,2349,90,0.074,0.397,4.051,str('t-test'),str('bounded'),12
Failed,,,2080,4806,2851,0.616,0.964,6.405,str('t-test'),str('bounded'),50
