Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
Failed,,,1940,941,4787,0.797,0.724,4.149,str('ks-test'),str('bounded'),3770
Failed,,,2902,4352,736,0.254,0.136,8.248,str('t-test'),str('full'),314
Failed,,,4748,1713,2907,0.542,0.476,6.382,str('ks-test'),str('full'),2286
Failed,,,94,3621,1336,0.031,0.885,1.027,str('t-test'),str('bounded'),3242
Failed,,,582,25,2620,0.33,0.358,2.109,str('ks-test'),str('bounded'),4277
Failed,,,4572,4682,1693,0.848,0.752,5.506,str('t-test'),str('full'),235
Failed,,,2765,2009,4528,0.074,0.608,9.867,str('ks-test'),str('full'),2169
Failed,,,2389,2661,1082,0.623,0.004,2.716,str('t-test'),str('bounded'),3712
Failed,,,1632,1296,2312,0.646,0.194,0.458,str('ks-test'),str('full'),1838
Failed,,,3209,3372,3261,0.159,0.665,6.98,str('t-test'),str('bounded'),2795
Failed,,,4305,3521,3840,0.737,0.34,6.018,str('t-test'),str('bounded'),3812
Failed,,,1836,786,110,0.274,0.85,1.673,str('ks-test'),str('full'),1219
Failed,,,114,4085,3493,0.87,0.697,4.732,str('t-test'),str('full'),1876
Failed,,,2585,1506,2264,0.148,0.236,7.886,str('ks-test'),str('bounded'),3072
Failed,,,3316,1502,1158,0.754,0.255,4.552,str('t-test'),str('full'),3534
Failed,,,1846,3165,4609,0.298,0.852,8.032,str('ks-test'),str('bounded'),1991
Failed,,,3750,4647,712,0.081,0.091,6.678,str('t-test'),str('full'),1355
Failed,,,1219,2225,4478,0.93,0.6,1.024,str('ks-test'),str('bounded'),3596
Failed,,,2000,2672,1606,0.466,0.947,2.886,str('t-test'),str('bounded'),4502
Failed,,,4527,406,2872,0.553,0.485,9.731,str('ks-test'),str('full'),533
Failed,,,4766,3797,1283,0.969,0.803,8.403,str('t-test'),str('full'),1606
Failed,,,2298,1844,2512,0.011,0.264,4.058,str('ks-test'),str('bounded'),3427
Failed,,,892,3267,1093,0.608,0.158,2.04,str('t-test'),str('bounded'),4709
Failed,,,3364,1158,4822,0.38,0.652,5.194,str('ks-test'),str('full'),241
Failed,,,2961,3041,3151,0.313,0.554,9.058,str('t-test'),str('bounded'),4147
Failed,,,431,151,1885,0.667,0.015,3.404,str('ks-test'),str('full'),802
Failed,,,1528,4973,4201,0.203,0.408,0.189,str('t-test'),str('full'),2333
Failed,,,4057,1926,435,0.785,0.901,7.034,str('ks-test'),str('bounded'),2699
Failed,,,3774,4819,2673,0.5,0.219,3.456,str('ks-test'),str('full'),3196
Failed,,,1263,2085,1443,0.52,0.724,9.09,str('t-test'),str('bounded'),1853
Failed,,,481,2883,4973,0.111,0.821,7.319,str('ks-test'),str('bounded'),15
Failed,,,1457,4889,3519,0.964,0.532,1.408,str('t-test'),str('full'),646
Failed,,,2466,2174,3616,0.106,0.27,9.418,str('ks-test'),str('bounded'),26
Failed,,,2694,2938,2111,0.66,0.866,4.862,str('t-test'),str('bounded'),12
Failed,,,4024,843,4305,0.388,0.563,0.098,str('ks-test'),str('bounded'),21
Failed,,,1137,4103,185,0.814,0.036,5.589,str('t-test'),str('bounded'),42
Failed,,,227,205,1664,0.903,0.173,8.249,str('ks-test'),str('bounded'),16
Failed,,,4928,4753,2503,0.331,0.707,3.683,str('t-test'),str('bounded'),48
Failed,,,3601,1526,944,0.62,0.972,1.262,str('ks-test'),str('bounded'),33
Failed,,,1553,3579,4480,0.177,0.383,6.764,str('t-test'),str('bounded'),6
Failed,,,1779,1090,698,0.258,0.803,6.014,str('ks-test'),str('bounded'),17
Failed,,,3375,4041,4819,0.945,0.333,0.806,str('t-test'),str('bounded'),46
Failed,,,4548,2259,1383,0.22,0.098,4.164,str('ks-test'),str('bounded'),37
Failed,,,606,2706,2888,0.545,0.5,9.062,str('t-test'),str('bounded'),1
Failed,,,913,1621,4055,0.736,0.643,7.335,str('ks-test'),str('bounded'),32
Failed,,,4247,3357,519,0.062,0.235,2.136,str('t-test'),str('bounded'),8
Failed,,,3076,442,3339,0.772,0.445,2.838,str('ks-test'),str('bounded'),24
Failed,,,2084,4683,2500,0.461,0.91,7.727,str('t-test'),str('bounded'),40
Failed,,,1918,588,4925,0.57,0.022,2.298,str('t-test'),str('bounded'),25
Failed,,,2930,4516,805,0.133,0.616,7.173,str('ks-test'),str('bounded'),39
Failed,,,4100,1767,2996,0.92,0.813,7.877,str('t-test'),str('bounded'),30
Failed,,,747,3190,1491,0.346,0.284,2.687,str('ks-test'),str('bounded'),9
Failed,,,460,2406,314,0.436,0.424,0.977,str('t-test'),str('bounded'),35
Failed,,,4382,2541,3850,0.86,0.955,5.844,str('ks-test'),str('bounded'),2
Failed,,,3209,1237,2295,0.088,0.724,9.204,str('t-test'),str('bounded'),18
Failed,,,1633,3876,3133,0.648,0.132,4.022,str('ks-test'),str('bounded'),45
Failed,,,1387,1380,2003,0.785,0.553,3.209,str('t-test'),str('bounded'),35
Failed,,,3454,3745,3508,0.48,0.084,8.722,str('ks-test'),str('bounded'),5
Failed,,,4781,59,78,0.69,0.346,6.299,str('t-test'),str('bounded'),14
Failed,,,61,4920,4198,0.014,0.751,1.726,str('ks-test'),str('bounded'),50
Failed,,,990,696,2709,0.206,0.892,4.378,str('t-test'),str('bounded'),19
Failed,,,3858,4268,1870,0.529,0.486,9.902,str('ks-test'),str('bounded'),43
Failed,,,2528,2027,4685,0.302,0.194,5.136,str('t-test'),str('bounded'),27
Failed,,,2320,3104,1148,0.995,0.661,0.552,str('ks-test'),str('bounded'),10
Failed,,,2285,1503,4399,0.47,0.869,3.872,str('ks-test'),str('bounded'),10
Failed,,,2562,3552,1019,0.796,0.275,9.314,str('t-test'),str('bounded'),29
Failed,,,3892,168,2585,0.007,0.046,5.644,str('ks-test'),str('bounded'),40
Failed,,,956,4721,1590,0.696,0.575,1.137,str('t-test'),str('bounded'),25
Failed,,,27,817,257,0.522,0.716,2.546,str('ks-test'),str('bounded'),45
Failed,,,4815,4081,4220,0.213,0.185,7.98,str('t-test'),str('bounded'),18
Failed,,,3488,2143,2040,0.984,0.385,6.966,str('ks-test'),str('bounded'),2
Failed,,,1353,2902,3701,0.312,0.977,2.467,str('t-test'),str('bounded'),35
Failed,,,1599,401,2414,0.138,0.338,0.468,str('ks-test'),str('bounded'),50
Failed,,,3243,4637,3409,0.566,0.807,5.258,str('t-test'),str('bounded'),14
Failed,,,4416,1565,605,0.354,0.513,9.71,str('ks-test'),str('bounded'),5
Failed,,,425,3306,3984,0.911,0.109,4.609,str('t-test'),str('bounded'),34
Failed,,,713,2212,2964,0.869,0.248,1.632,str('ks-test'),str('bounded'),10
Failed,,,4135,2664,1303,0.428,0.655,6.433,str('t-test'),str('bounded'),28
Failed,,,2964,1038,4742,0.652,0.915,8.541,str('ks-test'),str('bounded'),43
Failed,,,1884,3985,778,0.082,0.448,3.43,str('t-test'),str('bounded'),20
Failed,,,2050,1205,3204,0.94,0.62,6.594,str('t-test'),str('bounded'),41
Failed,,,3111,3839,2210,0.262,0.024,1.471,str('ks-test'),str('bounded'),21
Failed,,,4281,2379,3779,0.537,0.297,3.582,str('t-test'),str('bounded'),12
Failed,,,879,2518,399,0.23,0.824,8.389,str('ks-test'),str('bounded'),26
Failed,,,572,1731,1409,0.053,0.967,5.43,str('t-test'),str('bounded'),7
Failed,,,4582,3159,3071,0.744,0.434,0.297,str('ks-test'),str('bounded'),33
Failed,,,3409,566,886,0.457,0.137,4.751,str('t-test'),str('bounded'),49
Failed,,,1745,4489,4850,0.778,0.726,9.569,str('ks-test'),str('bounded'),16
Failed,,,1519,1976,1225,0.671,0.088,7.505,str('t-test'),str('bounded'),1
Failed,,,3635,3048,4605,0.095,0.558,3.02,str('ks-test'),str('bounded'),37
Failed,,,4961,650,1794,0.821,0.762,2.004,str('t-test'),str('bounded'),46
Failed,,,193,4227,2789,0.382,0.359,7.429,str('ks-test'),str('bounded'),17
Failed,,,1102,2,4112,0.338,0.497,8.832,str('t-test'),str('bounded'),41
Failed,,,4058,4868,149,0.896,0.905,4.355,str('ks-test'),str('bounded'),23
Failed,,,2728,1338,3594,0.188,0.665,0.683,str('t-test'),str('bounded'),8
Failed,,,2432,3699,1933,0.61,0.2,6.099,str('ks-test'),str('bounded'),31
Failed,,,2422,261,475,0.751,0.99,7.265,str('t-test'),str('bounded'),38
Failed,,,2738,4775,4012,0.452,0.396,2.055,str('ks-test'),str('bounded'),1
Failed,,,3911,1430,2446,0.725,0.16,2.915,str('t-test'),str('bounded'),18
Failed,,,1248,3440,3285,0.04,0.689,7.81,str('ks-test'),str('bounded'),47
Failed,,,281,2040,4773,0.243,0.581,6.087,str('t-test'),str('bounded'),23
Failed,,,4874,2838,654,0.556,0.05,0.885,str('ks-test'),str('bounded'),40
Failed,,,3704,861,2834,0.267,0.257,4.089,str('t-test'),str('bounded'),30
Failed,,,1452,4164,1330,0.966,0.848,8.976,str('ks-test'),str('bounded'),7
Failed,,,1853,1677,2557,0.607,0.458,8.167,str('t-test'),str('bounded'),22
Failed,,,3302,3379,1719,0.16,0.927,3.614,str('ks-test'),str('bounded'),42
Failed,,,4632,347,4523,0.885,0.626,1.347,str('t-test'),str('bounded'),27
Failed,,,524,4543,987,0.317,0.221,6.84,str('ks-test'),str('bounded'),13
Failed,,,849,956,2164,0.402,0.111,9.498,str('t-test'),str('bounded'),32
Failed,,,4310,3941,3669,0.832,0.518,4.934,str('ks-test'),str('bounded'),6
Failed,,,2983,2276,230,0.123,0.786,0.011,str('t-test'),str('bounded'),15
Failed,,,2176,2767,4350,0.674,0.319,5.515,str('ks-test'),str('bounded'),48
Failed,,,2029,2423,1826,0.284,0.742,4.461,str('ks-test'),str('bounded'),13
Failed,,,2817,2602,2664,0.981,0.146,9.971,str('t-test'),str('bounded'),50
Failed,,,4144,1103,1095,0.193,0.41,5.051,str('ks-test'),str('bounded'),33
Failed,,,703,3776,4631,0.511,0.937,0.475,str('t-test'),str('bounded'),4
Failed,,,358,493,3465,0.707,0.831,3.13,str('ks-test'),str('bounded'),28
