Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
Completed,0.91,964,2870,422,4250,0.374,0.762,6.643,str('t-test'),str('bounded'),3
Completed,0.91,309,1960,1432,2478,0.82,0.853,9.545,str('ks-test'),str('bounded'),3
Completed,0.91,13,4511,1278,1059,0.663,0.512,7.061,str('t-test'),str('bounded'),2
Completed,0.91,13,1793,3351,564,0.617,0.655,6.438,str('ks-test'),str('bounded'),2
Completed,0.91,13,1927,2074,3648,0.425,0.629,0.018,str('ks-test'),str('bounded'),2
Completed,0.91,5887,3106,1293,2621,0.86,0.19,1.925,str('t-test'),str('bounded'),4
Completed,0.91,992,4377,1915,4734,0.092,0.971,2.523,str('t-test'),str('bounded'),3
Completed,0.91,5955,4416,4752,787,0.912,0.636,0.856,str('t-test'),str('bounded'),4
Completed,0.91,330,2455,3920,2564,0.494,0.954,1.705,str('t-test'),str('bounded'),3
Completed,0.91,72,4983,3762,3982,0.023,0.679,4.19,str('ks-test'),str('bounded'),2
Completed,0.91,19,2579,2226,1986,0.189,0.248,3.122,str('ks-test'),str('bounded'),2
Completed,0.91,6083,2493,1757,1742,0.503,0.68,4.955,str('t-test'),str('bounded'),4
Completed,0.91,346,25,2380,885,0.296,0.402,0.588,str('t-test'),str('bounded'),3
Completed,0.91,11,3645,3445,3824,0.753,0.226,9.194,str('ks-test'),str('bounded'),2
Completed,0.91,6524,1717,4926,1318,0.118,0.332,2.482,str('ks-test'),str('bounded'),4
Completed,0.91,84,4593,3085,4920,0.02,0.068,6.997,str('ks-test'),str('bounded'),2
Completed,0.91,1,606,2832,3525,0.329,0.308,9.344,str('t-test'),str('bounded'),1
Completed,0.91,1,3849,2410,45,0.686,0.082,3.389,str('ks-test'),str('bounded'),1
Completed,0.91,292,959,2310,1521,0.995,0.295,0.414,str('t-test'),str('bounded'),3
Completed,0.91,6,4658,3243,1893,0.854,0.44,1.162,str('ks-test'),str('bounded'),2
Completed,0.91,6214,1277,2271,3234,0.626,0.837,8.652,str('t-test'),str('bounded'),4
Completed,0.91,6170,1088,4741,1715,0.518,0.467,9.128,str('t-test'),str('bounded'),4
Completed,0.91,6182,3569,3873,2094,0.336,0.831,7.999,str('ks-test'),str('bounded'),4
Completed,0.91,303,2124,897,4317,0.68,0.558,4.582,str('t-test'),str('bounded'),3
Completed,0.91,11,2982,645,2863,0.994,0.817,1.617,str('ks-test'),str('bounded'),2
Completed,0.91,13,4208,1980,4093,0.606,0.341,1.645,str('t-test'),str('bounded'),2
Completed,0.91,330,1677,2138,2997,0.878,0.058,4.179,str('ks-test'),str('bounded'),3
Completed,0.91,10,4650,3223,2343,0.416,0.319,5.574,str('t-test'),str('bounded'),2
Completed,0.91,3,2124,3376,1232,0.07,0.032,8.059,str('ks-test'),str('bounded'),1
Completed,0.91,6195,2549,1013,3512,0.623,0.729,9.437,str('t-test'),str('bounded'),4
Completed,0.91,215,4832,200,3764,0.121,0.275,5.345,str('t-test'),str('bounded'),2
Completed,0.91,3372,69,140,2798,0.305,0.102,8.319,str('ks-test'),str('bounded'),3
Completed,0.91,318,4248,4621,1115,0.71,0.266,4.276,str('t-test'),str('bounded'),3
Completed,0.91,6128,1729,4229,118,0.392,0.876,2.817,str('ks-test'),str('bounded'),4
Completed,0.91,322,4728,974,1789,0.753,0.155,1.504,str('t-test'),str('bounded'),3
Completed,0.91,12,120,1188,391,0.563,0.469,4.778,str('ks-test'),str('bounded'),2
Completed,0.91,6051,3301,4660,4089,0.916,0.869,7.289,str('t-test'),str('bounded'),4
Completed,0.91,1,4300,4207,3169,0.421,0.134,7.651,str('t-test'),str('bounded'),1
Completed,0.91,298,782,4268,4642,0.231,0.49,6.249,str('ks-test'),str('bounded'),3
Completed,0.91,765,1852,1807,624,0.122,0.86,6.685,str('ks-test'),str('bounded'),3
Completed,0.91,6080,4372,2041,686,0.807,0.497,5.559,str('t-test'),str('bounded'),4
Completed,0.91,11,2595,3578,3318,0.893,0.525,0.731,str('t-test'),str('bounded'),2
Completed,0.91,298,1402,4702,3743,0.855,0.916,2.434,str('t-test'),str('bounded'),3
Completed,0.91,38,2067,431,1372,0.438,0.933,8.589,str('t-test'),str('bounded'),2
Completed,0.91,2226,3082,529,190,0.129,0.69,5.305,str('ks-test'),str('bounded'),3
Completed,0.91,315,2786,1660,2337,0.694,0.059,5.687,str('t-test'),str('bounded'),3
Completed,0.91,5911,306,1877,1472,0.377,0.678,7.07,str('ks-test'),str('bounded'),4
Completed,0.91,1,2393,1756,1098,0.878,0.319,8.037,str('ks-test'),str('bounded'),1
Completed,0.91,11,3240,2689,415,0.768,0.417,8.54,str('t-test'),str('bounded'),2
Completed,0.91,11,1602,2593,1772,0.578,0.208,5.263,str('ks-test'),str('bounded'),2
Completed,0.91,1,2735,2170,4622,0.437,0.434,2.471,str('t-test'),str('bounded'),1
Completed,0.91,5963,4979,1700,3125,0.931,0.578,2.755,str('t-test'),str('bounded'),4
Completed,0.91,534,2498,1916,3185,0.247,0.191,3.871,str('ks-test'),str('bounded'),3
Completed,0.91,497,180,4473,1588,0.107,0.568,3.43,str('ks-test'),str('bounded'),3
Completed,0.91,1,4945,4569,603,0.296,0.807,0.467,str('t-test'),str('bounded'),1
Completed,0.91,6039,2661,4063,2143,0.791,0.196,4.48,str('t-test'),str('bounded'),4
Completed,0.91,206,766,45,3299,0.687,0.581,6.969,str('ks-test'),str('bounded'),2
Completed,0.91,732,4125,301,4521,0.877,0.794,9.308,str('t-test'),str('bounded'),3
Completed,0.91,311,3431,2080,3971,0.57,0.883,3.502,str('t-test'),str('bounded'),3
Completed,0.91,12,2299,2537,2451,0.415,0.719,8.757,str('ks-test'),str('bounded'),2
Completed,0.91,1,2534,2750,995,0.23,0.904,7.345,str('t-test'),str('bounded'),1
Completed,0.91,5912,2012,4028,68,0.98,0.026,9.627,str('t-test'),str('bounded'),4
Completed,0.91,18,3626,595,908,0.869,0.242,8.802,str('ks-test'),str('bounded'),2
Completed,0.91,28,1514,380,1913,0.555,0.384,7.401,str('t-test'),str('bounded'),2
Completed,0.91,157,2960,4859,4216,0.46,0.22,0.195,str('ks-test'),str('bounded'),3
Completed,0.91,1,1946,4803,2974,0.145,0.405,3.472,str('t-test'),str('bounded'),1
Completed,0.91,6172,441,3989,4593,0.642,0.607,1.313,str('t-test'),str('bounded'),4
Completed,0.91,308,4401,2466,735,0.32,0.6,1.881,str('ks-test'),str('bounded'),3
Completed,0.91,11,1159,2922,2885,0.664,0.764,5.378,str('t-test'),str('bounded'),2
Completed,0.91,1,4049,2980,4302,0.979,0.61,8.341,str('ks-test'),str('bounded'),1
Completed,0.91,6364,2370,4511,3616,0.268,0.049,5.007,str('ks-test'),str('bounded'),4
Completed,0.91,1,241,4358,3955,0.769,0.939,9.744,str('ks-test'),str('bounded'),1
Completed,0.91,316,4850,4103,2616,0.585,0.683,6.456,str('t-test'),str('bounded'),3
Completed,0.91,493,670,1127,1013,0.43,0.956,1.126,str('ks-test'),str('bounded'),3
Completed,0.91,29,4187,1030,2428,0.246,0.666,2.535,str('t-test'),str('bounded'),2
Completed,0.91,1,3136,3483,2774,0.105,0.046,4.54,str('t-test'),str('bounded'),1
Completed,0.91,11,1653,3738,3782,0.29,0.332,1.568,str('ks-test'),str('bounded'),2
Completed,0.91,1091,1294,830,4399,0.195,0.536,4.814,str('t-test'),str('bounded'),3
Completed,0.91,112,1228,3029,1549,0.018,0.109,3.734,str('t-test'),str('bounded'),2
Completed,0.91,6227,2638,3826,2420,0.438,0.121,9.325,str('ks-test'),str('bounded'),4
Completed,0.91,309,1421,3007,1195,0.206,0.502,7.541,str('t-test'),str('bounded'),3
Completed,0.91,10,3689,2909,2241,0.392,0.871,6.139,str('ks-test'),str('bounded'),2
