Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
Completed,0.32,13734,2581,4426,1924,0.476,0.835,3.043,str('t-test'),str('bounded'),4
Completed,0.32,9699,2620,178,4354,0.537,0.679,2.011,str('t-test'),str('bounded'),3
Completed,0.32,4038,3141,1039,2049,0.345,0.307,7.112,str('ks-test'),str('bounded'),3
Completed,0.32,8988,4721,4741,2964,0.995,0.59,0.229,str('ks-test'),str('bounded'),4
Completed,0.32,2021,502,1120,4406,0.771,0.776,8.211,str('t-test'),str('bounded'),3
Completed,0.32,12191,4252,2013,4079,0.591,0.75,4.853,str('ks-test'),str('bounded'),4
Completed,0.32,5549,4112,1019,3410,0.219,0.374,9.734,str('ks-test'),str('bounded'),3
Completed,0.32,14285,4073,4368,354,0.783,0.157,5.299,str('ks-test'),str('bounded'),4
Completed,0.32,11386,2149,3807,3298,0.699,0.985,8.928,str('ks-test'),str('bounded'),4
Completed,0.32,14297,4680,1844,2286,0.815,0.171,4.093,str('t-test'),str('bounded'),4
Completed,0.32,8284,2110,809,397,0.265,0.517,6.02,str('ks-test'),str('bounded'),3
Failed,,,2506,4045,1665,0.383,0.192,8.947,str('ks-test'),str('bounded'),3875
Failed,,,4001,1673,4868,0.556,0.27,7.27,str('t-test'),str('bounded'),2811
Failed,,,2063,3122,1229,0.191,0.593,3.075,str('ks-test'),str('full'),836
Failed,,,2447,784,4451,0.438,0.5,4.968,str('t-test'),str('full'),2433
Failed,,,4221,4423,705,0.808,0.676,5.45,str('ks-test'),str('bounded'),4251
Failed,,,972,3491,1559,0.624,0.041,1.26,str('ks-test'),str('full'),1040
Failed,,,2903,2359,2657,0.131,0.846,8.304,str('t-test'),str('bounded'),2815
Failed,,,580,1260,499,0.696,0.149,3.529,str('t-test'),str('bounded'),3297
Failed,,,3613,2697,4343,0.051,0.964,6.836,str('ks-test'),str('full'),272
Failed,,,4775,326,2234,0.888,0.511,9.45,str('t-test'),str('full'),1336
Failed,,,1586,4274,3546,0.366,0.314,0.207,str('ks-test'),str('bounded'),4404
Failed,,,1756,498,846,0.529,0.755,6.337,str('ks-test'),str('full'),4101
Failed,,,4932,4123,4621,0.225,0.078,3.382,str('t-test'),str('bounded'),2283
Failed,,,3438,1439,1262,0.839,0.4,0.372,str('ks-test'),str('bounded'),1199
Failed,,,591,3600,4198,0.139,0.393,0.795,str('t-test'),str('bounded'),4118
Failed,,,984,1458,2514,0.059,0.294,4.306,str('ks-test'),str('full'),1547
Failed,,,4479,790,1569,0.587,0.304,3.25,str('ks-test'),str('bounded'),28
Failed,,,3591,3286,3314,0.18,0.119,2.176,str('t-test'),str('bounded'),43
Failed,,,1624,2214,538,0.944,0.756,5.204,str('ks-test'),str('bounded'),21
Failed,,,2222,2869,2370,0.871,0.939,7.779,str('t-test'),str('bounded'),45
Failed,,,2911,1475,3977,0.014,0.186,4.599,str('ks-test'),str('bounded'),19
Failed,,,3899,3982,987,0.72,0.487,0.671,str('t-test'),str('bounded'),2
Failed,,,691,366,2513,0.393,0.638,6.397,str('ks-test'),str('bounded'),36
Failed,,,417,2575,2643,0.406,0.705,9.889,str('t-test'),str('full'),2975
Failed,,,1118,2210,4085,0.272,0.606,5.285,str('ks-test'),str('bounded'),112
Failed,,,3056,3661,446,0.981,0.288,4.529,str('t-test'),str('full'),3137
Failed,,,4081,660,3648,0.082,0.236,1.758,str('ks-test'),str('full'),4554
Failed,,,2300,4604,2443,0.664,0.931,8.451,str('t-test'),str('bounded'),1486
Failed,,,1903,1807,3129,0.915,0.027,9.132,str('ks-test'),str('bounded'),514
Failed,,,4310,1914,73,0.325,0.595,5.644,str('t-test'),str('bounded'),2764
Failed,,,4933,4417,3952,0.336,0.894,9.78,str('ks-test'),str('full'),3608
Failed,,,725,108,2870,0.871,0.883,0.69,str('t-test'),str('full'),1943
Failed,,,2727,3713,4481,0.678,0.881,7.048,str('ks-test'),str('bounded'),31
Failed,,,2175,2021,1714,0.444,0.243,0.274,str('t-test'),str('bounded'),8
Failed,,,1515,2594,1046,0.372,0.061,2.692,str('ks-test'),str('bounded'),32
Failed,,,3306,1830,2644,0.513,0.814,9.627,str('t-test'),str('bounded'),7
Failed,,,4920,4336,2475,0.223,0.514,5.74,str('ks-test'),str('bounded'),15
Failed,,,608,91,3993,0.894,0.362,1.27,str('t-test'),str('bounded'),48
Failed,,,403,4200,435,0.378,0.97,9.765,str('t-test'),str('bounded'),13
Failed,,,4694,282,3216,0.736,0.155,2.947,str('ks-test'),str('bounded'),50
Failed,,,3180,2778,1826,0.03,0.455,1.874,str('t-test'),str('bounded'),34
Failed,,,1368,1706,4682,0.856,0.669,6.148,str('ks-test'),str('bounded'),5
Failed,,,1970,3534,2767,0.96,0.602,8.73,str('t-test'),str('bounded'),29
Failed,,,2502,2140,1236,0.164,0.273,4.295,str('ks-test'),str('bounded'),9
Failed,,,4113,4646,3881,0.571,0.088,0.37,str('t-test'),str('bounded'),24
Failed,,,1060,1031,2275,0.306,0.788,7.34,str('ks-test'),str('bounded'),39
Failed,,,769,3080,4329,0.206,0.201,5.146,str('t-test'),str('bounded'),28
Failed,,,3987,475,4538,0.238,0.845,7.839,str('t-test'),str('bounded'),38
Failed,,,2833,3841,2943,0.326,0.747,3.35,str('t-test'),str('bounded'),19
Failed,,,2301,586,713,0.56,0.378,9.03,str('ks-test'),str('bounded'),44
Failed,,,1701,4967,1373,0.632,0.32,6.453,str('t-test'),str('bounded'),18
Failed,,,3513,765,4778,0.491,0.555,0.925,str('ks-test'),str('bounded'),45
Failed,,,4400,3271,263,0.773,0.866,4.501,str('t-test'),str('bounded'),36
Failed,,,109,2463,3744,0.102,0.009,7.566,str('ks-test'),str('bounded'),3
Failed,,,148,2922,64,0.916,0.477,7.47,str('ks-test'),str('bounded'),5
Failed,,,4439,1503,3475,0.214,0.647,0.535,str('t-test'),str('bounded'),34
Failed,,,3474,3998,1407,0.552,0.961,4.11,str('ks-test'),str('bounded'),50
Failed,,,1662,426,4899,0.318,0.164,8.58,str('t-test'),str('bounded'),13
Failed,,,2340,4815,2986,0.499,0.097,6.006,str('ks-test'),str('bounded'),39
Failed,,,2872,921,825,0.639,0.779,1.688,str('t-test'),str('bounded'),24
Failed,,,3782,3424,4138,0.095,0.58,3.114,str('ks-test'),str('bounded'),10
Failed,,,730,2308,1896,0.765,0.295,9.888,str('t-test'),str('bounded'),29
Failed,,,1021,4360,3924,0.744,0.695,7.714,str('ks-test'),str('bounded'),44
Failed,,,4239,1217,558,0.088,0.695,8.163,str('t-test'),str('bounded'),41
Failed,,,2541,2618,2575,0.848,0.243,0.762,str('ks-test'),str('bounded'),11
Failed,,,2010,1864,958,0.022,0.882,6.325,str('t-test'),str('bounded'),27
Failed,,,1329,3688,1626,0.172,0.825,8.904,str('ks-test'),str('bounded'),3
Failed,,,3141,1987,4412,0.967,0.05,3.181,str('t-test'),str('bounded'),35
Failed,,,4733,4490,470,0.298,0.373,2.109,str('ks-test'),str('bounded'),46
Failed,,,442,1183,3337,0.563,0.502,5.291,str('t-test'),str('bounded'),18
Failed,,,569,4670,2207,0.08,0.144,3.708,str('t-test'),str('bounded'),47
Failed,,,4881,1065,3792,0.782,0.981,9.238,str('ks-test'),str('bounded'),16
Failed,,,3345,3558,1168,0.451,0.659,5.347,str('t-test'),str('bounded'),2
Failed,,,1554,2175,2678,0.686,0.466,2.284,str('ks-test'),str('bounded'),37
Failed,,,2136,2753,4593,0.505,0.274,4.705,str('t-test'),str('bounded'),13
Failed,,,2688,1672,1758,0.364,0.601,7.929,str('ks-test'),str('bounded'),26
Failed,,,4278,4175,3127,0.901,0.789,6.813,str('t-test'),str('bounded'),42
Failed,,,1247,248,367,0.231,0.087,1.131,str('ks-test'),str('bounded'),21
Failed,,,916,3237,3655,0.252,0.934,1.432,str('t-test'),str('bounded'),8
Failed,,,3821,1344,2174,0.908,0.924,1.92,str('ks-test'),str('bounded'),11
Failed,,,2980,4933,4689,0.156,0.389,9.479,str('t-test'),str('bounded'),41
Failed,,,2428,740,1305,0.982,0.736,2.51,str('ks-test'),str('bounded'),23
Failed,,,1849,3875,645,0.831,0.554,0.085,str('t-test'),str('bounded'),49
Failed,,,3640,610,2855,0.036,0.322,6.903,str('ks-test'),str('bounded'),15
Failed,,,4547,3114,2106,0.698,0.008,8.288,str('t-test'),str('bounded'),6
Failed,,,235,1368,4240,0.433,0.867,4.014,str('ks-test'),str('bounded'),32
Failed,,,157,3928,2582,0.246,0.305,2.762,str('t-test'),str('bounded'),32
Failed,,,4625,322,1074,0.886,0.57,9.537,str('ks-test'),str('bounded'),7
Failed,,,3719,2816,4046,0.349,0.758,5.654,str('t-test'),str('bounded'),23
Failed,,,1770,1431,2457,0.52,0.118,1.336,str('ks-test'),str('bounded'),40
Failed,,,2350,3340,625,0.67,0.175,3.759,str('t-test'),str('bounded'),15
Failed,,,3057,2258,3382,0.467,0.95,8.228,str('ks-test'),str('bounded'),48
Failed,,,4026,4762,1656,0.798,0.627,7.119,str('t-test'),str('bounded'),33
Failed,,,837,834,4495,0.064,0.497,0.183,str('ks-test'),str('bounded'),6
Failed,,,1168,2573,1562,0.418,0.523,2.382,str('t-test'),str('bounded'),17
Failed,,,4074,125,2388,0.385,0.43,4.683,str('t-test'),str('bounded'),20
Failed,,,2766,4269,93,0.052,0.039,9.178,str('t-test'),str('bounded'),38
Failed,,,2058,77,3557,0.816,0.836,3.454,str('ks-test'),str('bounded'),1
Failed,,,1475,4382,4144,0.998,0.903,1.036,str('t-test'),str('bounded'),27
Failed,,,3424,1118,2011,0.14,0.222,6.599,str('ks-test'),str('bounded'),12
Failed,,,4958,3621,3108,0.595,0.42,7.987,str('t-test'),str('bounded'),22
Failed,,,491,1876,894,0.268,0.705,4.957,str('ks-test'),str('bounded'),42
Failed,,,363,3508,4843,0.75,0.065,6.54,str('ks-test'),str('bounded'),20
Failed,,,4812,2090,1352,0.111,0.81,0.858,str('t-test'),str('bounded'),43
Failed,,,3219,4584,3689,0.655,0.611,4.431,str('ks-test'),str('bounded'),28
Failed,,,1251,1012,274,0.484,0.264,7.655,str('t-test'),str('bounded'),11
Failed,,,1931,4072,2114,0.334,0.446,5.074,str('ks-test'),str('bounded'),36
Failed,,,4151,2681,762,0.199,0.992,3.435,str('ks-test'),str('bounded'),19
Failed,,,944,1566,2927,0.932,0.133,8.965,str('t-test'),str('bounded'),44
Failed,,,652,4868,1176,0.579,0.856,8.64,str('ks-test'),str('bounded'),34
Failed,,,3859,632,2792,0.282,0.019,4.365,str('t-test'),str('bounded'),4
Failed,,,3947,2438,195,0.611,0.19,5.868,str('ks-test'),str('bounded'),30
Failed,,,2261,2371,3865,0.188,0.534,7.254,str('t-test'),str('bounded'),49
Failed,,,1584,3025,3280,0.006,0.726,9.831,str('ks-test'),str('bounded'),25
Failed,,,3552,1323,415,0.864,0.399,2.862,str('t-test'),str('bounded'),39
Failed,,,4518,3827,4627,0.401,0.211,1.784,str('ks-test'),str('bounded'),29
Failed,,,69,519,1836,0.728,0.913,6.219,str('t-test'),str('bounded'),9
Failed,,,56,3733,3153,0.469,0.159,4.894,str('ks-test'),str('bounded'),6
Failed,,,4495,2002,385,0.641,0.966,8.118,str('t-test'),str('bounded'),32
Failed,,,3526,4496,4578,0.125,0.642,6.692,str('ks-test'),str('bounded'),49
Failed,,,1569,1237,1730,0.765,0.483,1.01,str('t-test'),str('bounded'),15
Failed,,,2238,4316,1147,0.927,0.293,3.585,str('ks-test'),str('bounded'),41
Failed,,,2937,109,2665,0.194,0.583,9.115,str('t-test'),str('bounded'),23
Failed,,,3844,2613,2218,0.542,0.776,5.539,str('ks-test'),str('bounded'),8
Failed,,,626,1810,3816,0.339,0.099,2.476,str('t-test'),str('bounded'),30
Failed,,,960,4799,2085,0.173,0.889,0.277,str('ks-test'),str('bounded'),42
Failed,,,4177,876,4228,0.937,0.236,7.094,str('t-test'),str('bounded'),21
Failed,,,4357,1775,4945,0.714,0.352,5.564,str('ks-test'),str('bounded'),46
Failed,,,1944,2303,2879,0.593,0.689,3.89,str('t-test'),str('bounded'),26
Failed,,,1277,2937,4716,0.723,0.504,1.311,str('ks-test'),str('bounded'),2
Failed,,,3234,1548,1323,0.396,0.371,5.747,str('t-test'),str('bounded'),37
Failed,,,4826,4052,3640,0.868,0.052,9.668,str('ks-test'),str('bounded'),47
Failed,,,387,431,167,0.011,0.823,2.699,str('t-test'),str('bounded'),16
Failed,,,475,3859,4115,0.527,0.465,6.116,str('t-test'),str('bounded'),46
Failed,,,4932,566,1884,0.355,0.66,1.798,str('ks-test'),str('bounded'),18
Failed,,,3401,3060,3001,0.879,0.979,2.915,str('t-test'),str('bounded'),3
Failed,,,1462,1363,846,0.239,0.146,9.69,str('ks-test'),str('bounded'),35
Failed,,,2033,3252,1435,0.077,0.08,7.269,str('t-test'),str('bounded'),11
Failed,,,2750,2483,4916,0.81,0.795,0.334,str('ks-test'),str('bounded'),27
Failed,,,929,3,1335,0.512,0.176,7.767,str('ks-test'),str('bounded'),4
Failed,,,1223,3305,4642,0.969,0.841,9.942,str('t-test'),str('bounded'),19
Failed,,,4265,2194,1866,0.143,0.034,2.973,str('ks-test'),str('bounded'),45
