Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
Completed,0.72,99,4702,1430,1,0.91,0.999,0.001,str('t-test'),str('full'),4989
Completed,0.75,796,4537,170,1,0.475,0.999,0.001,str('t-test'),str('bounded'),976
Completed,0.71,66,5000,5000,1,0.935,0.999,10.0,str('ks-test'),str('bounded'),5000
Completed,0.75,3041,4787,116,1,0.141,0.001,0.001,str('t-test'),str('full'),938
Completed,0.71,156,5000,52,5000,0.978,0.999,0.001,str('t-test'),str('bounded'),1
Completed,0.71,88,4924,5000,1,0.799,0.001,0.001,str('t-test'),str('full'),758
Completed,0.72,145,5000,799,1,0.897,0.999,0.001,str('t-test'),str('bounded'),874
Completed,0.75,416,4537,170,1,0.478,0.001,0.001,str('ks-test'),str('bounded'),976
Completed,0.75,632,4539,133,1,0.937,0.999,0.001,str('ks-test'),str('bounded'),976
Completed,0.76,609,4350,63,1,0.999,0.999,0.001,str('ks-test'),str('full'),464
Completed,0.75,513,4537,170,1,0.955,0.999,0.001,str('ks-test'),str('full'),976
Completed,0.71,405,4159,225,2647,0.681,0.52,0.532,str('ks-test'),str('bounded'),2869
Completed,0.71,281,4325,374,1590,0.931,0.001,10.0,str('t-test'),str('full'),4616
Completed,0.71,133,1,804,5000,0.999,0.999,10.0,str('ks-test'),str('full'),5000
Completed,0.71,60,5000,5000,1,0.698,0.001,5.516,str('t-test'),str('bounded'),5000
Completed,0.71,3802,946,21,72,0.54,0.999,0.001,str('t-test'),str('full'),3665
Completed,0.71,1286,3031,781,4557,0.029,0.498,5.77,str('t-test'),str('bounded'),4782
Completed,0.71,134,2568,544,2441,0.846,0.714,5.042,str('t-test'),str('bounded'),1562
Completed,0.71,102,1401,1415,127,0.644,0.046,1.013,str('t-test'),str('full'),4601
Completed,0.71,108,252,1194,3732,0.441,0.484,1.867,str('t-test'),str('bounded'),2234
Completed,0.71,377,4705,414,4908,0.397,0.327,7.839,str('t-test'),str('bounded'),3075
Completed,0.71,499,1018,1378,2536,0.101,0.932,3.138,str('t-test'),str('full'),1115
Completed,0.71,145,2929,809,2972,0.981,0.811,6.232,str('t-test'),str('bounded'),2652
Completed,0.71,595,515,306,1795,0.326,0.012,1.927,str('t-test'),str('bounded'),3642
Completed,0.71,161,800,690,3824,0.733,0.676,9.178,str('ks-test'),str('bounded'),2458
Completed,0.71,114,2260,1119,3325,0.917,0.319,3.736,str('ks-test'),str('full'),3646
Completed,0.71,648,1519,606,3139,0.145,0.193,7.416,str('ks-test'),str('bounded'),2022
Completed,0.71,260,4924,616,2066,0.262,0.611,9.427,str('ks-test'),str('full'),2639
Completed,0.71,76,2994,700,208,0.859,0.004,6.503,str('ks-test'),str('full'),3081
Completed,0.71,142,2613,1368,1420,0.494,0.262,1.124,str('t-test'),str('bounded'),4247
Completed,0.71,126,4037,1005,4724,0.666,0.201,1.678,str('t-test'),str('full'),1264
Completed,0.75,469,4787,116,1,0.925,0.001,0.001,str('t-test'),str('bounded'),938
Completed,0.71,96,3521,509,3220,0.8,0.083,7.022,str('t-test'),str('full'),999
Completed,0.71,254,2373,1046,555,0.146,0.968,4.28,str('t-test'),str('full'),193
Completed,0.71,304,1189,306,1557,0.911,0.478,2.2,str('t-test'),str('full'),385
Completed,0.71,271,608,841,2601,0.252,0.792,6.107,str('ks-test'),str('full'),2950
Completed,0.71,959,4108,89,1205,0.658,0.165,2.583,str('ks-test'),str('full'),3398
Completed,0.71,301,1773,335,4196,0.547,0.279,7.874,str('ks-test'),str('full'),2764
