Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
Completed,0.19,7659,4891,2191,3376,0.464,0.664,1.096,str('ks-test'),str('bounded'),3144
Completed,0.19,6713,1297,1529,574,0.805,0.593,0.548,str('ks-test'),str('full'),1938
Completed,0.19,11442,2263,723,3947,0.66,0.15,3.092,str('ks-test'),str('bounded'),4615
Completed,0.19,9628,2583,865,2539,0.778,0.325,0.865,str('t-test'),str('bounded'),923
Completed,0.19,2604,4212,1842,3144,0.973,0.87,8.845,str('ks-test'),str('full'),1365
Completed,0.19,14349,110,663,2981,0.605,0.858,0.49,str('t-test'),str('full'),3272
Completed,0.19,6210,1018,1472,1560,0.984,0.415,3.034,str('t-test'),str('bounded'),782
Completed,0.19,4437,2819,975,727,0.679,0.574,8.786,str('t-test'),str('full'),2532
Completed,0.19,6476,3016,1488,3067,0.259,0.652,3.759,str('ks-test'),str('bounded'),65
Completed,0.19,11263,3941,1218,3711,0.486,0.169,5.792,str('t-test'),str('full'),2065
Completed,0.19,11580,1272,670,2350,0.968,0.344,8.594,str('t-test'),str('full'),2443
Completed,0.19,9357,4158,982,3866,0.808,0.068,1.892,str('t-test'),str('full'),1796
Completed,0.19,10634,4769,739,2768,0.935,0.312,3.926,str('t-test'),str('bounded'),40
Completed,0.19,7521,2515,1267,3627,0.751,0.715,6.314,str('ks-test'),str('bounded'),18
Completed,0.19,5018,3073,2114,1413,0.983,0.797,6.945,str('ks-test'),str('bounded'),8
Completed,0.19,13264,1985,584,3296,0.679,0.831,4.404,str('t-test'),str('full'),96
Completed,0.19,5462,700,2158,2287,0.827,0.294,6.338,str('t-test'),str('bounded'),13
Completed,0.19,5815,4456,1757,3006,0.739,0.37,8.992,str('ks-test'),str('bounded'),8
Completed,0.19,6637,5000,1451,2418,0.887,0.782,3.532,str('ks-test'),str('bounded'),48
Completed,0.19,6928,636,1459,3834,0.534,0.439,1.322,str('ks-test'),str('bounded'),11
Completed,0.19,5389,1029,2239,1570,0.749,0.109,1.888,str('ks-test'),str('bounded'),19
Completed,0.19,5695,1270,2023,4290,0.785,0.168,7.548,str('t-test'),str('bounded'),25
Completed,0.19,6975,3064,1324,4170,0.976,0.663,2.232,str('ks-test'),str('bounded'),40
Completed,0.19,6432,4542,1697,1847,0.559,0.596,7.829,str('t-test'),str('bounded'),47
Completed,0.19,4871,2676,2422,1278,0.806,0.757,1.583,str('ks-test'),str('bounded'),32
Completed,0.19,5619,4180,2079,981,0.768,0.504,0.536,str('ks-test'),str('bounded'),20
Completed,0.19,13071,4486,936,3029,0.498,0.178,5.432,str('t-test'),str('bounded'),50
Completed,0.19,5944,638,1890,2731,0.713,0.082,3.819,str('t-test'),str('bounded'),24
