Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
Failed,,,4781,2553,192,0.057,0.519,9.466,str('t-test'),str('bounded'),4699
Failed,,,1654,1901,4447,0.531,0.408,1.001,str('ks-test'),str('full'),1699
Failed,,,2128,3205,3058,0.682,0.324,3.167,str('t-test'),str('bounded'),4255
Failed,,,2820,4011,4100,0.781,0.765,8.041,str('t-test'),str('full'),684
Failed,,,947,912,1165,0.257,0.16,1.488,str('ks-test'),str('bounded'),2590
Failed,,,4004,1406,2324,0.154,0.742,7.297,str('ks-test'),str('full'),2495
Failed,,,965,3004,3008,0.83,0.851,5.923,str('t-test'),str('bounded'),4461
Failed,,,4022,4698,4152,0.696,0.299,0.449,str('t-test'),str('full'),612
Failed,,,2841,2386,2257,0.365,0.214,4.86,str('ks-test'),str('full'),1290
Failed,,,2149,379,1229,0.234,0.625,8.779,str('ks-test'),str('bounded'),3617
Failed,,,1675,4185,1286,0.074,0.605,6.569,str('t-test'),str('full'),1056
Failed,,,3240,4392,1055,0.202,0.295,0.763,str('ks-test'),str('full'),2768
Failed,,,4870,2080,2870,0.861,0.194,3.931,str('t-test'),str('full'),4080
Failed,,,113,63,4366,0.726,0.655,9.698,str('t-test'),str('bounded'),856
Failed,,,499,3646,801,0.759,0.383,8.609,str('ks-test'),str('bounded'),1945
Failed,,,3625,1745,3799,0.297,0.552,2.174,str('t-test'),str('full'),3866
Failed,,,4799,1052,3354,0.605,0.462,2.652,str('ks-test'),str('bounded'),2821
Failed,,,3305,3740,248,0.454,0.049,2.071,str('t-test'),str('bounded'),4007
Failed,,,179,1809,4510,0.989,0.878,8.72,str('ks-test'),str('full'),2096
Failed,,,418,4474,345,0.523,0.152,9.809,str('t-test'),str('full'),684
Failed,,,3545,136,4920,0.049,0.79,0.659,str('ks-test'),str('bounded'),2606
Failed,,,4569,2741,1813,0.888,0.689,4.055,str('t-test'),str('bounded'),4223
Failed,,,1445,2182,3569,0.418,0.363,5.469,str('ks-test'),str('full'),2467
Failed,,,2222,3339,3937,0.265,0.399,7.68,str('t-test'),str('bounded'),4716
Failed,,,4095,1428,702,0.789,0.541,1.851,str('ks-test'),str('full'),1701
Failed,,,2758,3823,2598,0.146,0.939,3.448,str('t-test'),str('full'),201
Failed,,,882,632,2159,0.674,0.11,7.013,str('ks-test'),str('bounded'),3363
Failed,,,2515,848,621,0.967,0.27,8.069,str('t-test'),str('bounded'),825
Failed,,,642,3917,4800,0.493,0.662,1.458,str('ks-test'),str('full'),2741
Failed,,,4304,3160,3610,0.098,0.247,7.249,str('ks-test'),str('bounded'),2334
Failed,,,2428,1292,1615,0.568,0.826,3.217,str('t-test'),str('full'),4085
Failed,,,3284,158,3414,0.88,0.994,5.208,str('ks-test'),str('bounded'),3396
Failed,,,2833,3232,118,0.295,0.704,4.172,str('ks-test'),str('bounded'),16
Failed,,,192,1883,2920,0.62,0.136,8.776,str('t-test'),str('bounded'),40
Failed,,,1653,4771,1967,0.098,0.274,5.342,str('ks-test'),str('bounded'),31
Failed,,,3990,961,4828,0.801,0.824,0.111,str('t-test'),str('bounded'),7
Failed,,,4801,4319,3289,0.942,0.924,3.315,str('ks-test'),str('bounded'),34
Failed,,,2131,470,1171,0.144,0.477,8.7,str('t-test'),str('bounded'),8
Failed,,,945,2741,3961,0.636,0.116,7.136,str('ks-test'),str('bounded'),24
Failed,,,3292,1432,1745,0.466,0.545,2.374,str('t-test'),str('bounded'),50
Failed,,,3732,4448,4354,0.204,0.22,0.963,str('ks-test'),str('bounded'),35
Failed,,,778,755,1513,0.899,0.682,5.734,str('t-test'),str('bounded'),11
Failed,,,2393,3496,3677,0.377,0.788,9.8,str('ks-test'),str('bounded'),20
Failed,,,4422,2343,934,0.71,0.371,4.403,str('t-test'),str('bounded'),44
Failed,,,4294,3045,2199,0.539,0.378,1.513,str('ks-test'),str('bounded'),17
Failed,,,1310,1852,4435,0.361,0.961,6.752,str('t-test'),str('bounded'),42
Failed,,,592,3957,355,0.853,0.568,7.688,str('ks-test'),str('bounded'),26
Failed,,,2629,304,2532,0.062,0.03,3.072,str('t-test'),str('bounded'),1
Failed,,,2727,3803,1261,0.679,0.858,6.391,str('t-test'),str('bounded'),28
Failed,,,377,150,4123,0.483,0.301,1.641,str('ks-test'),str('bounded'),4
Failed,,,1525,2891,668,0.989,0.166,2.576,str('t-test'),str('bounded'),19
Failed,,,4196,1698,3470,0.158,0.737,7.95,str('ks-test'),str('bounded'),43
Failed,,,4676,3650,4667,0.079,0.513,6.154,str('t-test'),str('bounded'),21
Failed,,,2335,2497,2450,0.756,0.085,0.935,str('ks-test'),str('bounded'),47
Failed,,,837,4602,2740,0.28,0.449,5.0,str('t-test'),str('bounded'),37
Failed,,,3479,909,621,0.571,0.89,9.593,str('ks-test'),str('bounded'),12
Failed,,,3234,2587,2977,0.837,0.344,8.202,str('t-test'),str('bounded'),23
Failed,,,1199,1278,233,0.013,0.754,3.579,str('ks-test'),str('bounded'),48
Failed,,,1877,4165,4899,0.52,0.65,2.015,str('t-test'),str('bounded'),33
Failed,,,4860,316,2057,0.316,0.191,7.261,str('ks-test'),str('bounded'),8
Failed,,,3775,4924,1056,0.424,0.061,9.371,str('t-test'),str('bounded'),29
Failed,,,1751,1115,3233,0.723,0.6,3.967,str('ks-test'),str('bounded'),4
Failed,,,95,3386,1654,0.247,0.994,0.533,str('t-test'),str('bounded'),14
Failed,,,3049,2037,3890,0.916,0.407,5.311,str('ks-test'),str('bounded'),39
Failed,,,3107,2805,1851,0.003,0.128,9.487,str('ks-test'),str('bounded'),43
Failed,,,153,1456,4009,0.832,0.713,4.716,str('t-test'),str('bounded'),19
Failed,,,1770,4354,1174,0.325,0.819,0.651,str('ks-test'),str('bounded'),3
Failed,,,3795,543,3430,0.526,0.279,6.047,str('t-test'),str('bounded'),27
Failed,,,4918,4844,4705,0.728,0.473,8.0,str('ks-test'),str('bounded'),12
Failed,,,1936,995,1941,0.434,0.929,2.76,str('t-test'),str('bounded'),38
Failed,,,1218,3257,2861,0.91,0.536,1.825,str('ks-test'),str('bounded'),47
Failed,,,3253,1946,38,0.237,0.125,6.441,str('t-test'),str('bounded'),21
Failed,,,3459,3932,2624,0.469,0.673,5.029,str('ks-test'),str('bounded'),8
Failed,,,817,240,427,0.678,0.229,0.424,str('t-test'),str('bounded'),32
Failed,,,2276,2971,4473,0.171,0.367,3.858,str('ks-test'),str('bounded'),48
Failed,,,4617,1818,2334,0.992,0.793,9.089,str('t-test'),str('bounded'),24
Failed,,,4177,3462,786,0.758,0.956,7.448,str('ks-test'),str('bounded'),39
Failed,,,1505,2270,3667,0.093,0.383,2.062,str('t-test'),str('bounded'),13
Failed,,,318,4385,1457,0.568,0.022,3.626,str('ks-test'),str('bounded'),4
Failed,,,2669,731,4241,0.267,0.577,8.388,str('t-test'),str('bounded'),30
Failed,,,2610,4538,473,0.897,0.312,2.327,str('t-test'),str('bounded'),6
Failed,,,572,884,2729,0.189,0.848,6.95,str('ks-test'),str('bounded'),31
Failed,,,1251,3616,2395,0.712,0.743,8.514,str('t-test'),str('bounded'),40
Failed,,,4236,2423,4553,0.39,0.159,3.267,str('ks-test'),str('bounded'),16
Failed,,,4402,2818,3562,0.375,0.092,0.22,str('t-test'),str('bounded'),50
Failed,,,2374,1664,739,0.54,0.506,5.624,str('ks-test'),str('bounded'),24
Failed,,,719,3779,4161,0.049,0.901,9.058,str('t-test'),str('bounded'),9
Failed,,,3674,86,1397,0.85,0.438,4.28,str('ks-test'),str('bounded'),35
Failed,,,3351,3410,3767,0.615,0.764,2.888,str('t-test'),str('bounded'),45
Failed,,,1003,2100,1628,0.285,0.333,7.638,str('ks-test'),str('bounded'),21
Failed,,,2151,4998,3173,0.808,0.198,6.702,str('t-test'),str('bounded'),11
Failed,,,4821,1149,976,0.108,0.643,1.329,str('ks-test'),str('bounded'),35
Failed,,,4049,4199,2163,0.155,0.607,4.687,str('t-test'),str('bounded'),1
Failed,,,1712,389,4947,0.948,0.054,9.906,str('ks-test'),str('bounded'),27
Failed,,,212,2651,236,0.457,0.418,5.84,str('t-test'),str('bounded'),42
Failed,,,2853,1302,3118,0.63,0.984,1.248,str('ks-test'),str('bounded'),16
Failed,,,2926,4268,4387,0.864,0.107,1.416,str('t-test'),str('bounded'),19
Failed,,,256,618,2248,0.036,0.554,6.811,str('ks-test'),str('bounded'),45
Failed,,,1570,2731,2544,0.558,0.915,7.746,str('t-test'),str('bounded'),36
Failed,,,3917,1541,347,0.358,0.486,2.975,str('ks-test'),str('bounded'),10
Failed,,,4708,3182,1543,0.404,0.265,1.022,str('t-test'),str('bounded'),26
Failed,,,2068,2032,4326,0.699,0.832,5.637,str('ks-test'),str('bounded'),1
Failed,,,1027,4759,867,0.207,0.695,9.702,str('t-test'),str('bounded'),17
Failed,,,3366,1069,3748,0.88,0.145,4.462,str('ks-test'),str('bounded'),42
Failed,,,3669,3052,1103,0.647,0.591,3.373,str('t-test'),str('bounded'),32
Failed,,,684,1745,3360,0.44,0.008,8.602,str('ks-test'),str('bounded'),6
Failed,,,2467,4005,1774,0.961,0.401,7.039,str('t-test'),str('bounded'),15
Failed,,,4504,159,3933,0.141,0.938,2.433,str('ks-test'),str('bounded'),41
Failed,,,4358,4457,2933,0.125,0.811,4.074,str('t-test'),str('bounded'),25
Failed,,,1402,650,110,0.79,0.349,8.835,str('ks-test'),str('bounded'),49
Failed,,,519,3544,4780,0.298,0.243,5.4,str('t-test'),str('bounded'),33
Failed,,,2546,2197,2016,0.601,0.66,0.013,str('ks-test'),str('bounded'),9
Failed,,,2800,3697,3245,0.22,0.456,9.274,str('ks-test'),str('bounded'),33
Failed,,,461,2350,1048,0.927,0.884,4.026,str('t-test'),str('bounded'),8
Failed,,,1461,4611,3843,0.421,0.52,0.591,str('ks-test'),str('bounded'),23
Failed,,,4104,804,1704,0.742,0.078,5.213,str('t-test'),str('bounded'),48
Failed,,,4602,3852,166,0.509,0.173,8.26,str('ks-test'),str('bounded'),14
Failed,,,2252,5,3047,0.342,0.73,3.481,str('t-test'),str('bounded'),39
Failed,,,899,2899,2087,0.819,0.865,1.917,str('ks-test'),str('bounded'),29
Failed,,,3572,1592,4870,0.017,0.295,7.32,str('t-test'),str('bounded'),4
Failed,,,3151,4913,2480,0.253,0.97,6.212,str('ks-test'),str('bounded'),18
Failed,,,1125,1223,4639,0.582,0.431,0.837,str('t-test'),str('bounded'),44
Failed,,,1971,3336,554,0.076,0.037,4.903,str('ks-test'),str('bounded'),29
Failed,,,4922,2185,2810,0.775,0.624,9.651,str('t-test'),str('bounded'),3
Failed,,,3859,2577,4074,0.978,0.625,6.293,str('ks-test'),str('bounded'),37
Failed,,,1823,1387,1310,0.184,0.215,1.699,str('t-test'),str('bounded'),12
Failed,,,3,4114,3482,0.661,0.319,2.634,str('ks-test'),str('bounded'),22
Failed,,,2984,464,659,0.487,0.778,7.852,str('t-test'),str('bounded'),46
Failed,,,2993,3513,4176,0.737,0.275,0.121,str('ks-test'),str('bounded'),42
Failed,,,37,2321,1373,0.412,0.815,5.371,str('t-test'),str('bounded'),16
Failed,,,1810,4426,3582,0.934,0.717,8.805,str('ks-test'),str('bounded'),1
Failed,,,3838,772,721,0.231,0.132,4.181,str('t-test'),str('bounded'),27
Failed,,,4961,3979,2416,0.028,0.121,2.384,str('ks-test'),str('bounded'),11
Failed,,,1976,286,4535,0.825,0.532,7.165,str('t-test'),str('bounded'),35
Failed,,,1103,3027,489,0.334,0.933,8.73,str('ks-test'),str('bounded'),45
Failed,,,3139,1874,2706,0.504,0.476,3.325,str('t-test'),str('bounded'),20
Failed,,,3578,4788,257,0.766,0.789,4.432,str('ks-test'),str('bounded'),9
Failed,,,938,939,3099,0.071,0.363,9.809,str('t-test'),str('bounded'),35
Failed,,,2241,3210,2179,0.593,0.233,5.744,str('ks-test'),str('bounded'),50
Failed,,,4579,1900,4923,0.26,0.677,0.993,str('t-test'),str('bounded'),24
Failed,,,4139,2763,3190,0.494,0.573,3.102,str('ks-test'),str('bounded'),40
Failed,,,1470,1414,953,0.671,0.018,7.698,str('t-test'),str('bounded'),16
Failed,,,439,4302,3788,0.18,0.387,6.762,str('ks-test'),str('bounded'),6
Failed,,,2787,492,1610,0.97,0.96,1.542,str('t-test'),str('bounded'),30
Failed,,,2572,4143,2877,0.351,0.163,7.901,str('t-test'),str('bounded'),4
Failed,,,537,334,15,0.547,0.747,2.508,str('ks-test'),str('bounded'),30
Failed,,,1372,2605,4726,0.041,0.844,1.572,str('t-test'),str('bounded'),39
Failed,,,4354,1256,1923,0.873,0.308,6.342,str('ks-test'),str('bounded'),13
Failed,,,4520,3368,1194,0.888,0.442,9.544,str('t-test'),str('bounded'),48
Failed,,,2495,2059,3411,0.212,0.905,4.932,str('ks-test'),str('bounded'),24
Failed,,,684,4947,1866,0.688,0.502,0.867,str('t-test'),str('bounded'),8
Failed,,,3636,1097,3986,0.397,0.088,6.105,str('ks-test'),str('bounded'),32
Failed,,,3393,2869,1478,0.13,0.646,7.193,str('t-test'),str('bounded'),47
Failed,,,1044,1715,4223,0.955,0.202,1.966,str('ks-test'),str('bounded'),21
Failed,,,2034,3821,802,0.448,0.329,3.53,str('t-test'),str('bounded'),12
Failed,,,4707,127,3644,0.653,0.761,8.133,str('ks-test'),str('bounded'),38
Failed,,,3935,4584,4489,0.606,0.988,5.243,str('t-test'),str('bounded'),3
Failed,,,1595,931,2311,0.307,0.422,0.484,str('ks-test'),str('bounded'),27
Failed,,,252,3672,2645,0.783,0.051,3.918,str('t-test'),str('bounded'),43
Failed,,,2896,2479,408,0.114,0.603,9.303,str('ks-test'),str('bounded'),19
Failed,,,2890,4508,2108,0.379,0.49,8.359,str('t-test'),str('bounded'),22
Failed,,,219,701,4852,0.705,0.919,3.734,str('ks-test'),str('bounded'),47
Failed,,,1688,3585,182,0.198,0.55,2.17,str('t-test'),str('bounded'),37
Failed,,,4038,2238,3024,0.902,0.103,7.419,str('ks-test'),str('bounded'),12
Failed,,,4829,3099,3858,0.855,0.149,9.216,str('t-test'),str('bounded'),28
Failed,,,2186,1791,1680,0.058,0.699,3.809,str('ks-test'),str('bounded'),3
Failed,,,990,4061,3266,0.533,0.829,0.376,str('t-test'),str('bounded'),18
Failed,,,3330,215,1029,0.365,0.261,5.156,str('ks-test'),str('bounded'),44
Failed,,,3710,3127,3498,0.1,0.942,6.548,str('t-test'),str('bounded'),29
Failed,,,727,1975,636,0.797,0.405,1.795,str('ks-test'),str('bounded'),5
Failed,,,2354,4713,4095,0.29,0.004,2.731,str('t-test'),str('bounded'),14
