index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
0,0.4389904003267973,0.9669010882796648,2934,4803,0.0061026417613029,0.5670263998350129,intersection,0.0691530337743461,False
1,0.4571674836601306,0.9667924716029136,4697,4611,0.0087477199928835,0.8388021421758458,intersection,0.0751979014929384,False
2,0.4968564133986928,0.9655031947005988,2811,2573,0.0164053409155929,0.3609261416744976,intersection,0.0716578221510862,False
3,0.565846609477124,0.9470517544745816,2731,921,0.0256327598359893,0.0192009109321811,intersection,0.0737039542108291,False
4,0.5697060866013071,0.9461401469514008,2811,772,0.0411605994451756,0.0351373895912331,intersection,0.0526410735801263,False
5,0.5732073120915031,0.9461037391675188,1622,722,0.0369818854476892,0.0311356611987636,intersection,0.0544977574967766,False
6,0.5826930147058824,0.9428856289553584,2802,611,0.0415050733570014,0.0153794826530942,intersection,0.0766956230876157,False
7,0.5953027982026142,0.9339021468216652,2755,535,0.0393673049465854,0.0149394155903204,intersection,0.0211672469254214,False
8,0.5994810049019608,0.9306936507538632,3864,535,0.0294564044199758,0.0149394155903204,intersection,0.0333966913122479,False
9,0.6051945465686275,0.9194210142025198,3138,240,0.009834344161727,0.0302936559434432,intersection,0.0378723548074529,False
10,0.6128382352941175,0.916226383816678,2510,191,0.0240804679433586,0.0231271979712613,intersection,0.0805871832543137,False
11,0.6158424223856207,0.9077526354582716,2481,124,0.0266600095276837,0.0228373815911561,intersection,0.0555077894764513,False
12,0.6171529820261435,0.905267272441309,2606,123,0.0255370085873135,0.0337339833229179,intersection,0.0473702136361148,False
13,0.6310361519607842,0.8854232850758077,2476,75,0.0289121444686461,0.0152551893994307,intersection,0.053732139483855,False
14,0.6348615196078431,0.8831794358814653,2755,100,0.1546123342289134,0.0149394155903204,intersection,0.0579562931196127,False
15,0.6414812091503269,0.8775153789870673,2728,72,0.0483263553014757,0.0321932881963509,intersection,0.0766358201137661,False
16,0.4403335375816993,0.9654805000822628,4811,4743,0.2313414527298882,0.8341612793756649,intersection,0.0690187260136008,False
17,0.4571795343137254,0.9654113696670176,2789,3266,0.0207028020136058,0.3873042497606948,intersection,0.0490647519845515,False
18,0.6388083129084966,0.874312391390244,2755,79,0.1282513375752589,0.0149394155903204,intersection,0.0403669709467322,False
19,0.6412276348039215,0.8667477796570952,3050,60,0.0215903549764516,0.0236177436213194,intersection,0.0766843848411602,False
