index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
0,0.2083418641067542,0.9711002311091788,4408,3766,0.0651745077091913,0.6580154301703987,intersection,0.0199319242454099,False
1,0.3455727532679736,0.947878967644817,2111,972,0.3029087700230862,0.0326416348344728,intersection,0.058054621884497,False
2,0.3554351579520696,0.9470189172167214,1547,796,0.0710194327260828,0.0308554755791062,intersection,0.0417908313627553,False
3,0.3595925653594769,0.9430781263933916,1547,796,0.0710194327260828,0.0308554755791062,intersection,0.0493875629907983,False
4,0.3828275735294116,0.9383368873006036,1944,631,0.0722987169770211,0.0308554755791062,intersection,0.025377663042677,False
5,0.4445924496187362,0.9152656236759784,1586,294,0.3029087700230862,0.0234996881039683,intersection,0.049567308867908,False
6,0.4794800040849671,0.8799141103639339,4871,204,0.0445601861923892,0.0029746443477536,intersection,0.0594613822273304,False
7,0.1938035879629634,0.9707907102403016,4859,3169,0.0972850147326217,0.6839647469931824,intersection,0.0534669967562311,False
8,0.212282189542484,0.96922077292538,4622,3553,0.0317353219473734,0.6280904644671828,intersection,0.0188357566874474,False
9,0.2151016884531593,0.9685772314278324,4816,4165,0.0940862008817493,0.5275001228377223,intersection,0.0187590627623721,False
10,0.3888519471677558,0.9360412514882088,1610,694,0.3397750759012997,0.0133837420437484,intersection,0.0510501263476908,False
11,0.4122645220588233,0.9329997993428292,1586,631,0.3029087700230862,0.0062315498112303,intersection,0.0402334540698233,False
12,0.4291483183551198,0.9169746534831916,1586,294,0.3029087700230862,0.0090979412374807,intersection,0.0544235178393114,False
13,0.4294728894335511,0.9162379246387644,1586,294,0.3029087700230862,0.0090979412374807,intersection,0.0582605926768672,False
14,0.4467665441176471,0.9078553720995264,3315,294,0.3029087700230862,0.0090979412374807,intersection,0.0449428894104902,False
15,0.4652402913943355,0.8913222893056185,4873,295,0.0436434762791556,0.0221097237306251,intersection,0.0432635411335909,False
16,0.4702260212418299,0.8890830239734244,4970,213,0.0762448293208122,0.0527243394906611,intersection,0.0434843428718237,False
17,0.4792916734749454,0.8742274719262892,4850,140,0.0277613021275848,0.0680748541580022,intersection,0.0554807434277852,False
18,0.4837656522331154,0.8632278125640899,4725,98,0.023868854549412,0.071022439754622,intersection,0.0480231511993152,False
19,0.5167025258714597,0.8139445358320478,4804,103,0.0543803833719836,0.0705976697868509,intersection,0.0514540985091675,True
