index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
0,0.4651582212585889,0.9828355229277824,4473,4094,0.43409555359371,0.7464238910190761,intersection,0.0103323086816817,False
1,0.4669771786492376,0.9805585493773676,116,4706,0.532400734262541,0.8857665894385427,intersection,0.0110268435720354,False
2,0.4678757421023965,0.9800686486932284,3442,2287,0.0089243036201223,0.5585796200875193,intersection,0.0226552460156381,False
3,0.4700393314270151,0.9797336089688232,4594,2473,0.0212080620490014,0.3162612316515297,intersection,0.011943848254159,False
4,0.4757119689542482,0.9726046637455936,1608,3001,0.0220702797445035,0.033612830868593,intersection,0.0306321669144421,False
5,0.4917919185729847,0.9460910186664544,1018,495,0.302544884089623,0.0300871709656245,intersection,0.0119310181700438,False
6,0.495287037037037,0.9209463265992556,1185,512,0.2325070004685727,0.0559817530388666,intersection,0.065229676876019,False
7,0.5054726851851853,0.8540678559882501,1104,344,0.6434615200437455,0.1487341214601421,intersection,0.0678776762480403,False
8,0.5147800925925927,0.7469978296837876,915,67,0.0262757336008749,0.0155022186034652,intersection,0.0311042041164198,False
9,0.5194601375272334,0.7287018634050996,1093,139,0.2413382246215579,0.0226643287368286,intersection,0.0628447971262071,False
10,0.5317455950435731,0.670944128553635,804,63,0.5241789149227016,0.0683003337183371,intersection,0.0679528265876533,False
11,0.5324620029956427,0.6695447931969168,213,76,0.6705092574834345,0.0973089147125309,intersection,0.0679376300202495,False
12,0.5506996391612202,0.621411333086955,1233,63,0.5548358790400953,0.122283021320839,intersection,0.0695589187649348,False
13,0.561435042211329,0.6208795431258668,1239,73,0.5998643260035437,0.1778734356758906,intersection,0.0684215237213274,False
14,0.48842848583878,0.9425419937628348,1181,722,0.2095676231095567,0.0085656012035906,intersection,0.0886896932125091,False
15,0.4901624863834422,0.9263199143248178,1194,512,0.4376266778403114,0.0819821550070238,intersection,0.0594685361624561,False
16,0.4947842592592592,0.9174666166097392,1185,512,0.2325070004685727,0.0559817530388666,intersection,0.0589029361477269,False
17,0.4999144880174292,0.8822234524188894,832,364,0.1672843070862479,0.0125109708007024,intersection,0.0587779219124603,False
18,0.5439486179193901,0.6672627012141258,1194,67,0.5053309981690692,0.072015369823794,intersection,0.0658958784775129,False
19,0.5534049768518519,0.5965414474755426,1217,113,0.7038953720868537,0.1471376669552701,intersection,0.061399386572161,False
