index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
0,0.2206794096050529,0.9259440407481262,17,3830,0.0016127204336225,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
1,0.2377122464708057,0.9223950379297828,26,3106,0.0035010755125115,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
2,0.4312895600943029,0.9010238251717808,135,407,0.1738655919198355,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
3,0.4475821484141215,0.891821094298867,191,407,0.1624205353490553,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
4,0.4616355241719545,0.8914167619773893,293,470,0.152904624486342,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
5,0.4785787907782598,0.8790102814116512,363,407,0.1619595949955974,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
6,0.4857395136801845,0.8772870272415876,155,291,0.1052400254635543,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
7,0.492127701719795,0.8754869027598307,203,326,0.1276100705303251,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
8,0.5045931774464084,0.8641406057540576,313,322,0.1432445559706539,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
9,0.512121636836167,0.858869518128705,285,291,0.1624205353490553,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
10,0.5130531222561399,0.8569207003056827,191,242,0.1763566375813186,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
11,0.5233666062741745,0.8545246663308057,228,250,0.1551469186823815,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
12,0.5325609212541615,0.8511262209672074,44,154,0.1934227705249228,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
13,0.5367632962575679,0.8480436047347661,245,238,0.1215715403892099,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
14,0.5427680481222226,0.8479437426984283,65,143,0.1768202389110071,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
15,0.5513863208302986,0.8470784241560158,54,135,0.1774517212326041,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
16,0.5570360193102284,0.8354998568919229,62,122,0.1722623199923616,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
17,0.5968677723711892,0.8062804337449105,92,79,0.1220956431011165,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
18,0.6306931922609087,0.7625317232992157,231,77,0.1731382106216187,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
19,0.631124172254502,0.7578059659767135,285,79,0.1765087591450885,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
