index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,feature_id,threshold,window_size
0,0.4053657,0.862756066,19.0,0.0,0.991978867,1274.0
1,0.418336214,0.862417962,19.0,5.0,0.991978867,2211.0
2,0.437422717,0.858443889,22.0,7.0,0.978571876,4845.0
3,0.447003545,0.838478467,3.0,9.0,0.687227575,4974.0
4,0.475124735,0.784451504,24.0,0.0,0.429788093,2776.0
5,0.478184909,0.782324705,9.0,0.0,0.398513034,2962.0
6,0.504188609,0.739168308,2.0,0.0,0.285834945,2651.0
7,0.527877601,0.664216505,9.0,0.0,0.079637905,3230.0
8,0.534705179,0.659247727,17.0,3.0,0.276492286,676.0
9,0.553924318,0.641753146,14.0,3.0,0.136083374,1274.0
10,0.568713245,0.624344133,14.0,3.0,0.085668039,1202.0
11,0.594662837,0.610280286,4.0,9.0,0.07596793,2261.0
12,0.596390691,0.594051929,9.0,3.0,0.040289948,3359.0
13,0.332010749,0.874259213,1342.0,21.0,0.981050184,1025.0
14,0.459160858,0.805506042,8.0,0.0,0.361182797,4751.0
15,0.480588372,0.765493755,19.0,0.0,0.389517023,2229.0
16,0.509512789,0.685996371,5.0,3.0,0.351937993,1217.0
17,0.553732961,0.639029167,14.0,3.0,0.148157622,1274.0
18,0.588150976,0.60055357,19.0,3.0,0.085668039,2967.0
19,0.591973283,0.587170253,19.0,3.0,0.066074182,2433.0
