dataset,recommendation_attempted_count,recommendation_completed_count,completion_rate,benchmark_pareto_completed_count,paper_default_total_count,paper_default_completed_count,gd_plus,igd_plus,recommendation_benchmark_dominance_rate,benchmark_pareto_dominated_rate,exact_r2_recommendations,exact_r2_benchmark,r2_gap,recommendation_default_dominance_rate,default_dominated_rate,spearman_accuracy,spearman_runtime
Electricity,20,20,1.0,2,2,2,0.5078174101355539,0.25000000000000006,0.0,0.0,0.17118151027436027,0.09802873484097893,0.07315277543338133,0.1,0.5,0.1172138266535962,0.7822117484696574
ForestCovertype,20,20,1.0,13,2,2,0.031922447477342214,0.2148531492471037,0.0,0.0,0.36192289354758655,0.1747307975935176,0.18719209595406897,0.0,0.0,0.5209880722517277,0.5209880722517277
GasSensor,20,20,1.0,8,2,2,0.0889673229528648,0.13108800075387098,0.0,0.0,0.20245938668259603,0.17863874488559245,0.023820641797003578,0.0,0.0,0.5181017117406378,0.5181017117406378
NOAAWeather,20,20,1.0,2,2,2,0.48551549589285764,0.35515495892857624,0.0,0.0,0.2838190423226682,0.19780114785377662,0.08601789446889158,1.0,1.0,0.37796447300922725,0.37796447300922725
OutdoorObjects,20,20,1.0,2,2,2,0.05,0.0,0.0,0.0,0.20833333333333362,0.29166666666666774,-0.08333333333333412,0.25,1.0,0.7336267891526626,0.7336267891526626
Ozone,20,20,1.0,2,2,2,0.0,0.5,0.0,0.0,0.5,0.25,0.25,1.0,1.0,,
PokerHand,20,20,1.0,17,2,2,0.018969264930077216,0.22889693228182262,0.85,0.058823529411764705,0.23103404311524242,0.16607358349573378,0.06496045961950864,0.0,0.0,0.6216640293707959,0.6216640293707959
RialtoBridgeTimelapse,20,20,1.0,23,2,1,0.1370678764143493,0.2836245163751137,0.0,0.0,0.19555332316583673,0.11338130056894627,0.08217202259689046,0.0,0.0,0.6886500387556949,0.20961719364230863
SensorStream,20,20,1.0,16,2,1,0.029746953815166427,0.1420049321404353,0.8,0.0625,0.2301254157382509,0.19342783920294623,0.03669757653530467,0.1,1.0,0.6775760560563593,0.8086079871033942
