dataset,recommendation_attempted_count,recommendation_completed_count,completion_rate,benchmark_pareto_completed_count,paper_default_total_count,paper_default_completed_count,gd_plus,igd_plus,recommendation_benchmark_dominance_rate,benchmark_pareto_dominated_rate,exact_r2_recommendations,exact_r2_benchmark,r2_gap,recommendation_default_dominance_rate,default_dominated_rate,spearman_accuracy,spearman_runtime
Electricity,20,20,1.0,3,6,6,0.338934966811881,0.17346477570631832,0.0,0.0,0.14134475940484809,0.08098972226835192,0.06035503713649616,1.0,1.0,0.2443115446165385,0.6837975155284136
ForestCovertype,20,20,1.0,8,2,1,0.02908097352199863,0.03957894769565709,0.4,0.625,0.14564878316942284,0.16751675515848174,-0.021867971989058904,0.75,1.0,0.9609770159542237,0.6857142857142857
GasSensor,20,20,1.0,9,2,2,0.03190880589212382,0.03621935561346944,0.35,0.5555555555555556,0.14798236123782538,0.14336816711130757,0.004614194126517812,0.7,1.0,0.5221087228245055,0.7602200662345631
NOAAWeather,20,20,1.0,3,2,2,0.1576781504843277,0.16666666666666666,0.2,0.3333333333333333,0.2902715128269485,0.22223696325986506,0.06803454956708346,0.9,1.0,0.8495907904857465,0.9845010552495268
OutdoorObjects,20,20,1.0,2,6,6,0.0,0.0,0.9,0.5,0.25,0.3720384731684579,-0.1220384731684579,0.9,0.6666666666666666,0.5202659817144719,0.5202659817144719
Ozone,20,20,1.0,2,16,16,0.0,0.5,0.0,0.0,0.5,0.25,0.25,0.0,0.0,,
PokerHand,20,20,1.0,11,2,1,0.0001187902713934652,0.0,0.95,1.0,0.0431159945573122,0.20312848621871998,-0.1600124916614078,0.65,1.0,0.9817938174972232,0.643098954843448
RialtoBridgeTimelapse,20,20,1.0,8,6,6,0.023953341363978482,0.0,0.8,1.0,0.08053548551208892,0.21886522061060362,-0.1383297350985147,1.0,1.0,0.922242647662051,0.8354063778450186
SensorStream,20,20,1.0,4,2,1,0.25973673642385925,0.0834914123136172,0.05,0.25,0.20514314114266557,0.19151709693984545,0.013626044202820126,0.15,1.0,0.8125240736836987,0.7378714323993245
