index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
0,0.2875207274525987,0.9414075833928842,12.0,4342.0,0.5175193949405507,18.0,0.025
1,0.2898039685884714,0.9401387419708596,92.0,4256.0,0.5454268943214718,25.0,0.01
2,0.3063393081678167,0.938747390286443,145.0,4270.0,0.4872717345158305,18.0,0.01
3,0.3172718215291313,0.9361061463677652,145.0,4270.0,0.4872717345158305,18.0,0.05
4,0.3227120704037369,0.9310726744569608,274.0,4282.0,0.5176657061405056,17.0,0.05
5,0.3763855703656871,0.8896331208122236,482.0,3425.0,0.4662530852483156,28.0,0.1
6,0.4207700719725569,0.8622707108186969,1249.0,3221.0,0.5743692285589519,25.0,0.25
7,0.423746276247007,0.8523501149385309,1259.0,3094.0,0.5511394845955785,5.0,0.25
8,0.4448159776735797,0.8339808856067159,1018.0,2607.0,0.490937920862665,1.0,0.1
9,0.4905532962512416,0.8043841003441905,54.0,552.0,0.2301614049747194,22.0,0.25
10,0.5107091950137271,0.7995930616443027,71.0,483.0,0.6759444010443946,9.0,0.1
11,0.5169073381861391,0.7941356416729477,71.0,483.0,0.6759444010443946,9.0,0.05
12,0.5332751419323052,0.7935603913605729,71.0,483.0,0.6759444010443946,9.0,0.025
13,0.553925425973171,0.7712635986008239,86.0,457.0,0.7544666287172809,11.0,0.25
14,0.5860908819095442,0.7624948073118781,212.0,471.0,0.6963025921420769,14.0,0.025
15,0.6753762144505324,0.6592815780165424,82.0,184.0,0.417325957971062,3.0,0.1
16,0.702197693351202,0.6461189777436341,88.0,150.0,0.6637710321297629,3.0,0.025
17,0.7126162923680389,0.622338040016127,117.0,155.0,0.3706376345649624,11.0,0.025
18,0.7628638709643422,0.5673306964465353,39.0,54.0,0.2022320731390837,23.0,0.25
19,0.782879355908477,0.5318396565927213,120.0,61.0,0.2629927950685846,19.0,0.25
