index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
0,0.4377119202535871,0.9879673495006184,100.0,4237.0,0.4440156346578151,48.0,0.05
1,0.4402545267489712,0.9876909619240274,140.0,4796.0,0.5333208057247102,43.0,0.05
2,0.4688197475253031,0.9848888857695126,835.0,4285.0,0.9333888054881244,44.0,0.1
3,0.4719712851740629,0.9836552242999376,993.0,4170.0,0.8009531031902879,46.0,0.1
4,0.4744755561116671,0.9832472925786916,2225.0,3053.0,0.8350145025867969,41.0,0.05
5,0.4974117422978533,0.978362107425604,1500.0,2473.0,0.8996878766771406,50.0,0.25
6,0.5249433906128351,0.966066023470807,1761.0,1595.0,0.8330846747945342,39.0,0.1
7,0.5277168084751418,0.9574616385909962,3094.0,1503.0,0.9800869050733744,50.0,0.25
8,0.5278509231453676,0.954119799991904,3733.0,1595.0,0.7512194993521546,33.0,0.1
9,0.5288627349571795,0.9518496426091404,3708.0,1550.0,0.761725337954238,34.0,0.1
10,0.5310501140028918,0.9500400449302864,1838.0,949.0,0.7355097384694964,29.0,0.1
11,0.6212249999999998,0.7307931363588043,2914.0,397.0,0.2033618803201311,23.0,0.25
12,0.6545033755978199,0.6431790403039228,2893.0,260.0,0.1904008932430297,20.0,0.25
13,0.6713098487376262,0.5990958894494527,2851.0,208.0,0.14956643655159,23.0,0.25
14,0.6873733844956064,0.578776972407168,2870.0,193.0,0.164572386689843,22.0,0.25
15,0.6919713658102544,0.5609867339081972,2788.0,168.0,0.2220116480251816,23.0,0.25
16,0.698286658881103,0.5499135222804925,2792.0,155.0,0.1827562901178143,22.0,0.25
17,0.7004396674452226,0.5365945935434409,2672.0,135.0,0.1948060277331387,22.0,0.25
18,0.7130559615170722,0.5288885234870015,2787.0,123.0,0.1500577788800001,22.0,0.25
19,0.7442764180847509,0.4920572531816976,3069.0,118.0,0.2071370764488691,22.0,0.25
