index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
0,0.322031924,0.899621922,48.0,4793.0,0.384795282,34.0,0.05
1,0.331393212,0.897056364,20.0,4652.0,0.260871373,11.0,0.05
2,0.345094547,0.893007179,184.0,4567.0,0.390114443,35.0,0.05
3,0.34568065,0.892758617,35.0,4863.0,0.220496395,49.0,0.05
4,0.355029653,0.892028582,121.0,4676.0,0.24518438,10.0,0.05
5,0.362575174,0.891689055,35.0,4863.0,0.220496395,49.0,0.1
6,0.371452337,0.890587548,157.0,4962.0,0.303325589,20.0,0.05
7,0.402194572,0.87906498,499.0,4669.0,0.269638284,12.0,0.025
8,0.409372322,0.878750737,499.0,4669.0,0.269638284,12.0,0.05
9,0.437134935,0.871208934,2257.0,4609.0,0.406052114,24.0,0.25
10,0.607801312,0.845311032,68.0,441.0,0.259889615,7.0,0.25
11,0.659689215,0.827983874,72.0,368.0,0.588875449,18.0,0.25
12,0.674620626,0.8074787,137.0,343.0,0.394626324,11.0,0.25
13,0.684369553,0.794702663,254.0,441.0,0.562838753,6.0,0.25
14,0.74243902,0.770021602,33.0,134.0,0.436864238,3.0,0.25
15,0.764118117,0.732435602,145.0,166.0,0.286085095,3.0,0.25
16,0.764785846,0.718989393,108.0,156.0,0.275501593,5.0,0.25
17,0.769842988,0.714350923,169.0,170.0,0.560711206,3.0,0.25
18,0.808411787,0.644735476,92.0,62.0,0.264954928,5.0,0.25
19,0.815409481,0.597733379,190.0,65.0,0.184481425,12.0,0.25
