index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
0,0.2172974045683108,0.8963640290474094,41.0,4477.0,0.3677166371140629,1.0,0.05
1,0.2429332989422171,0.8940353369822458,191.0,4902.0,0.3740854127332568,5.0,0.05
2,0.2628934283698902,0.8905439469821134,2353.0,4922.0,0.3454617582391947,23.0,0.01
3,0.2813410903593649,0.8902085086683366,2260.0,4955.0,0.6579743798337877,31.0,0.25
4,0.2869090709130178,0.8901469026417933,2557.0,4972.0,0.6718469494301825,23.0,0.25
5,0.2940913493903257,0.8891239558278283,2276.0,4990.0,0.1170216472130268,9.0,0.25
6,0.3076269703914439,0.8890526229164706,2154.0,4777.0,0.0455215525962412,8.0,0.25
7,0.3229932395846135,0.8884708558786814,3186.0,4986.0,0.5977511213961989,26.0,0.25
8,0.3230277572894531,0.8864291842911239,3220.0,4866.0,0.808970159811899,4.0,0.005
9,0.3269166845207779,0.8858220288784454,3220.0,4866.0,0.808970159811899,4.0,0.001
10,0.6691043675729458,0.7165833202109447,450.0,379.0,0.7942619834318757,14.0,0.025
11,0.7002916352450607,0.6712077772002047,919.0,442.0,0.7257956683319062,11.0,0.01
12,0.716593478645989,0.64921197936443,286.0,236.0,0.5129668462146073,15.0,0.1
13,0.7653052985045586,0.5897317699931119,1863.0,210.0,0.2037265384598042,17.0,0.25
14,0.7894717187097035,0.539001837729248,1838.0,142.0,0.2896741352809971,16.0,0.25
15,0.8004906760604303,0.5085746034241095,1706.0,115.0,0.2516333078633914,17.0,0.25
16,0.815991891880378,0.4534313595073625,681.0,102.0,0.4584397058095783,23.0,0.1
17,0.8181377333219306,0.4159638177248725,1153.0,118.0,0.4929485237141523,18.0,0.1
18,0.8276017989725626,0.3794491516225767,1020.0,78.0,0.5017206320222467,26.0,0.1
19,0.844031607605571,0.3539354275312471,944.0,53.0,0.6714713992867619,20.0,0.1
