index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
0,0.348223808311235,0.9088880111083952,87.0,4802.0,0.9243080775724204,1.0,0.01
1,0.3486665741765156,0.9060902628546332,87.0,4802.0,0.9243080775724204,1.0,0.005
2,0.3537470101680628,0.9029184155776132,132.0,4959.0,0.9080166862035444,9.0,0.005
3,0.40112980099983,0.8856624833858816,2354.0,4836.0,0.4345938511111472,5.0,0.025
4,0.4022814926569312,0.8841184164361514,590.0,4419.0,0.8284518302882324,10.0,0.005
5,0.4059278295839698,0.8831013839851981,2284.0,4937.0,0.4397307593664386,3.0,0.025
6,0.4887913791649171,0.8247933123202839,2810.0,2532.0,0.7659425604237268,8.0,0.05
7,0.5256892459711177,0.7939300409163369,3252.0,2428.0,0.8706734010651116,12.0,0.05
8,0.5343635097085385,0.7874753416777817,528.0,1579.0,0.8228032937130434,13.0,0.25
9,0.5484564129849698,0.7710625444150296,76.0,448.0,0.4993285760212094,9.0,0.1
10,0.5551357448091361,0.7661352693785318,567.0,1321.0,0.9968479613838443,14.0,0.025
11,0.5845731261416929,0.7497435415142171,14.0,312.0,0.5373781395116752,4.0,0.05
12,0.5965094592700715,0.7473372897776491,14.0,312.0,0.5373781395116752,4.0,0.25
13,0.6041101030535765,0.7445723294510905,32.0,297.0,0.4652218280045,4.0,0.1
14,0.6343029659985795,0.7262589003503769,63.0,267.0,0.4330681903813703,3.0,0.05
15,0.6920014610612295,0.6905609284866846,124.0,204.0,0.8523549900302887,5.0,0.1
16,0.7033762549447186,0.6872432557875681,124.0,204.0,0.8523549900302887,5.0,0.25
17,0.7316731063591795,0.6679145109108147,59.0,125.0,0.8414143667224356,2.0,0.25
18,0.7674059344495424,0.6176545286529928,81.0,89.0,0.4863997405765698,6.0,0.1
19,0.7698728310244802,0.6014979650071051,114.0,92.0,0.5082169614144457,7.0,0.1
