Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
Completed,0.32,8,4129,3052,9.453,0.038,False,False
Completed,0.62,367,3715,170,6.265,0.011,True,True
Completed,0.32,8,4890,4991,9.943,0.024,False,False
Completed,0.61,1043,3928,470,9.82,0.011,True,True
Completed,0.32,8,3281,1719,3.586,0.008,False,False
Completed,0.61,532,836,342,3.082,0.026,False,True
Completed,0.51,1106,1,2,4.766,0.05,True,True
Completed,0.32,8,194,965,5.787,0.042,False,False
Completed,0.62,258,3448,117,9.462,0.028,False,True
Completed,0.3,12,1189,392,1.658,0.037,False,False
Completed,0.6,2498,3892,755,6.755,0.007,True,True
Completed,0.52,48,3839,386,0.001,0.04,True,False
Completed,0.41,5016,1,2,0.001,0.008,False,True
Completed,0.32,281,1,2,10.0,0.0,False,False
Completed,0.46,1633,5000,2,0.001,0.025,True,True
Completed,0.6,4549,1555,975,0.001,0.008,True,True
Completed,0.32,12,4147,129,2.875,0.037,False,False
Completed,0.32,11,1548,3790,0.85,0.014,False,False
Completed,0.32,8,2316,1814,3.091,0.02,False,False
Completed,0.32,7,945,3429,8.067,0.049,False,False
Completed,0.61,1768,4991,498,2.242,0.005,True,True
Completed,0.6,3547,3166,814,3.277,0.046,False,True
Completed,0.6,5621,4326,1332,5.347,0.018,False,True
Completed,0.6,3056,1909,734,0.28,0.033,False,True
Completed,0.32,8,4766,3196,6.027,0.036,False,False
Completed,0.61,1115,1175,421,4.282,0.017,True,True
Completed,0.6,3142,2495,592,5.56,0.025,False,True
Completed,0.35,18,4648,2976,0.751,0.028,False,False
Completed,0.6,3809,668,914,8.942,0.025,True,True
Completed,0.32,7,3343,2092,5.73,0.003,False,False
Completed,0.32,8,2863,4802,7.814,0.007,False,False
Completed,0.32,7,2230,1473,9.797,0.035,False,False
Completed,0.32,9,1900,670,3.656,0.041,False,False
Completed,0.33,13,1733,4931,0.186,0.044,False,False
Completed,0.63,291,40,123,7.36,0.026,True,True
Completed,0.51,841,1,2,6.791,0.05,False,True
Completed,0.51,955,5000,2,6.91,0.05,False,True
Completed,0.51,941,1,2,8.129,0.05,False,True
Completed,0.32,8,5000,4187,10.0,0.0,False,False
Completed,0.43,24,5000,1116,0.001,0.05,False,False
Completed,0.4,197,5000,3166,0.001,0.05,True,False
Completed,0.61,1004,3487,478,1.212,0.038,False,True
Completed,0.32,8,132,2514,3.244,0.017,False,False
Completed,0.32,11,2390,194,8.291,0.045,False,False
Completed,0.32,8,1322,4211,5.524,0.042,False,False
Completed,0.6,5455,4102,1175,4.481,0.003,True,True
Completed,0.32,19,1236,1855,0.397,0.02,False,False
Completed,0.32,8,4280,4346,8.615,0.03,False,False
Completed,0.6,1249,325,540,8.954,0.018,False,True
Completed,0.32,11,3079,1819,9.378,0.05,False,False
Completed,0.32,9,4401,4149,4.663,0.015,False,False
Completed,0.6,4597,1460,1037,1.381,0.016,True,True
Completed,0.32,35,4433,17,5.221,0.033,False,False
Completed,0.3,14,3087,2691,0.115,0.005,False,False
Completed,0.32,8,3690,2424,8.206,0.004,False,False
Completed,0.32,9,3751,4793,3.335,0.031,False,False
Completed,0.6,2746,1595,605,6.661,0.024,True,True
Completed,0.37,22,4883,845,0.487,0.029,False,False
Completed,0.32,8,2600,3172,5.439,0.007,False,False
Completed,0.6,6053,973,1145,7.781,0.036,False,True
Completed,0.6,4569,3310,1008,5.892,0.048,False,True
Completed,0.32,9,580,3346,8.55,0.02,False,False
Completed,0.6,6231,2735,1266,1.446,0.037,True,True
Completed,0.32,10,4556,2947,3.509,0.006,False,False
Completed,0.37,25,4078,1419,0.039,0.009,False,False
Completed,0.32,8,3363,3788,5.301,0.03,False,False
Completed,0.6,3751,1202,830,4.705,0.013,True,True
Completed,0.32,9,710,2287,5.155,0.016,False,False
Completed,0.32,7,781,3159,4.416,0.036,False,False
Completed,0.32,13,1780,800,9.62,0.003,False,False
Completed,0.32,8,1932,4816,6.853,0.012,False,False
Completed,0.61,2489,4752,570,3.153,0.044,True,True
Completed,0.33,11,588,2499,1.569,0.027,False,False
Completed,0.6,5683,2875,1122,2.384,0.01,False,True
Completed,0.6,4683,226,948,4.254,0.022,False,True
Completed,0.32,11,2631,2325,4.757,0.039,False,False
Completed,0.61,589,2109,393,0.053,0.032,True,True
Completed,0.32,11,3821,661,6.548,0.015,False,False
Completed,0.32,17,3737,3296,1.287,0.049,False,False
Completed,0.32,8,2789,1023,3.411,0.031,False,False
Completed,0.32,8,4730,3697,8.126,0.009,False,False
Completed,0.32,9,3982,1943,5.359,0.006,False,False
Completed,0.33,11,3579,4571,0.563,0.034,False,False
Completed,0.6,6034,2206,1250,5.333,0.029,True,True
Completed,0.29,24,4233,200,1.816,0.025,False,False
Completed,0.32,9,3210,2567,6.611,0.041,False,False
Completed,0.32,9,1190,2702,9.721,0.028,False,False
Completed,0.32,376,1252,65,4.984,0.012,False,False
Completed,0.32,10,2383,4326,1.513,0.003,False,False
Completed,0.32,11,101,1642,6.326,0.037,False,False
Completed,0.61,1094,2659,363,7.063,0.005,False,True
Completed,0.6,6705,4008,1363,4.168,0.031,False,True
Completed,0.39,498,634,768,0.71,0.047,True,False
Completed,0.62,437,1836,276,0.854,0.028,False,True
Completed,0.32,12,2927,620,8.695,0.033,False,False
Completed,0.32,7,2055,1886,4.497,0.027,False,False
Completed,0.33,10,1579,3727,1.649,0.036,False,False
Completed,0.32,7,862,1090,6.777,0.002,False,False
Completed,0.62,417,4983,273,9.372,0.005,False,True
Completed,0.32,9,289,3791,4.904,0.001,False,False
Completed,0.32,8,1028,3926,8.372,0.043,False,False
Completed,0.32,12,1416,1281,3.169,0.021,False,False
Completed,0.38,18,2218,3122,0.322,0.018,False,False
Completed,0.32,10,263,445,5.605,0.045,False,False
Completed,0.63,297,3853,139,2.666,0.04,False,True
Completed,0.32,8,929,4436,3.731,0.047,False,False
Completed,0.32,10,1630,2079,8.468,0.018,False,False
Completed,0.32,9,2082,3520,5.074,0.022,False,False
Completed,0.37,19,440,1199,0.261,0.044,False,False
Completed,0.6,4003,4343,878,8.044,0.049,False,True
Completed,0.6,5045,1386,743,6.096,0.037,False,True
Completed,0.32,7,1849,977,7.118,0.04,False,False
Completed,0.32,7,2020,4683,9.341,0.05,False,False
Completed,0.6,300,4821,84,0.656,0.008,True,True
Completed,0.32,7,539,2009,4.076,0.015,False,False
Completed,0.6,2991,2944,632,4.902,0.046,False,True
Completed,0.54,580,754,31,9.442,0.024,True,True
Completed,0.32,7,3528,1225,9.868,0.014,False,False
Completed,0.32,8,3916,3592,4.838,0.048,False,False
Completed,0.59,6663,1756,1804,5.158,0.009,True,True
Completed,0.32,9,4718,2063,1.368,0.039,False,False
Completed,0.32,8,2762,4393,6.473,0.023,False,False
Completed,0.62,337,563,225,3.532,0.034,True,True
