Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
Completed,0.58,39,3877,3130,7.766,0.028,False,False
Completed,0.67,154,2969,1102,1.242,0.025,False,False
Completed,0.58,43,2604,3979,4.755,0.043,False,False
Completed,0.58,82,3597,276,7.826,0.034,False,False
Completed,0.58,33,3062,3846,6.261,0.028,False,False
Completed,0.58,451,2625,55,7.851,0.014,False,False
Completed,0.66,208,4222,3025,0.703,0.034,False,False
Completed,0.58,50,4751,1743,3.43,0.029,False,False
Completed,0.58,40,3385,3775,5.579,0.024,False,False
Completed,0.58,41,2211,3940,7.59,0.004,False,False
Completed,0.65,137,925,1598,1.067,0.05,False,False
Completed,0.72,3106,5000,2,0.603,0.024,True,False
Completed,0.67,616,4232,2504,0.521,0.0,True,False
Completed,0.68,571,834,1351,0.55,0.011,True,False
Completed,0.69,533,2969,1102,0.613,0.049,True,False
Completed,0.69,538,2969,1102,0.636,0.016,True,False
Completed,0.72,197,1,443,0.001,0.05,False,False
Completed,0.58,51,4282,1639,6.279,0.01,False,False
Completed,0.58,46,4690,2816,9.006,0.003,False,False
Completed,0.59,81,3406,164,2.483,0.045,False,False
Completed,0.65,838,3818,4955,0.366,0.022,True,False
Completed,0.58,1588,2231,14,4.494,0.028,False,False
Completed,0.58,44,866,2985,6.643,0.019,False,False
Completed,0.58,47,144,1783,9.228,0.018,False,False
Completed,0.58,48,1742,3816,2.08,0.036,False,False
Completed,0.7,214,2969,1102,0.565,0.014,False,False
Completed,0.68,752,2982,927,0.616,0.001,True,False
Completed,0.68,154,989,342,0.531,0.05,False,False
Completed,0.58,50,1337,953,3.254,0.005,False,False
Completed,0.58,38,510,3299,5.403,0.049,False,False
Completed,0.58,42,959,2094,7.988,0.038,False,False
Completed,0.58,42,4637,1950,5.039,0.033,False,False
Completed,0.65,216,5000,3739,0.001,0.0,False,False
Completed,0.79,2543,4316,165,1.036,0.05,False,True
Completed,0.69,433,1,708,0.001,0.05,True,False
Completed,0.79,5067,2434,182,10.0,0.05,True,True
Completed,0.79,3234,1,5,0.001,0.05,False,True
Completed,0.72,201,1,526,0.001,0.0,False,False
Completed,0.7,170,5000,433,0.001,0.05,False,False
Completed,0.67,226,4653,2239,0.001,0.05,False,False
Completed,0.63,172,1,4181,0.001,0.0,False,False
Completed,0.71,180,5000,676,0.001,0.0,False,False
Completed,0.66,215,5000,3582,0.001,0.05,False,False
Completed,0.65,209,1,5000,0.001,0.0,False,False
Completed,0.58,60,1885,693,10.0,0.05,False,False
Completed,0.66,222,1,3533,0.001,0.0,False,False
Completed,0.58,34,1,3504,10.0,0.05,False,False
Completed,0.68,190,1,1842,0.001,0.0,False,False
Completed,0.67,193,1,2502,0.001,0.05,False,False
Completed,0.65,242,1,5000,0.001,0.05,False,False
Completed,0.68,244,1,2033,0.001,0.05,False,False
Completed,0.71,190,1,729,0.001,0.05,False,False
Completed,0.65,266,4682,4304,0.001,0.05,False,False
Completed,0.7,207,5000,1575,0.001,0.05,False,False
Completed,0.68,250,5000,1885,0.001,0.0,False,False
Completed,0.67,257,1,2984,0.001,0.05,False,False
Completed,0.67,296,5000,2920,0.001,0.05,False,False
Completed,0.66,230,1,3543,0.001,0.05,False,False
Completed,0.58,38,5000,4551,10.0,0.0,False,False
Completed,0.58,71,5000,630,10.0,0.0,False,False
Completed,0.65,709,1,4219,0.001,0.0,True,False
Completed,0.67,243,1,2800,0.001,0.0,False,False
Completed,0.58,39,5000,5000,10.0,0.05,False,False
Completed,0.68,249,5000,1826,0.001,0.05,False,False
Completed,0.58,35,1,4237,10.0,0.0,False,False
Completed,0.58,48,1,3642,10.0,0.0,False,False
