Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
Completed,0.05,329,3172,289,3.206,0.032,False,False
Completed,0.05,208,833,535,3.692,0.048,False,False
Completed,0.07,155,623,4002,2.32,0.042,False,False
Completed,0.06,131,1425,2271,7.126,0.01,False,False
Completed,0.07,109,1953,2508,3.342,0.011,False,False
Completed,0.06,99,1034,1109,8.467,0.041,False,False
Completed,0.06,88,33,4673,7.398,0.048,False,False
Completed,0.06,292,1694,1717,1.889,0.005,False,False
Completed,0.06,125,2522,1780,3.593,0.016,False,False
Completed,0.06,143,4181,4453,8.39,0.034,False,False
Completed,0.06,109,4440,1027,6.996,0.027,False,False
Completed,0.05,306,3523,2747,2.43,0.022,False,False
Completed,0.06,145,3589,1660,9.72,0.04,False,False
Completed,0.06,149,4388,4611,4.605,0.009,False,False
Completed,0.06,103,197,2943,5.684,0.037,False,False
Completed,0.07,446,1819,909,1.123,0.018,False,False
Completed,0.06,132,2709,680,4.652,0.001,False,False
Completed,0.05,145,46,1082,4.829,0.017,False,False
Completed,0.09,321,1076,4392,1.184,0.023,False,False
Completed,0.06,135,1878,1724,5.76,0.029,False,False
Completed,0.06,106,1467,3367,4.398,0.029,False,False
Completed,0.06,252,548,406,9.908,0.022,False,False
Completed,0.06,106,807,3814,5.956,0.016,False,False
Completed,0.1,481,2468,2420,0.833,0.035,False,False
Completed,0.06,96,3320,2327,4.958,0.046,False,False
Completed,0.06,90,4979,4063,9.526,0.002,False,False
Completed,0.06,147,3978,479,5.86,0.008,False,False
Completed,0.07,413,3061,3137,1.064,0.04,False,False
Completed,0.06,146,1264,4180,3.612,0.042,False,False
Completed,0.06,117,462,2132,8.175,0.012,False,False
Completed,0.05,195,4099,759,4.075,0.029,False,False
Completed,0.06,97,2633,3090,8.965,0.022,False,False
Completed,0.06,101,1590,2870,5.581,0.008,False,False
Completed,0.06,100,4792,3562,8.72,0.014,False,False
Completed,0.06,106,3751,1912,7.3,0.02,False,False
Completed,0.07,171,2952,4243,2.182,0.025,False,False
Completed,0.06,120,3674,887,8.29,0.027,False,False
Completed,0.06,104,4591,2925,3.478,0.02,False,False
Completed,0.05,624,4342,1294,2.379,0.013,False,False
Completed,0.06,130,2683,4900,6.95,0.033,False,False
Completed,0.06,99,1855,4807,8.528,0.05,False,False
Completed,0.06,121,193,1543,3.418,0.006,False,False
Completed,0.07,236,1185,2999,1.979,0.012,False,False
Completed,0.06,145,2104,658,7.484,0.044,False,False
Completed,0.06,93,2039,4882,4.744,0.024,False,False
Completed,0.06,116,1237,1272,9.546,0.031,False,False
Completed,0.06,101,4946,1424,5.551,0.024,False,False
Completed,0.11,427,3144,4080,0.342,0.029,False,False
Completed,0.06,101,3116,1100,9.962,0.029,False,False
Completed,0.06,101,4329,3016,9.772,0.045,False,False
Completed,0.06,125,4549,1522,6.25,0.039,False,False
Completed,0.1,363,3749,4790,0.735,0.007,False,False
Completed,0.06,1273,2910,28,9.421,0.008,False,False
Completed,0.06,96,3827,3628,4.848,0.038,False,False
Completed,0.09,308,4818,2154,1.008,0.044,False,False
Completed,0.06,92,3159,4197,5.819,0.002,False,False
Completed,0.06,109,2308,4261,9.974,0.019,False,False
Completed,0.05,118,646,1935,4.469,0.036,False,False
Completed,0.11,393,397,3545,0.929,0.03,False,False
Completed,0.06,188,1316,267,6.037,0.025,False,False
