Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
Completed,0.92,2385,359,248,6.502,0.031,False,True
Completed,0.6,26,3358,494,1.796,0.034,False,False
Completed,0.19,22,4868,2551,7.763,0.013,False,False
Completed,0.19,27,4162,2251,7.18,0.019,False,False
Completed,0.91,4411,1494,377,8.322,0.029,False,True
Completed,0.68,29,3043,1624,1.341,0.016,False,False
Completed,0.19,23,3929,3921,7.854,0.032,False,False
Completed,0.19,25,4477,1115,7.205,0.025,False,False
Completed,0.18,23,3593,3178,3.25,0.022,False,False
Completed,0.67,29,2039,3428,1.574,0.007,False,False
Completed,0.19,26,1147,1033,7.617,0.04,False,False
Completed,0.91,6932,3905,425,0.975,0.024,True,True
Completed,0.19,21,441,3857,6.972,0.046,False,False
Completed,0.37,27,1334,1852,3.487,0.001,False,False
Completed,0.65,27,516,1279,1.652,0.003,False,False
Completed,0.19,22,1061,3455,3.564,0.008,False,False
Completed,0.19,27,1965,851,6.894,0.039,False,False
Completed,0.83,893,2520,2354,0.055,0.041,True,False
Completed,0.19,28,3655,757,7.932,0.027,False,False
Completed,0.66,33,4567,3693,1.262,0.02,False,False
Completed,0.61,25,3866,1500,3.173,0.014,False,False
Completed,0.49,25,3956,1091,4.277,0.005,False,False
Completed,0.19,22,2976,3369,5.244,0.048,False,False
Completed,0.81,45,3215,1920,0.693,0.047,False,False
Completed,0.19,22,4812,4882,9.804,0.006,False,False
Completed,0.33,32,4268,164,5.451,0.013,False,False
Completed,0.63,25,2670,2892,3.781,0.041,False,False
Completed,0.71,32,1703,3090,1.084,0.031,False,False
Completed,0.19,82,117,109,9.413,0.022,False,False
Completed,0.19,22,818,4771,5.061,0.017,False,False
Completed,0.19,23,1052,1557,9.973,0.029,False,False
Completed,0.19,22,508,3713,5.555,0.035,False,False
Completed,0.53,25,1468,738,3.964,0.018,False,False
Completed,0.92,3085,4423,305,0.315,0.014,False,True
Completed,0.19,22,2343,4602,9.49,0.018,False,False
Completed,0.7,32,726,2193,1.005,0.035,False,False
Completed,0.61,24,177,2531,4.095,0.03,False,False
Completed,0.19,24,2652,4542,3.615,0.028,False,False
Completed,0.64,32,1725,4480,1.562,0.038,False,False
Completed,0.19,22,208,2481,7.997,0.009,False,False
Completed,0.19,26,757,2799,7.413,0.003,False,False
Completed,0.56,29,2275,410,3.381,0.044,False,False
Completed,0.77,761,948,630,0.272,0.021,True,False
Completed,0.92,882,4020,27,8.633,0.041,False,True
Completed,0.92,2077,3004,199,4.203,0.025,True,True
Completed,0.19,21,1421,4274,7.54,0.045,False,False
Completed,0.92,853,4615,58,6.332,0.021,True,True
Completed,0.81,62,1196,4106,0.334,0.047,False,False
Completed,0.19,32,2186,1439,8.897,0.006,False,False
Completed,0.66,4594,1680,457,1.624,0.018,True,False
Completed,0.19,27,3447,1335,5.966,0.016,False,False
Completed,0.91,2752,1012,299,8.492,0.008,True,True
Completed,0.19,23,4429,4373,4.53,0.037,False,False
Completed,0.79,58,4036,907,0.1,0.031,False,False
Completed,0.19,21,3053,3554,9.133,0.022,False,False
Completed,0.92,1782,1374,154,0.661,0.01,True,True
Completed,0.19,24,2954,4202,7.284,0.033,False,False
Completed,0.22,25,4577,1300,5.166,0.043,False,False
Completed,0.92,1715,2070,178,7.732,0.034,True,True
Completed,0.19,22,3604,4255,4.356,0.01,False,False
Completed,0.92,1083,3565,96,7.446,0.045,True,True
Completed,0.78,44,2013,4141,0.785,0.025,False,False
Completed,0.77,1589,1433,1893,0.353,0.024,True,False
Completed,0.19,28,3896,806,8.105,0.025,False,False
Completed,0.19,23,3530,2526,4.704,0.04,False,False
Completed,0.69,36,2795,1522,1.867,0.049,False,False
Completed,0.19,21,4938,4487,5.97,0.015,False,False
Completed,0.92,3022,711,326,5.121,0.02,False,True
Completed,0.75,973,3466,748,0.571,0.034,True,False
Completed,0.35,35,4125,70,4.377,0.015,False,False
Completed,0.19,23,3145,3359,7.776,0.049,False,False
Completed,0.17,25,1794,512,5.139,0.024,False,False
Completed,0.19,32,2585,470,9.726,0.011,False,False
