Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
Completed,0.73,1,414,3937,7.666,0.014,False,False
Completed,0.74,3876,1417,3742,9.124,0.02,True,True
Completed,0.74,1183,547,1128,4.531,0.046,True,True
Completed,0.73,1,4026,3886,7.108,0.011,False,False
Completed,0.73,1,3074,1267,1.861,0.037,False,False
Completed,0.75,2734,2082,2465,5.708,0.017,True,True
Completed,0.73,1,3740,2530,3.285,0.028,False,False
Completed,0.73,1,4610,145,8.066,0.002,False,False
Completed,0.75,3537,1132,4845,0.331,0.044,True,True
Completed,0.73,12,172,2069,1.019,0.002,True,False
Completed,0.73,56,325,1362,5.602,0.012,True,False
Completed,0.74,2916,3857,3652,2.869,0.045,False,True
Completed,0.74,1711,2931,1189,8.243,0.022,False,True
Completed,0.73,26,1326,3820,0.824,0.036,True,False
Completed,0.73,974,1914,45,4.317,0.026,True,False
Completed,0.74,2990,118,3005,6.79,0.033,False,True
Completed,0.74,3283,4320,2945,8.595,0.041,False,True
Completed,0.74,618,2781,326,2.752,0.018,False,True
Completed,0.73,20,1792,4684,5.016,0.025,True,False
Completed,0.73,57,2376,909,9.84,0.035,True,False
Completed,0.74,4203,3366,4086,2.418,0.021,False,True
Completed,0.75,1880,4985,1701,6.545,0.045,False,True
Completed,0.73,22,838,3288,3.81,0.012,True,False
Completed,0.73,1,1078,162,7.488,0.022,False,False
Completed,0.74,2219,706,1727,8.37,0.029,False,True
Completed,0.74,12,4726,3267,0.637,0.015,True,False
Completed,0.73,69,3175,648,5.396,0.038,True,False
Completed,0.74,3409,2333,4342,2.976,0.006,False,True
Completed,0.75,956,1670,626,2.175,0.01,False,True
Completed,0.73,18,2512,4389,9.441,0.048,True,False
Completed,0.75,1217,3767,1073,0.087,0.031,True,True
Completed,0.74,10,5000,1946,0.001,0.0,True,False
Completed,0.73,19,5000,5000,10.0,0.05,True,False
Completed,0.73,13,1,2,10.0,0.05,False,False
Completed,0.73,19,1,5000,0.001,0.0,True,False
Completed,0.73,2,1,25,0.001,0.05,False,False
Completed,0.73,1,5000,5000,10.0,0.024,False,False
Completed,0.73,22,1,5000,0.001,0.05,True,False
Completed,0.73,13,1,2,0.001,0.0,False,False
Completed,0.73,1,5000,5000,0.001,0.016,False,False
Completed,0.73,1,1,901,10.0,0.0,False,False
Completed,0.73,1,1,5000,0.001,0.0,False,False
Completed,0.73,1,5000,1624,10.0,0.05,False,False
Completed,0.73,12,5000,2,0.001,0.0,False,False
Completed,0.73,1,1,5000,10.0,0.042,False,False
Completed,0.73,1,1,1472,0.001,0.05,False,False
Completed,0.73,33,5000,1624,10.0,0.0,True,False
Completed,0.74,4,1,33,0.001,0.05,True,False
Completed,0.73,47,1,1213,10.0,0.05,True,False
Completed,0.73,8,5000,1350,0.001,0.05,True,False
Completed,0.75,99,2636,31,0.001,0.039,True,True
Completed,0.75,80,1,33,0.001,0.036,True,True
Completed,0.74,18,1,3347,0.001,0.0,True,False
Completed,0.74,79,1490,12,0.001,0.034,True,True
Completed,0.73,25,1,5000,0.001,0.023,True,False
Completed,0.73,25,1,5000,10.0,0.0,True,False
Completed,0.73,1,172,2069,0.001,0.019,False,False
Completed,0.73,1,5000,1946,0.001,0.01,False,False
Completed,0.73,1,1,2033,10.0,0.009,False,False
Completed,0.73,1,1,1300,0.001,0.0,False,False
Completed,0.73,18,5000,5000,0.001,0.013,True,False
Completed,0.73,18,5000,5000,10.0,0.024,True,False
Completed,0.73,1,1,3079,10.0,0.0,False,False
Completed,0.74,10,1,1871,0.001,0.05,True,False
Completed,0.73,1,5000,2187,10.0,0.014,False,False
Completed,0.73,1,5000,1038,0.001,0.05,False,False
Completed,0.75,98,4905,65,6.297,0.026,True,True
Completed,0.74,11,1,1283,0.001,0.0,True,False
Completed,0.73,6,1,401,0.001,0.0,True,False
Completed,0.73,13,1,2,10.0,0.0,False,False
Completed,0.73,12,1,3127,0.001,0.05,True,False
Completed,0.73,1,3566,761,10.0,0.02,False,False
Completed,0.73,16,1,2,10.0,0.04,False,False
Completed,0.75,78,1,33,0.001,0.027,True,True
Completed,0.73,1,1,3079,10.0,0.035,False,False
Completed,0.73,27,1,2750,10.0,0.036,True,False
Completed,0.73,1,1,5000,0.001,0.037,False,False
Completed,0.73,8,5000,425,0.001,0.0,True,False
Completed,0.75,94,4897,33,3.813,0.031,True,True
Completed,0.73,23,1,5000,10.0,0.05,True,False
Completed,0.75,104,5000,200,0.001,0.05,False,True
Completed,0.75,92,5000,72,10.0,0.05,False,True
Completed,0.75,77,5000,71,10.0,0.043,True,True
Completed,0.75,88,5000,177,10.0,0.05,True,True
Completed,0.74,13,1,528,0.001,0.05,True,False
Completed,0.74,171,1919,306,10.0,0.05,False,True
Completed,0.74,8,1,1300,0.001,0.043,True,False
Completed,0.73,1,4160,2975,0.001,0.015,False,False
Completed,0.74,74,5000,19,0.001,0.05,True,True
Completed,0.73,1,2803,676,10.0,0.04,False,False
Completed,0.75,71,1,33,5.518,0.047,True,True
Completed,0.73,93,1,632,10.0,0.0,True,False
Completed,0.73,1,1,5000,10.0,0.0,False,False
Completed,0.73,19,1430,4116,0.001,0.05,True,False
Completed,0.73,18,1,4119,10.0,0.0,True,False
Completed,0.75,83,4336,38,0.001,0.013,True,True
Completed,0.73,1,1,267,10.0,0.01,False,False
Completed,0.73,20,263,4489,0.001,0.007,True,False
Completed,0.74,79,5000,19,0.001,0.018,True,True
Completed,0.73,1,3885,3904,10.0,0.05,False,False
Completed,0.73,49,1335,1456,7.503,0.041,True,False
Completed,0.73,250,5000,180,10.0,0.05,True,False
Completed,0.73,1,1,485,0.001,0.0,False,False
