Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
Completed,0.85,4877,2991,1,0.395,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.6,14,3044,2775,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.84,2956,629,1,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,57,2294,80,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,82,2255,58,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.85,832,2158,1,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,298,5000,66,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,58,2338,96,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,59,2318,99,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.64,59,5000,643,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,224,5000,93,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,237,4642,86,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.78,75,2227,45,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.65,48,5000,709,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.83,198,2168,9,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.67,57,4104,625,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,62,2274,69,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,109,3768,206,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,59,2373,111,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,154,5000,137,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.77,525,5000,36,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.58,8,1,46,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.52,9,1,1001,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.64,51,5000,653,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.63,61,4614,619,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.65,41,3560,664,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,173,4628,127,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,71,2297,77,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.57,9,1,63,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,116,3240,214,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.58,27,5000,2233,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,96,3848,257,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.57,25,5000,2299,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,95,3172,184,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.57,15,5000,3984,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,100,3321,242,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.52,10,1,2660,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,190,4289,192,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.57,19,4364,3988,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.87,554,2044,1,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.52,13,1,4437,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.58,27,5000,2326,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.56,14,5000,4321,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.55,17,4019,4325,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.82,93,2110,15,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.58,26,5000,2177,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.57,29,5000,2272,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.56,24,4611,4040,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.57,22,3802,2349,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.56,24,5000,2601,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
