Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
Completed,0.88,331,3532,2408,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.93,474,1806,894,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.8,228,2913,4159,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,363,300,706,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.85,266,1849,4063,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.89,283,1779,3196,0.198,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.86,270,1839,3520,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.89,470,4078,621,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.85,276,1816,5000,0.225,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.88,491,1577,751,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,216,418,4708,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.82,245,645,2379,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.89,329,1823,2433,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.87,262,3536,3320,0.01,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.82,412,2751,656,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.86,265,4972,4136,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.77,222,2884,4818,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.84,270,3525,4235,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,316,746,878,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,579,3530,882,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.87,254,3012,2376,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.78,234,381,3089,0.252,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.89,582,3943,544,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.77,223,335,2500,0.128,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.78,222,2845,4569,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.8,256,2953,4819,0.127,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.86,493,1358,659,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.87,350,3539,3188,0.19,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
