Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
Completed,0.7,17,5000,1648,0.252,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,12,5000,5000,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,13,1,5000,0.453,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,52,4943,3874,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.57,11,1,1315,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,10,1,885,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.67,22,3337,3631,0.577,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.63,37,1,3590,0.787,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,23,5000,870,0.316,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.56,11,1,4713,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,13,5000,4656,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,33,5000,487,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.66,12,1,3053,0.321,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.62,35,5000,2033,0.812,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,358,2054,1,0.428,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.64,48,23,3846,0.861,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,33,5000,3463,0.685,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.59,59,1,5000,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,46,5000,3651,0.899,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.62,15,1,3714,0.485,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,23,4979,778,0.164,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,3511,2671,1,0.121,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,4213,2694,1,0.284,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,2946,552,1,0.432,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,5842,1112,1,0.791,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,1956,377,1,0.185,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,438,4682,22,0.843,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,2589,494,1,0.659,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,4852,2764,1,0.199,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,3571,693,1,0.373,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,3277,2572,1,0.363,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,3421,582,1,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,339,1995,38,0.247,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,2405,430,1,0.456,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,4358,2723,1,0.368,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
