Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
Completed,0.8,1036,584,259,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,466,2580,975,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.8,1642,2465,187,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,308,2603,4280,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.78,1058,2521,504,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.68,265,877,5000,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.62,177,82,2958,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,351,356,1673,0.444,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,639,2509,1120,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,469,925,3182,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.64,225,248,4525,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.66,184,2315,4277,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.67,653,2591,5000,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.66,188,2178,2244,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,234,346,1881,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,389,338,1445,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.64,316,241,3983,0.496,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.66,178,154,2484,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,426,2471,739,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.64,190,261,5000,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,1042,3870,813,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.77,784,598,730,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.78,1574,1735,463,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,314,2500,2137,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.79,1245,622,399,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,481,2627,1674,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,548,553,1171,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.79,1275,2641,344,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,711,593,862,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.81,1514,622,136,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.77,783,2648,734,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,640,3818,2497,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.81,1325,2631,163,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,1067,1722,1256,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,600,2663,1225,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,654,2659,886,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.77,772,609,630,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,405,502,1504,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.78,840,2645,478,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,222,2445,2455,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,286,1644,4526,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,1311,1741,805,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,386,2580,1862,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,215,2579,3326,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.79,999,2615,408,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.8,1152,2616,255,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,421,2621,1349,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.78,701,2627,619,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,292,3047,4484,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,318,2504,2853,0.28,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,286,311,2101,0.259,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,458,2633,1087,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,414,1758,3640,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.82,1586,2601,84,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.81,1566,442,156,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,315,537,1266,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.77,735,2624,797,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.78,944,2637,539,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.68,304,437,3361,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,326,2596,3742,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,407,3271,4569,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.66,231,204,3358,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,327,345,2224,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,393,428,1739,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.68,383,3228,5000,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.67,212,463,4385,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,510,2633,943,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,391,542,1077,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.77,1217,3612,523,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,361,392,1203,0.419,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,258,2540,2772,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,308,2915,2892,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.81,1345,496,141,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
