Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
Completed,0.31,1174,3805,1226,0.703,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.17,1070,1458,3286,0.256,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.3,1074,1925,1258,0.351,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.16,1371,4587,4192,0.674,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.33,995,2994,690,0.099,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.07,1617,334,3549,0.923,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.03,1334,28,2059,0.051,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.08,1982,2680,4992,0.975,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.48,5594,4896,203,0.299,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.05,1476,2245,3060,0.722,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.31,1160,1338,970,0.793,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.2,1012,3988,3269,0.243,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.27,884,2957,1066,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.23,897,3055,1518,0.005,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.21,1308,4771,2887,0.774,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.15,1009,2654,1993,0.453,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.03,2111,2048,2384,0.778,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.14,890,3465,3966,0.007,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.05,1363,304,4707,0.526,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.25,929,624,864,0.4,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.12,1207,2962,3649,0.575,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.28,1023,4457,1544,0.151,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.04,1873,2117,4258,0.827,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.22,1174,1776,2285,0.631,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.16,1153,4116,4415,0.332,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.39,1444,3148,465,0.88,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.14,1006,811,2524,0.079,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.36,1061,774,482,0.618,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.18,1050,3434,2780,0.419,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.22,1279,4305,2415,0.87,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.14,917,1642,4637,0.171,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.09,1303,549,3565,0.161,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.27,1237,2442,592,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.3,900,474,534,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.34,1189,4758,942,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.25,1326,4600,1995,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.37,1109,2486,268,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.27,1299,3761,1600,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.37,1472,4795,775,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.31,932,744,666,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.47,1653,2433,108,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.27,866,2533,714,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.15,1200,2439,1553,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.25,926,4689,1998,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.22,1200,5000,2538,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.32,1031,4441,1160,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.29,928,342,419,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.22,1297,3504,2040,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.36,1392,5000,749,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.19,834,5000,3339,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.23,885,2546,890,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.32,966,2717,603,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.21,856,2714,1270,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.36,982,546,385,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.07,1036,91,939,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.19,875,4727,3192,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.25,910,5000,1988,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.07,1204,2111,982,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.28,910,2688,783,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.19,1285,466,1092,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.33,1304,5000,1128,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.18,851,5000,3558,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.38,1083,2339,205,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.34,965,2736,527,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.27,1158,4549,1772,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.24,1142,4301,2128,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.2,1634,5000,3193,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.04,1380,1,569,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.34,1257,1942,990,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.2,1223,4146,2961,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.33,1406,3820,1026,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.31,1113,880,768,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.3,1266,4421,1323,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.19,894,4657,3370,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.29,962,4127,1412,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.23,867,2655,1094,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.29,1116,5000,1462,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.42,1223,2299,125,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.24,1041,3417,1730,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.2,934,3478,2479,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.24,1038,5000,2114,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.5,2349,2253,50,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.35,1086,2376,293,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.28,939,3925,1514,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.35,1296,3438,718,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.29,1374,4555,1447,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.32,1292,4474,1172,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.31,1014,333,367,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.18,931,4415,3530,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.3,1007,4630,1360,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.39,1157,2311,168,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.23,1781,5000,2310,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.36,1352,2340,242,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.17,1613,3131,2480,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.21,1478,3068,1754,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.2,1655,3791,2624,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.21,878,3960,2609,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.27,1158,1692,1496,0.403,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.39,1549,1150,420,0.732,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.25,1051,1675,1801,0.383,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.26,1161,1656,1701,0.535,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.28,968,1694,1323,0.123,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.32,1101,4618,1129,0.453,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.32,1232,1648,987,0.531,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.12,960,1115,4130,0.069,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.41,2477,4977,450,0.563,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.29,1229,1673,1296,0.436,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.21,1083,1500,2160,0.347,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.26,1004,1578,1608,0.409,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.41,1725,660,266,0.699,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.28,1055,4842,1620,0.412,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.46,3562,4592,309,0.475,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.14,998,3726,5000,0.249,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.46,2467,2704,141,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.42,1724,2699,226,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.14,893,5000,5000,0.097,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
