Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
Completed,0.1,2444,1965,16,135,1865,65
Completed,0.1,347,1696,8,52,1570,359
Completed,0.14,1419,1626,3,455,639,97
Completed,0.1,2011,1275,24,37,365,9
Completed,0.1,534,1835,11,124,964,147
Completed,0.1,518,941,8,423,445,89
Completed,0.1,430,1778,15,44,1519,228
Completed,0.1,453,1563,5,364,981,199
Completed,0.14,1324,1780,3,402,1778,401
Completed,0.1,1337,3281,21,67,891,39
Completed,0.1,998,4649,15,226,1302,102
Completed,0.11,638,3779,10,84,1070,265
Completed,0.1,909,582,14,249,411,79
Completed,0.1,542,1695,19,298,930,153
Completed,0.11,1007,1900,0,102,1563,187
Completed,0.1,519,1426,2,492,661,148
Completed,0.11,1197,1860,10,339,1163,217
Completed,0.1,714,1096,6,88,985,97
Completed,0.1,377,1924,24,71,1200,256
Completed,0.1,2185,1663,5,240,1488,43
Completed,0.1,1365,1712,11,263,1318,71
Completed,0.1,4356,1028,2,407,819,14
Completed,0.1,462,1765,6,160,1016,175
Completed,0.1,663,544,23,258,268,59
Completed,0.1,801,1789,23,129,1654,259
Completed,0.12,2111,1973,9,393,1740,206
Completed,0.1,1274,1416,20,449,1086,75
Completed,0.1,6755,1858,18,350,590,6
Completed,0.1,3086,1294,8,390,1012,27
Completed,0.1,536,1976,6,284,515,81
Completed,0.1,438,1560,11,139,838,164
Completed,0.1,1162,1110,25,210,489,57
Completed,0.11,1470,1481,9,293,1357,175
Completed,0.1,3144,1847,22,459,1659,131
Completed,0.1,513,935,2,72,361,53
Completed,0.1,476,1351,18,466,441,99
Completed,0.1,1797,1749,12,40,556,16
Completed,0.1,1231,1822,16,65,1287,76
Completed,0.1,11552,1387,22,234,787,5
Completed,0.1,2552,1656,25,482,1112,181
Completed,0.1,537,1767,24,156,732,103
Completed,0.1,1187,1837,14,370,1542,350
Completed,0.1,2890,1458,16,51,1233,32
Completed,0.14,6621,1134,3,356,272,3
Completed,0.1,396,3392,15,264,1551,345
Completed,0.1,3371,1922,12,500,1441,116
Completed,0.11,2344,1364,0,332,945,63
Completed,0.14,943,1599,3,79,1142,129
Completed,0.1,1174,922,17,194,865,107
Completed,0.19,386,1953,26,58,891,189
Completed,0.1,479,1898,15,468,1822,451
Completed,0.1,754,1638,7,346,1616,223
Completed,0.1,409,1576,20,110,1528,306
Completed,0.1,2427,817,20,489,394,14
Completed,0.1,4720,1839,2,201,1783,23
Completed,0.1,1083,1506,18,396,714,52
Completed,0.1,392,1883,19,226,1067,225
Completed,0.1,744,1152,15,474,768,88
Completed,0.1,5120,1592,24,321,1267,17
Completed,0.11,331,1753,10,16,228,49
Completed,0.1,399,1907,8,195,1696,343
Completed,0.12,666,1985,23,7,1490,153
Completed,0.1,1153,4188,11,144,705,43
Completed,0.1,878,3117,4,48,1114,104
Completed,0.1,509,1048,24,349,845,188
