Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
Failed,,,1914,2,409,1482,1409
Failed,,,1541,4,283,1022,1021
Failed,,,768,3,268,518,334
Failed,,,1771,1,425,1704,404
Failed,,,1157,3,24,813,616
Failed,,,1459,1,38,1220,124
Failed,,,1855,0,177,330,28
Failed,,,1214,4,280,1188,992
Failed,,,1336,2,405,1305,563
Failed,,,1902,1,11,1758,910
Failed,,,1044,2,407,650,72
Failed,,,1422,0,282,845,499
Failed,,,1511,2,451,201,189
Failed,,,1435,3,102,1340,792
Failed,,,1746,0,363,1644,875
Failed,,,1322,4,213,755,145
Failed,,,1196,2,88,748,285
Failed,,,1873,2,488,1855,696
Failed,,,1445,4,346,715,667
Failed,,,1068,1,471,786,779
Failed,,,1699,4,432,1411,1176
Failed,,,1297,3,469,1130,271
Failed,,,1549,1,159,1155,784
Failed,,,1379,3,261,264,198
Failed,,,1922,4,33,1351,646
Failed,,,1693,1,31,694,154
Failed,,,1819,3,157,811,292
Failed,,,1570,0,414,781,660
Failed,,,1687,2,276,1318,278
Failed,,,1809,4,400,1186,168
Failed,,,1875,0,230,1585,1338
Failed,,,806,0,308,123,97
Failed,,,1796,2,218,628,625
Failed,,,1849,3,269,1550,1050
Failed,,,592,1,66,470,188
Failed,,,1961,0,94,1213,439
Failed,,,1833,1,461,1253,999
Failed,,,1710,3,337,1245,572
Failed,,,1908,1,351,838,65
Failed,,,1531,4,475,659,491
Failed,,,1390,2,204,622,369
Failed,,,1018,0,79,880,203
Failed,,,1910,4,495,1521,787
Failed,,,1704,0,442,427,295
Failed,,,1351,4,109,1037,694
Failed,,,1102,1,335,1004,328
Failed,,,483,0,366,312,48
Failed,,,1667,1,190,1551,169
Failed,,,1279,3,353,912,820
Failed,,,1895,0,298,1286,1227
Failed,,,795,0,220,766,457
Failed,,,1138,3,172,1094,36
Failed,,,945,3,275,855,181
Failed,,,1738,2,72,1181,1053
Failed,,,1949,0,434,1914,110
Failed,,,1492,1,142,939,544
Failed,,,818,4,157,675,632
Failed,,,1814,0,4,1611,577
Failed,,,1241,4,416,969,412
Failed,,,1365,1,291,524,18
Failed,,,1377,0,398,1064,919
Failed,,,1551,4,61,454,69
Failed,,,757,2,198,345,224
Failed,,,1937,3,278,1822,1468
Failed,,,1753,2,103,1410,45
Failed,,,1625,4,228,1090,401
Failed,,,1371,3,140,1369,1059
Failed,,,1989,0,211,995,893
Failed,,,1868,0,359,535,419
Failed,,,1744,3,484,965,27
Failed,,,1889,1,455,1120,519
Failed,,,1513,3,330,1378,911
Failed,,,1531,1,23,937,360
Failed,,,1903,3,148,571,195
Failed,,,1727,0,165,1475,703
Failed,,,1215,1,378,390,144
Failed,,,1854,3,40,1030,868
Failed,,,1960,2,339,1741,1635
Failed,,,1838,1,222,1795,1177
Failed,,,1711,4,96,1709,1253
Failed,,,1766,4,296,905,744
Failed,,,1918,3,402,973,559
Failed,,,1164,2,316,1153,1034
Failed,,,1839,4,287,1435,380
Failed,,,1975,0,86,1832,1116
Failed,,,843,1,381,374,325
Failed,,,1583,2,29,1403,513
Failed,,,1094,0,305,490,80
Failed,,,1959,4,154,1098,932
Failed,,,1854,0,484,1638,1571
Failed,,,1659,0,160,943,424
Failed,,,1783,2,35,560,6
Failed,,,1800,0,349,1000,705
Failed,,,1130,4,202,392,307
Failed,,,1673,2,474,1492,850
Failed,,,1941,1,464,588,358
Failed,,,1438,4,58,1250,1249
Failed,,,1822,1,97,875,829
Failed,,,1559,3,91,1033,336
Failed,,,1311,1,284,1058,859
Failed,,,1633,3,134,417,130
Failed,,,993,3,21,696,567
Failed,,,1997,1,178,1511,637
Failed,,,1074,3,278,901,352
Failed,,,1446,0,404,596,204
Failed,,,741,0,295,728,451
Failed,,,1317,0,36,933,733
Failed,,,1638,4,134,1632,377
Failed,,,1997,1,40,1786,207
Failed,,,1109,3,65,1094,71
Failed,,,1874,3,425,1862,353
Failed,,,1787,4,235,388,19
Failed,,,1673,2,161,1494,68
Failed,,,1898,3,314,663,107
Failed,,,1604,4,121,831,131
Failed,,,1815,0,401,1015,170
Failed,,,640,1,75,524,35
Failed,,,1960,4,436,1551,66
Failed,,,1429,1,232,1130,48
Failed,,,1155,2,266,963,24
Failed,,,977,4,331,461,37
Failed,,,863,0,352,684,142
Failed,,,1831,4,407,1620,76
Failed,,,1371,2,324,967,10
Failed,,,1966,2,36,1389,61
Failed,,,1657,1,464,560,8
Failed,,,1806,0,155,882,189
Failed,,,1707,2,353,1343,263
Failed,,,1991,0,402,1146,140
Failed,,,1608,2,218,1296,71
Failed,,,1069,0,52,135,13
Failed,,,1769,3,282,653,112
Failed,,,1549,4,130,670,39
Failed,,,1827,0,370,1280,31
Failed,,,741,3,241,98,5
Failed,,,1709,2,61,1161,213
Failed,,,1870,3,322,1652,290
Failed,,,1478,1,21,826,41
Failed,,,1684,2,251,337,83
Failed,,,1938,1,249,1729,107
Failed,,,1849,2,192,1006,172
Failed,,,1568,0,55,1453,295
Failed,,,1524,1,308,928,147
Failed,,,1876,0,124,513,80
Failed,,,1088,3,234,984,94
Failed,,,1611,3,5,1572,27
Failed,,,1288,0,268,1090,101
Failed,,,949,0,384,804,2
Failed,,,1695,1,425,1557,343
Failed,,,927,3,348,432,19
Failed,,,1945,3,491,747,157
Failed,,,646,4,189,384,67
Failed,,,1897,3,246,1130,277
Failed,,,1677,0,9,1327,150
Failed,,,1794,1,325,1240,92
Failed,,,1580,3,174,819,102
Failed,,,1255,1,414,329,27
Failed,,,1908,0,196,1750,45
Failed,,,1385,1,35,662,103
Failed,,,1502,2,71,1431,191
Failed,,,774,4,490,727,106
Failed,,,1908,4,287,1120,26
Failed,,,1629,1,180,572,61
Failed,,,1429,4,100,961,48
Failed,,,1625,2,351,481,85
Failed,,,972,3,42,326,8
Failed,,,1298,1,146,1038,203
Failed,,,1743,3,397,1527,166
Failed,,,1533,0,412,1187,116
Failed,,,1757,4,56,638,80
Failed,,,1663,3,334,827,135
Failed,,,652,0,364,545,1
Failed,,,1724,4,68,1206,283
Failed,,,1876,2,196,1371,170
Failed,,,1052,0,225,768,91
Failed,,,1330,2,275,804,5
Failed,,,1936,1,381,1811,69
Failed,,,1460,4,477,1193,246
Failed,,,998,1,135,510,86
Failed,,,1939,3,165,855,205
Failed,,,1595,3,443,665,10
Failed,,,1817,2,87,1152,46
Failed,,,1206,2,399,988,102
Failed,,,1860,3,4,777,23
Failed,,,1585,1,406,1289,48
Failed,,,1471,1,426,819,191
Failed,,,1132,1,77,846,152
Failed,,,1465,2,248,254,40
Failed,,,1926,2,145,747,148
Failed,,,1989,3,379,1344,312
Failed,,,1643,1,264,1203,174
Failed,,,1665,4,455,1245,34
Failed,,,1890,0,75,697,6
Failed,,,1401,1,263,1348,47
Failed,,,1184,4,143,836,9
Failed,,,1312,0,17,893,98
Failed,,,1729,1,424,732,91
Failed,,,1949,2,44,1218,120
Failed,,,1565,3,195,1327,143
Failed,,,1786,1,73,1220,279
Failed,,,838,4,371,531,60
Failed,,,1490,4,229,782,94
Failed,,,1561,1,478,277,7
Failed,,,1818,4,179,621,2
Failed,,,1934,3,354,467,104
Failed,,,1115,1,105,974,13
Failed,,,1711,3,145,495,50
Failed,,,1397,4,352,1048,168
Failed,,,937,1,7,748,9
Failed,,,1755,1,211,1106,124
Failed,,,1599,4,183,1562,93
Failed,,,1419,1,430,1005,56
Failed,,,1136,2,38,555,31
Failed,,,1902,3,272,671,163
Failed,,,1963,2,6,1300,265
Failed,,,1684,0,133,1152,127
Failed,,,1324,3,193,1224,12
Failed,,,1147,1,132,363,63
