Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
Completed,0.5,5912,1806,8,30,1643,275
Completed,0.41,3649,1492,3,175,766,144
Completed,0.5,4201,1768,1,47,1246,218
Completed,0.5,13001,847,2,481,434,33
Completed,0.5,7285,1397,8,69,656,85
Completed,0.5,5237,4667,2,194,1230,194
Completed,0.5,7495,3143,1,113,836,128
Completed,0.5,7049,1787,0,140,1752,234
Completed,0.5,11317,1420,2,454,1348,145
Completed,0.54,5388,1647,5,278,243,43
Completed,0.5,7877,1105,4,178,964,92
Completed,0.5,7427,4945,0,403,1637,183
Completed,0.5,6929,1812,0,424,1680,283
Completed,0.5,12955,1862,4,52,348,14
Completed,0.5,11041,1943,4,150,1344,329
Completed,0.54,10221,1637,5,100,1065,72
Completed,0.5,6229,1127,8,80,737,126
Completed,0.5,11680,691,8,490,384,80
Completed,0.41,5224,1379,3,291,1052,178
Completed,0.41,3710,4993,3,42,1517,291
Completed,0.41,7438,1750,3,69,1590,151
Completed,0.41,6916,3931,3,474,1930,216
Completed,0.41,13171,1669,3,323,1413,79
Completed,0.41,4381,691,3,115,663,101
Completed,0.41,9160,4418,3,494,1247,274
Completed,0.41,4364,1616,3,10,900,98
Completed,0.5,5176,1427,0,74,1320,177
Completed,0.5,6353,918,4,275,840,165
Completed,0.41,4821,1739,3,104,450,55
Completed,0.5,5222,1885,0,280,629,122
Completed,0.5,5757,1508,2,224,967,137
Completed,0.5,5487,1233,2,216,1208,290
Completed,0.5,4911,1962,0,224,1869,336
Completed,0.5,6739,1934,2,424,1922,310
Completed,0.5,3964,1651,1,168,943,209
Completed,0.41,3811,1125,3,53,1041,151
Completed,0.5,4835,942,0,465,330,72
Completed,0.5,4218,595,1,349,554,132
Completed,0.5,4521,1811,0,20,158,26
Completed,0.5,5304,1922,6,44,816,178
Completed,0.5,6712,347,1,438,230,35
Completed,0.5,3641,1410,4,63,907,197
Completed,0.54,5839,843,5,129,825,192
Completed,0.5,5136,1041,1,421,878,155
Completed,0.41,3904,1699,3,301,1108,206
