Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
Completed,0.96,7,1941,38,124,724,79
Completed,0.96,19,1710,54,482,988,136
Completed,0.96,8,1848,25,154,1295,183
Completed,0.96,30,854,0,457,539,15
Completed,0.96,4,1599,17,52,1583,284
Completed,0.96,15,1889,60,178,1786,101
Completed,0.96,8,1560,22,444,499,85
Completed,0.96,6,1184,50,33,767,45
Completed,0.96,16,1654,44,287,1551,184
Completed,0.96,15,644,55,105,300,9
Completed,0.96,11,190,19,185,95,5
Completed,0.96,3,1576,65,20,1383,199
Completed,0.96,13,1678,19,256,1478,333
Completed,0.96,47,1841,49,383,1150,17
Completed,0.96,12,1732,15,242,566,33
Completed,0.96,12,1756,27,496,619,117
Completed,0.96,4,1382,43,29,146,13
Completed,0.96,3,1842,5,10,1453,254
Completed,0.96,11,1677,69,137,1157,71
Completed,0.96,15,1913,49,274,1423,154
Completed,0.96,10,914,66,85,679,41
Completed,0.96,5,1520,11,102,855,170
Completed,0.96,22,1488,14,453,1222,143
Completed,0.96,4,1865,56,41,1513,230
Completed,0.96,9,1333,64,294,789,121
Completed,0.96,168,1958,7,198,444,1
Completed,0.96,10,1262,40,218,1128,265
Completed,0.96,19,1888,29,306,1605,364
Completed,0.96,5,627,24,219,517,87
Completed,0.96,13,1637,3,392,1272,231
Completed,0.96,8,1811,42,221,951,216
Completed,0.96,58,1543,62,362,715,7
Completed,0.96,8,892,8,325,750,128
Completed,0.96,6,1906,19,3,1007,54
Completed,0.96,61,1124,26,413,889,10
Completed,0.96,20,1450,55,209,1332,57
Completed,0.96,11,1217,39,319,1068,220
Completed,0.96,10,579,13,483,419,47
Completed,0.96,19,1480,35,138,733,16
Completed,0.96,39,1087,64,497,1052,32
Completed,0.96,8,1324,48,110,1286,245
Completed,0.96,11,1242,15,281,1000,198
Completed,0.96,7,1774,13,180,1117,241
Completed,0.96,13,1931,71,90,934,29
Completed,0.96,25,1510,28,293,1350,44
Completed,0.96,14,1455,38,398,838,184
Completed,0.96,6,1563,16,473,163,26
Completed,0.96,2,1189,54,6,571,96
Completed,0.96,21,1987,45,145,1621,42
Completed,0.96,18,1362,24,365,1143,80
Completed,0.96,14,1018,52,302,489,23
Completed,0.96,8,1644,18,206,776,108
Completed,0.96,10,1698,13,282,1173,276
Completed,0.96,22,1781,61,409,1438,92
Completed,0.96,5,1550,41,49,1204,133
Completed,0.96,11,1964,55,310,1227,205
Completed,0.96,6,332,28,397,251,30
Completed,0.96,57,1695,39,171,1493,11
Completed,0.96,17,1870,5,467,785,58
Completed,0.96,3,1494,67,56,451,63
Completed,0.96,13,1984,8,279,1802,306
Completed,0.96,10,1290,42,260,611,55
Completed,0.96,4,757,64,315,82,19
Completed,0.96,5,1971,13,39,1343,120
Completed,0.96,5,1203,23,174,355,49
Completed,0.96,17,1579,47,336,881,73
Completed,0.96,5,1815,63,192,645,142
Completed,0.96,14,1735,34,427,1077,157
Completed,0.96,3,1266,27,20,944,153
Completed,0.96,2,1946,66,8,1627,394
Completed,0.96,78,1798,20,273,1722,14
Completed,0.96,12,1422,50,236,1013,116
Completed,0.96,13,1003,12,376,711,70
Completed,0.96,6,1105,30,106,530,58
Completed,0.96,16,1837,4,248,1541,112
Completed,0.96,56,1462,68,277,1192,11
Completed,0.96,5,1649,17,94,1132,216
Completed,0.96,6,1180,5,339,409,76
Completed,0.96,11,1556,67,184,825,53
Completed,0.96,128,1885,33,450,1396,7
Completed,0.96,4,1470,0,2,1363,158
Completed,0.96,12,1080,43,362,915,142
Completed,0.96,9,1313,58,221,680,74
Completed,0.96,14,1275,45,267,1267,313
Completed,0.96,21,1237,20,394,1096,121
Completed,0.96,7,1769,23,53,979,70
Completed,0.96,7,1393,47,457,254,59
Completed,0.96,17,1656,57,318,1297,117
Completed,0.96,11,1925,36,210,1033,170
Completed,0.96,24,935,61,399,788,25
Completed,0.96,9,1500,7,413,745,155
Completed,0.96,14,1589,60,464,1024,246
Completed,0.96,21,1820,44,72,1259,34
Completed,0.96,32,1746,1,306,956,18
