Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
Completed,0.06,26,1339,5,186,1105,180
Completed,0.06,21,3674,8,333,317,67
Completed,0.05,53,1040,13,253,1009,200
Completed,0.04,624,858,18,41,798,2
Completed,0.04,59,1189,6,397,920,100
Completed,0.04,78,1988,7,171,1647,50
Completed,0.04,21,1273,1,24,991,76
Completed,0.04,37,1606,15,482,200,18
Completed,0.04,32,1384,10,211,1205,234
Completed,0.06,64,1792,12,388,1719,266
Completed,0.05,44,1905,13,353,938,191
Completed,0.06,15,1506,5,43,1474,221
Completed,0.04,53,634,2,337,567,36
Completed,0.04,80,1750,0,416,1151,95
Completed,0.04,23,890,7,214,808,162
Completed,0.05,40,1649,17,230,689,66
Completed,0.04,42,1472,10,266,496,31
Completed,0.06,30,1284,14,306,612,151
Completed,0.04,16,1844,1,84,770,176
Completed,0.06,69,1550,8,440,726,59
Completed,0.04,16,1569,3,40,1283,274
Completed,0.04,119,1882,18,188,1174,27
Completed,0.04,87,1412,20,364,836,48
Completed,0.06,128,1804,14,381,1722,73
Completed,0.04,24,1455,15,155,1155,277
Completed,0.04,14,285,15,306,40,9
Completed,0.04,64,1326,1,470,1247,150
Completed,0.05,29,1832,17,282,519,103
Completed,0.04,33,1124,0,207,500,53
Completed,0.04,27,1733,7,35,1067,79
Completed,0.06,37,1781,12,198,1457,316
Completed,0.06,26,954,12,356,347,80
Completed,0.06,73,1933,5,427,1429,188
Completed,0.04,35,1507,15,178,970,225
Completed,0.04,30,1748,2,171,1156,237
Completed,0.04,82,1919,6,306,1332,123
Completed,0.04,23,1522,16,57,755,90
Completed,0.04,68,1309,2,447,227,8
Completed,0.04,59,1429,11,493,934,138
Completed,0.05,65,1787,17,260,1507,242
Completed,0.08,28,1932,9,117,1598,365
Completed,0.08,65,824,9,455,706,101
Completed,0.06,112,1343,8,356,1025,36
Completed,0.04,27,1951,3,404,409,93
Completed,0.04,302,1223,19,108,578,3
Completed,0.04,148,1697,20,464,1412,40
Completed,0.08,145,1860,9,212,985,15
Completed,0.06,23,1899,12,75,1084,164
Completed,0.04,165,678,3,390,398,5
Completed,0.04,62,1714,11,335,1315,147
Completed,0.04,103,1595,4,86,1349,19
Completed,0.04,13,843,20,276,66,14
Completed,0.04,56,1799,6,440,1147,153
Completed,0.06,17,969,14,91,517,92
Completed,0.04,26,1888,2,130,1691,200
Completed,0.04,17,1278,6,115,875,178
Completed,0.04,79,1078,3,473,637,57
Completed,0.06,113,1767,14,495,1663,327
Completed,0.05,103,1489,13,221,1213,31
Completed,0.04,77,1768,0,123,1752,45
Completed,0.04,30,1716,15,147,1642,282
Completed,0.04,23,1378,7,138,682,86
