Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
Completed,0.02,3340,3656,13,21,1149,269
Completed,0.02,4816,3860,48,263,1905,346
Completed,0.06,5879,1138,25,201,1077,154
Completed,0.02,13033,3543,8,275,822,85
Completed,0.02,7403,1325,37,162,1041,124
Completed,0.02,4813,4854,40,187,1914,286
Completed,0.02,13198,3658,34,332,1498,61
Completed,0.24,9139,1854,1,45,1821,148
Completed,0.02,3247,4024,33,38,208,45
Completed,0.02,6812,1865,37,146,1401,223
Completed,0.02,4008,505,10,58,313,48
Completed,0.02,11086,1622,2,252,991,189
Completed,0.02,13981,1919,22,67,562,15
Completed,0.02,6270,1001,32,338,451,77
Completed,0.02,3615,1959,10,320,1478,344
Completed,0.02,4840,1284,23,420,1048,150
Completed,0.02,6446,1492,38,373,896,115
Completed,0.02,12774,1194,51,298,1183,211
Completed,0.02,4848,427,24,405,31,6
Completed,0.02,5322,1949,28,499,1807,293
Completed,0.02,11308,1683,21,352,1625,87
Completed,0.02,11103,1806,29,279,642,51
Completed,0.02,10512,2853,4,268,817,116
Completed,0.06,5390,4683,46,32,863,69
Completed,0.18,6550,2507,6,153,514,74
Completed,0.02,6107,4668,15,272,1959,224
Completed,0.02,4808,1912,5,190,204,46
Completed,0.02,4740,4132,50,471,1631,388
Completed,0.11,11677,4997,9,135,1419,150
Completed,0.02,7912,3674,10,350,1995,377
Completed,0.02,5287,3386,38,438,1225,207
Completed,0.02,4888,934,49,44,691,83
Completed,0.02,3230,1768,18,12,696,130
Completed,0.02,4025,1982,38,17,1099,144
Completed,0.02,6731,4585,22,139,1945,215
Completed,0.02,5810,4337,39,253,1275,219
Completed,0.02,5308,4313,3,40,1750,267
Completed,0.02,6327,4235,24,293,1874,288
Completed,0.02,3110,1018,48,107,131,29
Completed,0.02,4040,4396,18,280,926,197
Completed,0.02,4421,3410,52,68,1073,156
Completed,0.02,5048,4257,49,327,1586,377
Completed,0.02,5216,4260,47,2,1350,228
Completed,0.02,6400,856,28,297,684,96
Completed,0.02,3537,1293,44,175,595,128
Completed,0.02,5542,3679,45,263,430,45
Completed,0.02,4799,1880,51,195,1231,287
Completed,0.02,5465,3839,31,148,1916,273
Completed,0.02,5996,4762,24,85,1569,121
Completed,0.02,6728,3439,37,207,1630,346
Completed,0.02,4512,3797,19,187,1452,233
Completed,0.02,3623,4618,34,161,1420,284
Completed,0.02,4164,4031,27,205,785,131
Completed,0.02,5024,3538,15,428,1966,485
Completed,0.02,4416,3366,17,358,1581,329
Completed,0.02,4936,3542,52,5,1512,211
Completed,0.02,4890,5000,36,56,166,17
Completed,0.02,5364,2844,5,87,726,134
Completed,0.02,6157,3746,19,487,836,96
Completed,0.02,6596,3126,11,173,359,29
Completed,0.02,6569,4074,10,163,1988,237
Completed,0.02,4102,4581,31,118,1749,294
Completed,0.02,6212,4161,45,296,1206,134
Completed,0.02,3638,4952,17,170,1755,401
Completed,0.02,4223,4366,23,212,384,60
Completed,0.02,3917,3475,41,180,943,161
Completed,0.02,4912,3120,27,269,615,78
Completed,0.33,4748,3217,0,14,1163,110
Completed,0.02,4225,1608,49,346,1089,212
Completed,0.02,5013,3195,39,78,876,82
Completed,0.02,5077,3572,26,245,1222,149
Completed,0.02,6066,3962,37,108,1728,241
Completed,0.02,4910,4554,48,114,1288,145
Completed,0.02,5677,3783,23,485,1735,382
Completed,0.02,6008,3433,45,391,1184,281
Completed,0.02,4664,4107,20,356,990,177
Completed,0.02,3654,3079,40,54,1011,221
Completed,0.02,4198,4692,14,276,1368,269
Completed,0.02,5760,4960,50,278,1708,185
Completed,0.02,5651,3654,44,250,1828,303
Completed,0.24,6821,1335,1,55,576,51
Completed,0.02,6388,4054,51,182,1597,313
Completed,0.02,3506,2577,20,171,660,124
Completed,0.02,4240,4732,40,387,711,151
Completed,0.02,4066,3933,12,145,1006,182
Completed,0.02,4742,4299,52,39,851,113
Completed,0.02,5907,4191,17,454,1559,195
Completed,0.02,2914,4786,43,20,345,70
Completed,0.02,3364,4199,49,96,1981,469
Completed,0.02,4011,1568,36,69,537,115
Completed,0.02,3213,3987,26,67,1137,266
Completed,0.02,5388,663,24,351,580,144
