dataset,detector_file_count,completed_pair_count,zero_completion_pair_count,recommendation_attempted_count,recommendation_completed_count,completion_rate,benchmark_pareto_completed_count,paper_default_total_count,paper_default_completed_count,gd_plus,valid_pair_count__gd_plus,igd_plus,valid_pair_count__igd_plus,recommendation_benchmark_dominance_rate,valid_pair_count__recommendation_benchmark_dominance_rate,benchmark_pareto_dominated_rate,valid_pair_count__benchmark_pareto_dominated_rate,exact_r2_recommendations,valid_pair_count__exact_r2_recommendations,exact_r2_benchmark,valid_pair_count__exact_r2_benchmark,r2_gap,valid_pair_count__r2_gap,recommendation_default_dominance_rate,valid_pair_count__recommendation_default_dominance_rate,default_dominated_rate,valid_pair_count__default_dominated_rate,spearman_accuracy,valid_pair_count__spearman_accuracy,spearman_runtime,valid_pair_count__spearman_runtime
Electricity,20,20,0,400,400,1.0,75,99,82,0.22805245698834717,20,0.20558595644567296,20,0.1375,20,0.22666666666666666,20,0.2217798492136731,20,0.14994512713727326,20,0.0718347220763998,20,0.595,20,0.8066666666666666,20,0.6643973374368254,17,0.8676955910871428,19
ForestCovertype,20,19,1,400,358,0.9,213,94,60,0.08079083373557537,19,0.12990019128011357,19,0.47368421052631576,19,0.4856496691265839,19,0.20295095043087252,19,0.21967917603260892,19,-0.016728225601736396,19,0.4842105263157894,19,0.8530701754385964,19,0.7957920263044095,17,0.7653224030775737,19
GasSensor,20,20,0,400,400,1.0,173,92,79,0.15394029562738118,20,0.14220556638261783,20,0.13499999999999998,20,0.219192612942613,20,0.20531340541774606,20,0.13973569246174514,20,0.06557771295600093,20,0.39,20,0.74375,20,0.7247149366991561,17,0.7523823527660443,19
NOAAWeather,20,20,0,400,400,1.0,46,96,82,0.2977924070075816,20,0.15309696151053165,20,0.20249999999999999,20,0.38333333333333336,20,0.21243023598785582,20,0.19802863974084584,20,0.01440159624700998,20,0.8025,20,0.8237500000000001,20,0.4770101417745963,17,0.7345896930736927,19
OutdoorObjects,20,20,0,400,400,1.0,54,106,102,0.23986758089514087,20,0.2425388343896393,20,0.16,20,0.30916666666666665,20,0.23793578360399947,20,0.15475601837246983,20,0.0831797652315297,20,0.5425,20,0.8145833333333332,20,0.5732166265820063,15,0.6583380304248782,15
Ozone,20,20,0,400,400,1.0,35,120,120,0.06686470738263393,20,0.20505345557932228,20,0.022500000000000003,20,0.175,20,0.2081906024824982,20,0.1244429004001915,20,0.08374770208230672,20,0.42750000000000005,20,0.42107142857142854,20,0.033436092225123545,5,0.6777462527326582,4
PokerHand,20,20,0,400,365,0.91,219,90,65,0.06557318965813538,20,0.07988975716999824,20,0.655,20,0.6736842842400118,20,0.1204925963432955,20,0.24410900714158495,20,-0.12361641079828947,20,0.46749999999999997,20,0.83125,20,0.7396021626496098,16,0.6804937183213035,19
RialtoBridgeTimelapse,20,20,0,400,400,1.0,227,97,83,0.11176803969653719,20,0.09447448618617386,20,0.5049999999999999,20,0.5744110275689224,20,0.16517000754052552,20,0.18603558000856893,20,-0.020865572468043443,20,0.4025,20,0.7583333333333333,20,0.7726880812704351,18,0.8088982532757436,20
SensorStream,20,19,1,400,348,0.87,218,92,59,0.06813632675187713,19,0.03569381175555853,19,0.5078947368421053,19,0.579077292793012,19,0.1357972662616335,19,0.2541077507324935,19,-0.11831048447085991,19,0.5763157894736842,19,0.9403508771929825,19,0.7912509840076952,15,0.7010601680047914,19
