Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
Completed,0.71,1,1,1,1000,240,3
Completed,0.72,14,1,1192,1000,163,4
Completed,0.72,69,1461,236,12,122,10
Completed,0.73,67,4777,2689,702,154,5
Completed,0.71,555,3349,1430,397,14,3
Completed,0.74,34,414,3996,831,231,8
Completed,0.74,29,1219,2134,510,200,6
Completed,0.71,84,2502,4551,202,45,1
Completed,0.73,23,4374,791,897,185,4
Completed,0.72,121,1909,3394,332,91,9
Completed,0.73,35,2209,1860,1000,57,5
Completed,0.74,37,4049,4268,309,218,10
Completed,0.72,71,2825,508,595,78,7
Completed,0.74,49,918,3120,162,166,2
Completed,0.74,18,109,1220,498,135,1
Completed,0.72,122,3669,3669,806,109,7
Completed,0.74,31,4458,2409,98,249,8
Completed,0.72,362,1767,4979,664,26,3
Completed,0.73,25,1566,2335,260,179,7
Completed,0.72,199,4658,4732,951,81,3
Completed,0.74,21,3470,992,149,190,4
Completed,0.73,58,309,3575,581,39,10
Completed,0.74,29,3026,2880,453,221,4
Completed,0.72,152,3848,1640,647,112,1
Completed,0.73,42,2409,4187,81,148,6
Completed,0.73,10,2110,717,747,239,2
Completed,0.71,341,4174,3147,57,20,7
Completed,0.73,46,2701,1906,848,129,10
Completed,0.72,83,1018,4457,414,99,5
Completed,0.71,87,613,1368,250,68,3
Completed,0.73,57,3149,3756,559,161,8
Completed,0.71,128,4978,16,346,52,6
Completed,0.74,28,1261,2608,911,208,2
Completed,0.74,53,1352,1510,611,143,9
Completed,0.72,106,4912,3925,177,117,4
Completed,0.74,16,3215,166,984,226,1
Completed,0.71,139,971,862,114,34,8
Completed,0.74,42,2811,3314,680,195,2
Completed,0.71,191,4063,2054,482,86,5
Completed,0.73,46,2155,4622,790,174,9
Completed,0.74,14,2481,594,382,207,4
Completed,0.71,208,3763,3045,814,53,8
Completed,0.73,36,3112,1785,27,162,7
Completed,0.71,84,647,4354,719,67,1
Completed,0.74,34,204,2485,882,98,2
Completed,0.73,88,3520,4894,316,130,7
Completed,0.71,268,4606,1134,526,21,10
Completed,0.74,35,1671,3744,218,239,5
Completed,0.72,141,1871,1072,863,92,6
Completed,0.74,34,4406,3504,430,184,1
Completed,0.71,227,3720,2264,732,44,4
Completed,0.73,34,3,4812,41,201,9
Completed,0.74,20,847,1710,361,231,10
Completed,0.71,212,2912,4106,927,13,4
Completed,0.72,57,3964,366,235,153,3
Completed,0.74,32,2281,2951,543,122,8
Completed,0.71,514,1955,1992,133,31,1
Completed,0.74,43,4263,4382,566,244,6
Completed,0.73,36,2611,641,276,104,8
Completed,0.73,55,1172,3232,967,140,3
Completed,0.75,9,324,91,631,171,5
Completed,0.72,118,3416,2522,66,73,10
Completed,0.74,25,4712,1282,777,213,7
Completed,0.71,176,1551,3831,468,62,2
Completed,0.74,26,1499,2087,802,245,4
Completed,0.72,195,4745,4677,485,31,9
Completed,0.73,59,3380,937,668,139,6
Completed,0.73,55,379,3327,111,105,1
Completed,0.71,90,1097,226,306,74,2
Completed,0.74,32,2626,2779,988,170,8
Completed,0.71,170,4250,1538,166,61,9
Completed,0.72,34,2027,3966,607,214,5
Completed,0.73,14,2333,1133,191,181,8
Completed,0.72,163,3931,3678,506,94,4
Completed,0.74,25,2947,2437,343,203,1
Completed,0.72,96,793,4873,902,41,7
Completed,0.74,23,78,1733,691,9,7
Completed,0.74,53,3704,4318,8,234,2
Completed,0.72,112,4419,578,842,126,5
Completed,0.73,72,1799,2973,401,150,10
Completed,0.71,341,1687,338,555,55,1
Completed,0.74,37,4532,2910,239,205,6
Completed,0.72,118,3592,1650,915,65,9
Completed,0.74,45,190,4097,357,164,4
Completed,0.73,40,680,2189,52,134,5
Completed,0.72,96,3059,4799,736,95,10
Completed,0.74,25,3819,1039,419,235,8
Completed,0.71,131,2445,3449,859,25,3
Completed,0.74,25,2139,1298,441,116,6
Completed,0.73,101,4138,3903,757,144,2
Completed,0.71,161,2739,143,93,4,3
Completed,0.74,32,985,2558,651,225,8
Completed,0.74,12,491,689,939,193,10
Completed,0.71,237,3268,3253,257,35,5
Completed,0.74,32,4857,1993,593,175,2
Completed,0.72,139,1387,4448,152,84,7
Completed,0.7,376,1316,851,328,18,5
Completed,0.75,49,4942,3403,886,242,9
Completed,0.72,96,3182,2163,206,102,8
Completed,0.73,60,561,4591,522,127,3
Completed,0.73,38,1090,1463,826,157,1
Completed,0.72,89,2688,4051,385,71,6
Completed,0.74,21,4189,311,706,212,9
Completed,0.74,32,2035,2703,23,49,4
Completed,0.73,37,2355,2357,684,81,10
Completed,0.74,38,3884,4944,126,178,5
Completed,0.7,154,2993,1204,786,38,2
Completed,0.74,32,770,3597,471,190,7
Completed,0.73,8,237,508,182,222,6
Completed,0.71,749,3483,3053,622,6,1
Completed,0.73,80,4643,1813,290,146,3
Completed,0.73,84,1641,4248,973,113,8
Completed,0.74,24,1753,1565,77,217,3
Completed,0.72,152,4530,4173,635,58,7
Completed,0.74,32,3595,413,457,167,10
Completed,0.74,40,125,2825,773,77,4
Completed,0.72,51,882,963,577,108,4
Completed,0.73,51,2881,3535,137,137,9
Completed,0.71,278,3996,2275,956,28,6
Completed,0.73,37,2242,4723,272,248,1
Completed,0.73,52,1923,63,931,156,7
Completed,0.72,115,4302,2628,373,119,2
Completed,0.75,18,2576,1368,540,228,5
Completed,0.72,136,1202,3823,223,16,10
Completed,0.72,50,449,1922,434,48,9
Completed,0.74,49,3294,4529,876,196,3
Completed,0.71,263,4830,769,37,87,2
Completed,0.74,37,1428,3182,720,188,6
Completed,0.71,196,1416,1766,422,79,1
Completed,0.73,81,4809,4373,856,166,6
Completed,0.71,164,3317,613,49,57,9
Completed,0.74,36,462,3026,739,219,4
Completed,0.74,30,1190,1157,919,250,5
Completed,0.72,122,2553,3722,353,25,9
Completed,0.73,109,4323,2462,551,134,8
Completed,0.73,109,1935,4917,243,110,2
Completed,0.71,55,2260,182,589,15,7
Completed,0.74,38,4023,2754,156,229,1
Completed,0.73,57,2854,1494,944,120,3
Completed,0.73,59,866,3942,252,155,8
Completed,0.73,30,141,2034,89,185,10
Completed,0.72,136,3622,4642,655,90,5
Completed,0.74,27,4503,882,445,199,2
Completed,0.71,199,1735,3294,753,45,7
Completed,0.72,96,1613,664,170,128,4
Completed,0.72,180,4625,3209,603,101,9
Completed,0.75,39,3499,1969,301,241,6
Completed,0.71,102,263,4404,992,19,1
Completed,0.71,149,743,1263,673,51,3
Completed,0.75,46,2976,3850,106,209,8
Completed,0.71,134,3902,110,798,69,10
Completed,0.74,41,2382,2503,490,160,5
Completed,0.73,30,2056,2244,838,189,8
Completed,0.72,279,4201,4832,405,39,3
Completed,0.74,19,2676,1092,694,180,2
Completed,0.73,33,584,382,340,111,7
Completed,0.73,49,3195,2934,905,149,2
Completed,0.71,345,4930,1694,194,9,5
Completed,0.74,61,1294,4122,503,219,10
Completed,0.73,48,1398,533,959,163,3
Completed,0.72,180,4878,3097,269,66,8
Completed,0.74,21,3245,1837,574,206,9
Completed,0.72,100,478,4292,140,54,5
Completed,0.71,199,998,2392,460,22,4
Completed,0.74,44,2762,4997,769,238,9
Completed,0.72,140,4116,1237,73,98,6
Completed,0.74,52,2128,3652,639,131,1
Completed,0.74,23,2428,1408,33,226,7
Completed,0.73,56,3085,258,439,142,5
Completed,0.73,57,697,2668,871,117,10
Completed,0.74,23,173,807,535,87,8
Completed,0.74,54,3566,3379,227,173,3
Completed,0.71,524,4560,2120,935,33,1
Completed,0.74,64,1704,4566,369,196,6
Completed,0.72,142,1826,1889,710,103,4
Completed,0.73,84,4437,4474,20,141,10
Completed,0.71,313,3688,734,822,32,7
Completed,0.73,33,52,3129,389,244,3
Completed,0.74,19,819,39,210,212,1
Completed,0.72,115,2964,2584,518,64,6
Completed,0.74,37,3913,1343,324,172,9
Completed,0.73,63,2305,3779,890,72,4
Completed,0.73,415,2006,1006,286,42,10
Completed,0.74,74,4239,3560,977,201,5
Completed,0.72,64,2639,2319,185,93,2
Completed,0.73,56,1119,4747,619,183,7
Completed,0.74,35,356,1618,783,152,6
Completed,0.72,83,3367,4208,474,123,2
Completed,0.74,29,4757,468,687,232,3
Completed,0.71,4089,1521,2858,122,12,9
Completed,0.74,31,1524,1185,642,202,8
Completed,0.71,415,4694,3616,85,42,3
Completed,0.73,44,3432,2376,765,182,5
Completed,0.73,61,350,4925,448,93,10
Completed,0.72,65,1145,1835,144,125,9
Completed,0.73,89,2594,4225,586,151,4
Completed,0.71,1466,4281,485,265,11,1
Completed,0.75,67,1983,3076,947,234,6
Completed,0.74,46,2302,2179,349,138,2
Completed,0.72,182,3975,4575,908,106,7
Completed,0.74,18,2898,834,247,246,10
Completed,0.71,197,825,3419,563,29,5
Completed,0.74,9,26,291,852,60,3
Completed,0.74,45,3733,2723,411,215,8
Completed,0.72,189,4395,1483,744,75,7
Completed,0.74,72,1850,4031,60,169,1
Completed,0.74,55,4585,3800,336,224,4
Completed,0.71,135,3543,41,514,115,3
Completed,0.74,41,216,2651,198,145,7
Completed,0.74,16,634,750,394,177,6
Completed,0.71,136,3089,3201,834,84,1
Completed,0.74,25,3785,1941,15,192,4
Completed,0.72,103,2492,4510,699,36,9
Completed,0.74,23,2173,393,103,65,5
Completed,0.73,60,4091,2845,660,163,10
Completed,0.72,114,2785,1585,494,54,7
Completed,0.74,61,955,4153,810,205,2
Completed,0.75,36,540,2292,599,236,2
Completed,0.72,207,3242,4707,158,24,6
Completed,0.72,85,4885,947,996,133,9
Completed,0.72,139,1334,3551,313,96,3
Completed,0.71,174,1288,2461,231,37,6
Completed,0.74,49,4995,4849,548,192,1
Completed,0.71,120,3132,1109,365,83,4
Completed,0.73,35,587,3701,923,177,9
Completed,0.73,34,1044,560,728,146,9
Completed,0.72,82,2718,2990,45,114,5
Completed,0.75,27,4156,1750,867,223,3
Completed,0.73,38,2388,915,780,101,1
Completed,0.73,132,3837,3349,465,128,7
Completed,0.71,167,3039,2108,628,19,8
Completed,0.74,42,740,4655,69,241,4
Completed,0.74,20,287,1553,280,210,5
Completed,0.72,204,3457,3950,963,49,10
Completed,0.73,45,4670,210,129,158,7
Completed,0.71,150,1588,2794,570,70,2
Completed,0.73,21,1778,126,478,229,9
Completed,0.71,580,4480,2575,794,16,4
Completed,0.73,66,3647,1316,118,156,1
Completed,0.74,40,96,3886,676,120,6
Completed,0.72,64,930,2017,981,88,8
Completed,0.73,51,2848,4425,297,187,3
Completed,0.71,331,4027,665,614,47,4
Completed,0.73,36,2197,3277,174,197,10
Completed,0.73,50,1891,1666,530,168,3
Completed,0.72,4043,4346,4082,213,76,8
Completed,0.75,8,2528,323,878,216,6
Completed,0.72,181,1235,2926,320,59,1
Completed,0.7,99,397,1018,32,28,2
Completed,0.74,38,3323,3471,714,247,7
Completed,0.72,166,4805,2211,377,107,10
Completed,0.73,85,1478,4778,819,137,5
Completed,0.71,676,1470,2218,546,6,2
Completed,0.74,58,4787,4770,229,223,8
Completed,0.72,59,3340,1030,925,114,9
Completed,0.74,35,404,3458,367,146,5
Completed,0.75,14,1248,330,47,177,4
Completed,0.72,49,2531,2918,730,83,9
Completed,0.74,21,4345,1678,424,192,6
Completed,0.72,324,1880,4070,866,37,1
Completed,0.73,23,2199,677,463,70,7
Completed,0.73,78,4039,3264,778,159,2
Completed,0.71,90,2835,2024,71,50,5
Completed,0.74,45,927,4417,630,210,10
Completed,0.73,17,79,1328,965,241,8
Completed,0.71,371,3640,3873,282,18,3
Completed,0.71,120,4488,133,568,127,1
Completed,0.72,126,1796,2568,127,101,7
Completed,0.74,14,1596,198,796,198,5
Completed,0.72,242,4687,2806,480,46,10
Completed,0.74,20,3440,1546,674,187,8
Completed,0.73,67,280,3958,116,89,3
Completed,0.72,61,727,2096,295,120,1
Completed,0.73,51,3036,4668,979,156,6
Completed,0.71,373,3838,908,176,16,9
Completed,0.74,37,2399,3356,616,228,4
Completed,0.74,21,2081,1743,216,137,10
Completed,0.72,137,4145,4308,532,107,5
Completed,0.75,14,2731,548,318,247,2
Completed,0.71,135,1048,3003,876,28,7
Completed,0.72,69,604,1102,712,60,6
