Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
Completed,0.79,3079,2930,3270,520,249,2
Completed,0.83,3268,1159,780,467,81,7
Completed,0.84,5801,771,4757,602,43,3
Completed,0.81,2810,2692,2248,417,132,6
Completed,0.82,6241,4567,2715,958,77,8
Completed,0.78,1319,1397,205,28,221,4
Completed,0.72,5285,149,3915,398,236,9
Completed,0.8,5085,3929,3459,38,149,2
Completed,0.73,953,2024,969,980,56,6
Completed,0.83,7079,1540,2595,660,31,8
Completed,0.83,5255,3003,4264,327,89,2
Completed,0.78,2090,1075,1774,629,241,6
Completed,0.82,4434,2510,4955,767,120,3
Completed,0.79,2990,915,2445,218,210,9
Completed,0.81,2193,354,2865,147,118,6
Completed,0.61,1052,112,2261,394,246,173
Completed,0.74,1263,3250,1049,245,141,82
Completed,0.79,3312,3686,355,840,212,2
Completed,0.8,3816,997,3306,848,170,5
Completed,0.79,4841,4928,4067,711,198,7
Completed,0.82,5803,1621,1577,276,100,2
Completed,0.83,4874,2416,4492,81,67,1
Completed,0.78,3203,4163,1982,906,231,7
Completed,0.82,6696,3538,3058,472,37,10
Completed,0.8,1760,541,548,544,137,4
Completed,0.79,4170,594,4679,949,205,8
Completed,0.81,4742,3456,2169,7,126,1
Completed,0.79,4234,4081,2949,618,180,3
Completed,0.84,3138,2469,440,429,25,10
Completed,0.82,5246,1701,3188,249,62,9
Completed,0.8,4078,4878,698,798,143,5
Completed,0.79,4578,1783,4338,908,150,10
Completed,0.84,6906,2958,923,692,42,1
Completed,0.6,470,1,1033,843,204,1
Completed,0.59,379,1,724,577,199,8
Completed,0.83,1801,134,819,503,32,1
Completed,0.83,5191,1393,1096,817,13,10
Completed,0.6,772,1,1790,299,156,10
Completed,0.6,675,1,1457,856,192,10
Completed,0.83,6199,3256,1129,342,34,10
Completed,0.59,456,1,965,265,204,4
Completed,0.6,344,1,708,422,164,4
Completed,0.83,5951,3585,1107,688,39,10
Completed,0.84,3709,765,814,710,68,4
Completed,0.79,1845,1024,535,272,174,10
Completed,0.6,1232,1,2540,720,140,10
Completed,0.59,730,1,1673,625,180,6
Completed,0.77,1155,2639,136,1000,228,10
Completed,0.77,1327,1354,1,1000,239,10
Completed,0.79,1571,1167,1,1000,222,1
Completed,0.78,1891,2616,2073,1000,250,10
Completed,0.77,1247,2464,1,1000,217,8
Completed,0.81,1571,243,1,2,77,1
Completed,0.75,911,270,1,1000,145,10
Completed,0.75,896,373,1,1000,214,10
Completed,0.77,1093,2856,1,1000,250,10
Completed,0.77,1302,1527,1,1000,250,10
Completed,0.8,1578,353,1,1000,57,10
Completed,0.77,1303,2764,1,1000,204,10
Completed,0.78,1399,808,1,1000,250,1
Completed,0.77,2496,2702,3960,1000,250,10
Completed,0.76,1097,339,1,856,250,1
Completed,0.76,1082,584,1,1000,250,10
Completed,0.83,3650,188,5000,2,57,1
Completed,0.78,1042,2663,1,1000,250,1
Completed,0.69,315,2139,1,2,250,1
Completed,0.77,2488,3725,2038,1000,250,10
Completed,0.78,2394,1994,1,1000,149,10
Completed,0.78,2429,1879,1,2,250,1
Completed,0.77,6408,3868,5000,1000,250,10
Completed,0.78,3705,3310,5000,1000,250,10
Completed,0.77,5806,3584,5000,510,250,10
Completed,0.76,856,2333,1,2,250,1
Completed,0.77,1907,4714,1,1000,250,1
Completed,0.78,1897,1954,1,1000,169,7
Completed,0.76,1340,3888,1,844,250,10
Completed,0.73,604,2188,509,1000,250,3
Completed,0.78,1918,583,1782,2,250,1
Completed,0.81,2238,2208,2973,1000,48,10
Completed,0.78,1096,2883,1,1000,250,3
Completed,0.74,1068,2208,1189,1000,250,1
Completed,0.72,466,2173,1,1000,209,1
Completed,0.77,2146,5000,1,526,250,1
Completed,0.79,6159,1355,5000,1000,250,1
Completed,0.77,2173,1763,1911,1000,250,10
Completed,0.77,1262,3978,1,1000,250,6
Completed,0.64,271,103,1,307,250,10
Completed,0.61,171,48,1,1000,230,10
Completed,0.72,395,2185,1,1000,250,1
