Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
Completed,0.44,3585,2578,1032,556,205,5
Completed,0.23,5510,306,2805,295,17,8
Completed,0.37,4103,2234,2305,834,135,9
Completed,0.38,5568,2185,3398,12,190,3
Completed,0.43,4319,355,1712,614,88,4
Completed,0.24,3134,797,791,737,21,9
Completed,0.48,5556,3029,614,107,245,2
Completed,0.4,5950,456,3208,869,60,10
Completed,0.29,3439,2084,1843,253,160,6
Completed,0.41,4715,2328,2625,594,229,4
Completed,0.03,1913,1,651,2,146,2
Completed,0.48,7975,1029,2377,106,188,3
Completed,0.42,4743,637,2181,336,217,10
Completed,0.04,2071,1,763,677,132,1
Completed,0.39,2632,417,714,79,211,7
Completed,0.39,4232,2289,136,354,9,2
Completed,0.44,5119,2588,1404,6,94,6
Completed,0.43,3074,2484,466,269,47,3
Completed,0.43,9993,1735,1821,424,105,10
Completed,0.36,7344,4898,2481,705,37,10
Completed,0.45,4698,212,2427,40,113,1
Completed,0.44,7164,2628,3896,801,176,8
Completed,0.45,6230,1421,198,958,194,4
Completed,0.45,5952,1103,1330,753,241,8
Completed,0.36,6830,2728,2248,404,25,4
Completed,0.35,6645,157,3913,634,213,6
Completed,0.37,3054,2384,980,238,65,9
Completed,0.42,2341,517,318,462,142,5
Completed,0.23,6895,4186,1827,509,12,7
Completed,0.43,4317,2894,853,490,185,10
Completed,0.42,6183,2345,3489,944,169,7
Completed,0.38,5212,942,76,164,64,6
Completed,0.34,4811,1097,1,111,161,1
Completed,0.45,6434,1036,51,59,166,3
Completed,0.12,356,3449,1,1000,130,6
Completed,0.11,353,1401,1,858,108,6
Completed,0.45,6125,1109,171,202,150,3
Completed,0.13,502,1217,1,177,177,3
Completed,0.43,4115,2805,325,880,105,5
Completed,0.52,6727,2659,923,257,157,1
Completed,0.25,3537,49,1716,720,155,6
Completed,0.47,3900,2505,729,681,111,2
Completed,0.03,5590,1,2208,616,185,2
Completed,0.45,6417,3053,437,712,124,5
Completed,0.1,376,920,1,697,98,5
Completed,0.5,4999,548,1859,453,188,1
Completed,0.09,309,2425,1,1000,111,5
Completed,0.45,6163,3151,301,156,177,4
Completed,0.39,6654,1009,228,801,44,4
Completed,0.04,4165,4,2081,855,163,4
Completed,0.37,5036,1383,398,898,8,3
Completed,0.03,3698,1,1931,468,192,3
Completed,0.42,3050,811,391,14,197,7
Completed,0.4,2279,777,375,398,250,10
Completed,0.46,4229,1031,714,1000,250,4
Completed,0.47,5094,2851,1151,91,158,4
Completed,0.44,5804,933,1944,428,250,10
Completed,0.41,2327,758,641,655,250,10
Completed,0.39,1984,728,427,66,250,10
Completed,0.42,3262,1084,392,1000,250,10
Completed,0.49,4017,2264,1190,125,80,1
Completed,0.52,6135,855,373,139,190,1
Completed,0.5,6335,889,1104,918,250,1
Completed,0.5,5060,896,491,358,250,1
Completed,0.05,320,1,1,1000,250,8
Completed,0.5,5722,823,642,935,250,1
Completed,0.32,7109,2110,4781,688,250,6
Completed,0.42,3729,661,1582,713,250,10
Completed,0.39,2240,705,482,272,250,10
Completed,0.44,4919,847,1763,655,250,9
Completed,0.42,3860,661,1615,194,250,10
Completed,0.32,2697,784,1,2,218,1
Completed,0.39,2340,484,807,424,250,8
Completed,0.13,510,1738,1,1000,250,9
