index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,n_windows,disjoint_training_windows
0,0.203710317460318,0.991511261063048,3109,2960,4449,True
1,0.2037817460317465,0.9914538760665892,300,2982,4542,True
2,0.2055264550264555,0.991385114084008,612,3103,4613,True
3,0.2061674531674537,0.9911126208045956,670,3478,4528,True
4,0.2063526383526388,0.991059626797108,660,3795,4999,True
5,0.2071759616759622,0.9910525731348012,16,3070,2825,True
6,0.2128648648648654,0.9910013249636276,2108,3220,4993,True
7,0.2163930358930364,0.9905935901626056,721,3377,4998,True
8,0.2191628294961633,0.9898278492780268,692,1414,4996,True
9,0.2242863577863582,0.9880878403204514,4662,4911,4045,True
10,0.2384380213546883,0.9716525637548634,1221,4372,726,True
11,0.2405931884265219,0.9713113605043384,1278,4554,759,True
12,0.2583004075504075,0.9417757287479044,1144,4791,395,True
13,0.2684380332713664,0.9322438615386016,1234,4815,316,True
14,0.4125543638876972,0.8265024844786982,407,2987,8,False
15,0.6031924034212289,0.7649276734503069,50,243,9,False
16,0.6276949575904499,0.7483014718104094,76,211,10,False
17,0.6401326571638366,0.7012788109046808,69,47,8,False
18,0.659751832785166,0.6443956586667852,227,184,30,False
19,0.7535200699357278,0.4486639124121974,2422,121,6,False
