index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,n_windows,disjoint_training_windows
0,0.4044987271084833,0.9827036098162668,2320,2985,4422,True
1,0.4074786160883723,0.981478176052908,2355,3092,4980,True
2,0.4075523117352386,0.981335695691118,2391,2976,4826,True
3,0.4123595348859579,0.9805455339481366,3355,2849,3742,True
4,0.4138843013375535,0.9797150924734808,3375,2738,3810,True
5,0.4153892554786866,0.9785954222209668,3367,3561,3692,True
6,0.4157319686648957,0.9781930607686538,3536,3154,3906,True
7,0.4166839820234131,0.9777144849574434,3494,3380,3805,True
8,0.4268961452213481,0.9009267755204108,4140,1997,978,True
9,0.493103969744214,0.8443092459836156,3592,6,33,True
10,0.5279335044250669,0.8262692727227716,3672,51,19,True
11,0.6640768083308729,0.7221769603571291,4628,2250,417,False
12,0.6805081292674784,0.7036777835178841,4628,1919,24,False
13,0.7170911036683394,0.6600024799314724,3413,1030,7,False
14,0.7691523855446617,0.6104613037341515,3312,657,12,False
15,0.7708884381002269,0.6007728923507656,3120,511,24,False
16,0.7733017044476043,0.5774029049896175,2650,250,25,False
17,0.7848205855522921,0.5629613711398891,3493,512,14,False
18,0.8005894783086855,0.5279033653891962,4540,462,10,False
19,0.8198891829904026,0.5240224049744785,3403,326,10,False
