index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,n_windows,disjoint_training_windows
0,0.1485593468560949,0.9861327326118492,308,3031,5000,True
1,0.1558808675637945,0.9845091195423252,10,2154,4759,True
2,0.1780443238217633,0.9603003139391902,2874,4994,994,True
3,0.6470915913934204,0.5589691471337429,1989,762,30,False
4,0.6848069673585667,0.5395847118315292,1689,289,30,False
5,0.6952119307323659,0.5193352030361398,3127,760,21,False
6,0.6953406926639737,0.5165151457820187,3043,672,34,False
7,0.7114944065880121,0.510294815189281,3302,758,19,False
8,0.7234168014625324,0.505812927960158,3797,751,1,False
9,0.7348219208433723,0.4936281329500068,3271,617,1,False
10,0.7349137292075383,0.4873167998902735,3263,631,8,False
11,0.7383061310592899,0.4839898137553264,3273,578,22,False
12,0.7397235638811946,0.4756263752557582,3299,525,31,False
13,0.7399235709968516,0.4751858747082516,3608,621,3,False
14,0.7436999248108073,0.4721155807465946,3209,517,13,False
15,0.7628101349298158,0.4596486153381656,3271,448,1,False
16,0.7660509796059671,0.4482352660231544,3273,437,23,False
17,0.7761093276255886,0.4318898493803195,4197,532,2,False
18,0.7787709885606227,0.4275645968731081,4944,590,4,False
19,0.7897412091493993,0.4115620235325694,4372,486,3,False
