index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
0,0.766690385,0.433468195,24.0,0.0073731,0.026368288,111.0,103.0,2729.0
1,0.77370754,0.425351327,16.0,0.012916932,0.0341476,92.0,102.0,3079.0
2,0.818816453,0.325700525,24.0,0.014068268,0.280477255,3869.0,103.0,2729.0
3,0.821014072,0.321343299,24.0,0.014068268,0.342763083,3869.0,103.0,2729.0
4,0.827161569,0.315101454,24.0,0.0073731,0.452413648,4024.0,103.0,3491.0
5,0.827246368,0.300567054,24.0,0.221170729,0.544936865,4242.0,103.0,2729.0
6,0.563828846,0.438649798,3136.0,0.942946443,0.511461672,2.0,781.0,383.0
7,0.760631838,0.424894854,24.0,0.014068268,0.026368288,72.0,103.0,2843.0
8,0.760631838,0.424894854,24.0,0.014068268,0.026368288,72.0,103.0,2868.0
9,0.763078785,0.424369607,24.0,0.014068268,0.026368288,72.0,103.0,3088.0
10,0.764395849,0.424304827,24.0,0.014068268,0.026368288,72.0,103.0,4112.0
11,0.805654945,0.396248832,24.0,0.014068268,0.026368288,2273.0,103.0,4225.0
12,0.811293132,0.388870514,24.0,0.014068268,0.026368288,2415.0,66.0,3081.0
13,0.813353388,0.379024206,24.0,0.014068268,0.021903071,4024.0,103.0,2729.0
14,0.819309127,0.318668078,24.0,0.014068268,0.479223514,2830.0,103.0,2729.0
15,0.821476221,0.31622464,5.0,0.676896239,0.928698843,2510.0,23.0,3398.0
16,0.822549908,0.314066795,24.0,0.014068268,0.479223514,3959.0,103.0,2746.0
17,0.826720543,0.293301321,24.0,0.531291922,0.715540284,4024.0,103.0,2729.0
18,0.827033761,0.292849676,24.0,0.531291922,0.600912782,4024.0,103.0,2629.0
19,0.827181166,0.289805826,24.0,0.865443793,0.479223514,3959.0,103.0,2451.0
