index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
0,0.310697368,0.563539964,3455,0.979057629,0.187729289,3,1534,186
1,0.323191672,0.563448399,3346,0.974903932,0.13083735,8,83,135
2,0.324200945,0.552367218,3532,0.976879373,0.147443444,6,2353,165
3,0.326563478,0.550119506,3471,0.950668851,0.106970415,2,2049,307
4,0.333638845,0.544447098,3459,0.884062711,0.159704477,1,2285,116
5,0.337880314,0.536605432,3547,0.970756885,0.113176695,6,823,695
6,0.414092429,0.479388836,54,0.976879373,0.18322157,8,102,451
7,0.511843396,0.339730857,54,0.461740733,0.18322157,394,33,1082
8,0.512385894,0.33238819,54,0.176028792,0.18322157,394,102,689
9,0.516895192,0.330302778,54,0.251803872,0.190732738,394,82,689
10,0.518853627,0.325802176,54,0.270599934,0.190732738,343,133,716
11,0.315985434,0.562434799,3532,0.976879373,0.18322157,11,102,277
12,0.32589625,0.547056014,3618,0.958017171,0.111733917,4,2140,260
13,0.346201917,0.515096132,3104,0.977354552,0.142794273,1,1413,268
14,0.425587547,0.457091613,64,0.552598731,0.154652133,1,20,131
15,0.46685486,0.382575011,54,0.95682348,0.189493066,67,133,311
16,0.511544325,0.339730857,54,0.461740733,0.184701488,394,33,1082
17,0.512336432,0.32652109,54,0.411555597,0.18322157,394,133,689
18,0.512375891,0.325752433,54,0.405845722,0.184701488,343,133,716
19,0.518677178,0.323713993,54,0.270599934,0.18322157,394,133,689
