source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
benchmark_pareto,0.33,30.0,0.33,24.0,Completed,1.0,4792.0,0.001,0.001
benchmark_pareto,0.61,31.0,0.61,26.0,Completed,20.0,2350.0,0.159,0.301
benchmark_pareto,0.68,33.0,0.68,29.0,Completed,38.0,1643.0,0.024,0.282
benchmark_pareto,0.71,35.0,0.7,31.0,Completed,2030.0,1203.0,0.31,0.292
benchmark_pareto,0.72,39.0,0.72,35.0,Completed,172.0,3223.0,0.962,0.089
benchmark_pareto,0.75,41.0,0.75,39.0,Completed,2051.0,863.0,0.533,0.367
benchmark_pareto,0.77,44.0,0.77,41.0,Completed,35.0,583.0,0.313,0.477
benchmark_pareto,0.79,48.0,0.79,43.0,Completed,2091.0,1003.0,0.086,0.186
benchmark_pareto,0.81,51.0,0.81,44.0,Completed,114.0,851.0,0.279,0.214
benchmark_pareto,0.82,58.0,0.82,45.0,Completed,2157.0,910.0,0.887,0.775
benchmark_pareto,0.83,68.0,0.83,51.0,Completed,298.0,1470.0,0.158,0.654
benchmark_pareto,0.85,73.0,0.85,57.0,Completed,79.0,372.0,0.955,0.35
benchmark_pareto,0.86,74.0,0.86,59.0,Completed,2908.0,2939.0,0.076,0.809
benchmark_pareto,0.88,80.0,0.88,63.0,Completed,349.0,1036.0,0.31,0.001
benchmark_pareto,0.89,91.0,0.89,66.0,Completed,385.0,932.0,0.506,0.37
benchmark_pareto,0.9,117.0,0.9,127.0,Completed,2400.0,713.0,0.9,0.662
benchmark_pareto,0.91,144.0,0.91,155.0,Completed,3685.0,2238.0,0.515,0.219
benchmark_pareto,0.92,184.0,0.92,189.0,Completed,761.0,734.0,0.113,0.255
benchmark_pareto,0.93,265.0,0.93,246.0,Completed,3946.0,989.0,0.385,0.35
benchmark_max_rt,,13814.0,,9789.0,Completed,3921.0,38.0,0.749,0.012
benchmark_min_acc,0.22,,0.22,,Completed,1.0,2780.0,0.61,0.999
paper_default,-1.0,-1.0,0.92,272.0,Completed,100.0,100.0,0.1,0.7
paper_default,-1.0,-1.0,0.91,225.0,Completed,500.0,500.0,0.1,0.7
paper_default,-1.0,-1.0,0.92,285.0,Completed,100.0,100.0,0.3,0.7
paper_default,-1.0,-1.0,0.91,240.0,Completed,500.0,500.0,0.3,0.7
paper_default,-1.0,-1.0,0.91,286.0,Completed,100.0,100.0,0.1,0.8
paper_default,-1.0,-1.0,0.91,237.0,Completed,500.0,500.0,0.1,0.8
paper_default,-1.0,-1.0,0.92,280.0,Completed,100.0,100.0,0.3,0.8
paper_default,-1.0,-1.0,0.91,222.0,Completed,500.0,500.0,0.3,0.8
recommendation_system,0.505733926569933,0.8919406499672152,0.64,23.0,Completed,2075.0,3845.0,0.1288220339417629,0.3059822124005933
recommendation_system,0.5152800233527356,0.8825655530321387,0.73,27.0,Completed,2219.0,3848.0,0.1282049845912497,0.311325669891428
recommendation_system,0.5234245657656444,0.8613363849557815,0.62,31.0,Completed,2023.0,2688.0,0.1507970572851467,0.3304111255201453
recommendation_system,0.5241847255571657,0.8598603261984412,0.62,31.0,Completed,2023.0,2674.0,0.1158897276946351,0.2853808333830159
recommendation_system,0.5275864858340117,0.8594907736686226,0.63,31.0,Completed,2027.0,2570.0,0.1244906513604515,0.3103976652587237
recommendation_system,0.5503940416875192,0.8204246818756593,0.7,39.0,Completed,2075.0,1703.0,0.1376081122454957,0.3304111255201453
recommendation_system,0.5567388628380816,0.8175284566101523,0.71,39.0,Completed,2075.0,1703.0,0.1887605691815815,0.3304111255201453
recommendation_system,0.5591355644666318,0.8097223983984583,0.72,40.0,Completed,2098.0,1638.0,0.1319765505308459,0.3304111255201453
recommendation_system,0.5649086600660986,0.8009776958243389,0.9,150.0,Completed,1488.0,2308.0,0.1890282370764762,0.2343943434376269
recommendation_system,0.6023341941344981,0.7747134890028996,0.79,40.0,Completed,36.0,445.0,0.0973134345799499,0.2665112270524212
recommendation_system,0.6499283065379131,0.7393926664240548,0.86,76.0,Completed,80.0,366.0,0.0921604614405547,0.2856764813503507
recommendation_system,0.6516184730975388,0.7370622672151621,0.84,59.0,Completed,42.0,320.0,0.0819638875175238,0.2621075736978085
recommendation_system,0.6552566136715041,0.7309838021801756,0.84,80.0,Completed,53.0,285.0,0.1690002275130861,0.2922512890333325
recommendation_system,0.6671370460670331,0.7166211822091367,0.86,87.0,Completed,68.0,284.0,0.130945026372559,0.2657889133282566
recommendation_system,0.694353138890884,0.6981601416880694,0.89,111.0,Completed,113.0,287.0,0.0801481644649069,0.2789377788205768
recommendation_system,0.7015197514268839,0.6747198262445139,0.9,175.0,Completed,176.0,285.0,0.1887605691815815,0.2673110726151962
recommendation_system,0.7226985421340502,0.645741580751631,0.8,38.0,Completed,2023.0,359.0,0.1576568754001468,0.2912588378807254
recommendation_system,0.7275296860673036,0.6453622234306354,0.91,175.0,Completed,144.0,204.0,0.091827945724263,0.3736610407124625
recommendation_system,0.7411113060471888,0.6141343684972946,0.92,342.0,Completed,281.0,217.0,0.1147968048733968,0.2288078174386544
recommendation_system,0.7493230116120496,0.6021745217409786,0.89,102.0,Completed,2112.0,285.0,0.1507970572851467,0.2011867347615488
