source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
benchmark_pareto,0.05,673.0,0.05,366.0,Completed,1.0,5000.0,0.001,1.0,0.025
benchmark_pareto,0.12,719.0,0.12,407.0,Completed,3315.0,4857.0,0.809,8.0,0.005
benchmark_pareto,0.15,732.0,0.15,436.0,Completed,4179.0,4828.0,0.821,3.0,0.005
benchmark_pareto,0.16,746.0,0.16,441.0,Completed,4844.0,4280.0,0.925,12.0,0.05
benchmark_pareto,0.19,758.0,0.19,478.0,Completed,807.0,1630.0,0.255,23.0,0.005
benchmark_pareto,0.24,769.0,0.24,501.0,Completed,1868.0,2085.0,0.682,7.0,0.005
benchmark_pareto,0.25,798.0,0.25,534.0,Completed,4633.0,2032.0,0.616,19.0,0.005
benchmark_pareto,0.26,799.0,0.26,535.0,Completed,812.0,1014.0,0.802,8.0,0.005
benchmark_pareto,0.28,804.0,0.28,562.0,Completed,3994.0,1659.0,0.34,6.0,0.025
benchmark_pareto,0.29,834.0,0.29,595.0,Completed,4425.0,1522.0,0.422,5.0,0.1
benchmark_pareto,0.3,867.0,0.3,613.0,Completed,2701.0,692.0,0.487,29.0,0.025
benchmark_pareto,0.33,875.0,0.33,622.0,Completed,2540.0,467.0,0.511,35.0,0.025
benchmark_pareto,0.36,908.0,0.36,692.0,Completed,660.0,444.0,0.704,16.0,0.01
benchmark_pareto,0.37,1062.0,0.37,800.0,Completed,1084.0,488.0,0.412,22.0,0.025
benchmark_pareto,0.38,1120.0,0.38,889.0,Completed,1333.0,580.0,0.999,5.0,0.01
benchmark_pareto,0.39,1135.0,0.39,928.0,Completed,376.0,231.0,0.805,34.0,0.025
benchmark_pareto,0.41,1267.0,0.41,1083.0,Completed,642.0,248.0,0.729,41.0,0.1
benchmark_pareto,0.42,1287.0,0.42,1091.0,Completed,2280.0,129.0,0.254,49.0,0.25
benchmark_pareto,0.43,1578.0,0.43,1275.0,Completed,1033.0,319.0,0.83,2.0,0.001
benchmark_pareto,0.44,1876.0,0.44,1459.0,Completed,1235.0,301.0,0.999,1.0,0.025
benchmark_pareto,0.45,1881.0,0.45,1515.0,Completed,2860.0,219.0,0.037,16.0,0.25
benchmark_pareto,0.46,3308.0,0.46,2647.0,Completed,1841.0,299.0,0.615,48.0,0.01
benchmark_pareto,0.47,3507.0,0.47,2783.0,Completed,3837.0,257.0,0.141,11.0,0.1
benchmark_pareto,0.48,3763.0,0.48,2933.0,Completed,1472.0,208.0,0.999,23.0,0.01
benchmark_pareto,0.49,3835.0,0.49,3014.0,Completed,3215.0,185.0,0.055,42.0,0.25
benchmark_pareto,0.5,6944.0,0.5,3526.0,Completed,3504.0,146.0,0.286,21.0,0.01
benchmark_pareto,0.53,7100.0,0.53,3713.0,Completed,879.0,95.0,0.727,20.0,0.1
benchmark_max_rt,,12447.0,,11579.0,Completed,4876.0,110.0,0.17,19.0,0.05
benchmark_min_acc,0.03,,0.03,,Completed,2062.0,3202.0,0.05,19.0,0.01
paper_default,-1.0,-1.0,0.25,564.0,Completed,2000.0,2000.0,0.9,55.0,0.05
paper_default,-1.0,-1.0,0.25,563.0,Completed,2000.0,2000.0,0.9,50.0,0.05
recommendation_system,0.3369733776173833,0.9560650636624448,0.04,547.0,Completed,5.0,4806.0,0.575419545346871,48.0,0.025
recommendation_system,0.4054796550936902,0.9349407061798004,0.17,449.0,Completed,1888.0,3549.0,0.5105891185533256,8.0,0.025
recommendation_system,0.4430566663154383,0.904249356053556,0.22,508.0,Completed,1544.0,2033.0,0.5814865615759045,2.0,0.1
recommendation_system,0.4480726084271404,0.900862578023681,0.21,494.0,Completed,1141.0,1857.0,0.5435944783730019,6.0,0.1
recommendation_system,0.4577828201008024,0.8996651776396881,0.23,520.0,Completed,1305.0,1798.0,0.531485614977777,4.0,0.1
recommendation_system,0.4766684959813617,0.8901909141966784,0.24,529.0,Completed,1371.0,1672.0,0.6511144818563545,4.0,0.1
recommendation_system,0.5399794381947352,0.7864530554904979,0.29,559.0,Completed,453.0,538.0,0.6059236627221107,32.0,0.25
recommendation_system,0.5720320813469526,0.7562666765562964,0.31,597.0,Completed,2739.0,657.0,0.608720589991035,31.0,0.25
recommendation_system,0.5934178849902536,0.7322188559021695,0.36,677.0,Completed,2729.0,473.0,0.5928155638632739,30.0,0.25
recommendation_system,0.6003206269134631,0.7281394042781322,0.37,730.0,Completed,2761.0,428.0,0.6078209144379944,16.0,0.25
recommendation_system,0.6138691044846015,0.6863784987131,0.38,789.0,Completed,2739.0,375.0,0.6610083108525723,34.0,0.25
