detector,dataset,recommendation_attempted_count,recommendation_completed_count,completion_rate,benchmark_pareto_completed_count,paper_default_total_count,paper_default_completed_count,gd_plus,igd_plus,recommendation_benchmark_dominance_rate,benchmark_pareto_dominated_rate,exact_r2_recommendations,exact_r2_benchmark,r2_gap,recommendation_default_dominance_rate,default_dominated_rate,spearman_accuracy,spearman_runtime
BNDM,NOAAWeather,20,20,1.0,2,6,6,0.125,0.0,0.0,0.0,0.2206215974583725,0.3426600706268305,-0.122038473168458,0.75,0.3333333333333333,0.7877173445839876,0.7877173445839876
CDBD,NOAAWeather,20,20,1.0,2,9,9,0.4584119152701157,0.0,0.0,0.0,0.1041279654057212,0.1041279654057212,0.0,1.0,1.0,0.34684398780964804,0.7732462185651845
CDLEEDS,NOAAWeather,20,20,1.0,2,5,5,0.9654586599495423,0.8804723247226601,0.0,0.0,0.5732451650640589,0.12625211601566744,0.44699304904839143,1.0,0.6,0.3784378163042982,0.7488721804511278
CSDDM,NOAAWeather,20,20,1.0,2,4,4,0.14785454786848412,0.0,0.0,0.0,0.11817041872494077,0.15698077078306266,-0.03881035205812189,0.75,1.0,0.9009980885456504,0.7983697862924675
D3,NOAAWeather,20,20,1.0,2,8,8,0.0,0.5,0.0,0.0,0.5,0.25,0.25,1.0,0.375,,
DAWIDD,NOAAWeather,20,20,1.0,2,2,2,0.48551549589285764,0.35515495892857624,0.0,0.0,0.2838190423226682,0.19780114785377662,0.08601789446889158,1.0,1.0,0.37796447300922725,0.37796447300922725
DDAL,NOAAWeather,20,20,1.0,1,8,8,0.6,0.0,0.0,0.0,0.25,0.5,-0.25,1.0,1.0,0.8495907904857465,0.8495907904857465
EDFS,NOAAWeather,20,20,1.0,3,2,2,0.0,0.0,1.0,1.0,0.13478864484540748,0.2164131450355305,-0.08162450019012302,0.0,0.0,0.37796447300922725,0.37796447300922725
HDDDM,NOAAWeather,20,20,1.0,2,3,3,0.475,0.25,0.05,0.5,0.24568028230456657,0.18889538977073306,0.05678489253383351,0.95,0.6666666666666666,0.37796447300922725,0.37796447300922725
IBDD,NOAAWeather,20,20,1.0,3,5,5,0.2054154402750885,0.0,0.05,0.6666666666666666,0.07964253133150509,0.10922365149172326,-0.029581120160218174,1.0,1.0,0.7659320154575221,0.9162258501821336
IKS,NOAAWeather,20,20,1.0,2,7,2,0.14610443152983002,0.03423766062162864,0.45,0.5,0.10327799706966372,0.08575300629939517,0.017524990770268548,1.0,1.0,0.7947194142390261,0.6545284714690429
NNDVI,NOAAWeather,20,20,1.0,3,10,3,0.5080209435699701,0.0,0.15,1.0,0.0744938267259154,0.13484024693609215,-0.06034642021017675,0.5,1.0,-0.22463908982709985,0.8030075187969924
OCDD,NOAAWeather,20,20,1.0,3,5,5,0.06315510024308343,0.0,0.75,1.0,0.09243133688819344,0.14851045400424365,-0.05607911711605021,0.9,1.0,0.29659724343295923,0.4211654245089519
PCACD,NOAAWeather,20,20,1.0,3,2,2,0.1576781504843277,0.16666666666666666,0.2,0.3333333333333333,0.2902715128269485,0.22223696325986506,0.06803454956708346,0.9,1.0,0.8495907904857465,0.9845010552495268
SlidShaps,NOAAWeather,20,20,1.0,2,4,4,0.01075230900310381,0.5,0.9,0.5,0.5,0.4553732987717026,0.04462670122829743,1.0,1.0,,0.7705924800227667
SPLL,NOAAWeather,20,20,1.0,2,4,4,0.23792249227496615,0.0,0.0,0.0,0.09459515054812667,0.1169742102448999,-0.02237905969677323,1.0,0.5,0.13944071923421897,0.9292908337189628
STUDD,NOAAWeather,20,20,1.0,2,1,1,0.1037593748197109,0.2075187496394218,0.0,0.0,0.25,0.1845351232142713,0.06546487678572871,0.25,1.0,0.7108891675368976,0.7108891675368976
UCDD,NOAAWeather,20,20,1.0,1,2,0,0.8708581477539514,0.0,0.05,1.0,0.05717046409025614,0.17175416977959113,-0.11458370568933499,1.0,1.0,-0.48529286132462957,0.8995863742605426
UDetect,NOAAWeather,20,20,1.0,3,8,8,0.23854108593598683,0.10034333188799371,0.05,0.6666666666666666,0.15051499783199057,0.14381138944421118,0.006703608387779392,0.55,1.0,0.8644535641764836,0.8987057545961471
WindowKDE,NOAAWeather,20,20,1.0,4,1,1,0.15640004528061233,0.0675455377436858,0.4,0.5,0.1257537863187816,0.10442967587959978,0.02132411043918181,0.5,1.0,,0.8770214986520005
