index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
0,0.4372538177700354,0.9133017640322793,7.0,3878.0,0.1405288013927638,0.1452662066034972
1,0.4519806085192028,0.9101854516458688,7.0,3819.0,0.1231950312753617,0.2066905476961506
2,0.4908759357440224,0.9074124686011064,1690.0,3965.0,0.0651537901327588,0.3943344682123026
3,0.4985609345020536,0.9039934341912954,1866.0,4110.0,0.1720960020767385,0.3680309244761828
4,0.5061970246843803,0.9035533755394378,1866.0,3957.0,0.1720960020767385,0.3680309244761828
5,0.5149510710481713,0.9032318227194392,1866.0,3846.0,0.1488009500381985,0.4943439751477868
6,0.5301804993354559,0.9001450449533431,1809.0,3288.0,0.1135417873772695,0.2918511567760361
7,0.5591588005374676,0.890526415624233,1774.0,2963.0,0.0656797408908605,0.2958164527527988
8,0.5736319570267304,0.8884807900326499,1763.0,2755.0,0.0846752732344573,0.2831042247655448
9,0.5793208166793982,0.8816510176208137,1866.0,2713.0,0.1139195175249911,0.2961911482166349
10,0.5932672008847678,0.8733066851004262,1866.0,2625.0,0.1488009500381985,0.3898166112457
11,0.603040531022524,0.8714586340405568,1919.0,2423.0,0.1105117312446236,0.3004538359921425
12,0.6956074794337227,0.770151847439482,1890.0,944.0,0.1370137761113685,0.3559196252631135
13,0.7137486709391857,0.7521653488039621,1963.0,757.0,0.1862645944560367,0.5998527160440679
14,0.728194607072241,0.7215455306854903,1890.0,625.0,0.1807034226675863,0.5998527160440679
15,0.7649546132240903,0.6843763984654063,1866.0,392.0,0.1228175587277495,0.6438997183707076
16,0.8050057757917984,0.56575013577414,1866.0,220.0,0.3580563297394518,0.1875545005762741
17,0.807445504403547,0.5267329671842815,1976.0,184.0,0.4523000987600535,0.1869326088689267
18,0.8107600420832614,0.5005983053893613,2164.0,151.0,0.13751910604164,0.1331206572074443
19,0.8144990945142712,0.4529279062032948,2312.0,118.0,0.3785944118120001,0.2285584377312497
