index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
0,0.4687940792050364,0.9710146331962622,54.0,4847.0,0.0838909123260527,0.2995357247684151
1,0.477239815074412,0.969601515276148,128.0,4747.0,0.4157913690954447,0.2940457432884722
2,0.4914312251651274,0.9627899487195004,353.0,4841.0,0.099006736818701,0.3339248545244336
3,0.5083061243263869,0.9579302584616232,1809.0,4919.0,0.1779496240793337,0.197021735995136
4,0.5213840270121437,0.9546807596711224,1894.0,4925.0,0.399566513619827,0.1239056718402799
5,0.5558984293510087,0.907428515449827,1826.0,2141.0,0.0737157373875849,0.3911842663228094
6,0.5598977626173623,0.8974186343963705,4483.0,4570.0,0.4110139190744278,0.3060837184364807
7,0.564010659160354,0.8972255978347039,4977.0,4590.0,0.3953609596472233,0.2937639217432588
8,0.5641544617887202,0.8943539316395926,1262.0,2180.0,0.1021829585061749,0.4391613489721855
9,0.5646769844250255,0.8918468859136912,1546.0,2083.0,0.1733217268567532,0.3985794665366411
10,0.5736215609392956,0.8895023182738595,1308.0,2055.0,0.1153163745161146,0.3867525229919701
11,0.5806306223582183,0.8711384724750523,1496.0,1649.0,0.5301910445632579,0.2743908492048216
12,0.6095162128523901,0.8320425209150801,4931.0,2116.0,0.1774989614393562,0.3531304625738412
13,0.6720986886489916,0.717213436436775,2408.0,436.0,0.4222219018098885,0.2160987043247794
14,0.6745555065913261,0.6975319371682973,2420.0,394.0,0.3518846172727644,0.2614597323350608
15,0.681178447238668,0.675207036773468,2570.0,395.0,0.1420193530451506,0.3057138848863542
16,0.6829419729376128,0.6686939207745833,2445.0,348.0,0.6434610071014613,0.1491083708815276
17,0.7213773168483384,0.6057949210339366,2144.0,221.0,0.320098534854129,0.1064025080334395
18,0.7409678992868383,0.5108061838544008,2434.0,131.0,0.4330950911417603,0.1457819732129573
19,0.7441269458040982,0.4778333572026808,2114.0,88.0,0.4072979017157632,0.2399582149054493
