index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
0,0.5631594271786305,0.9868712653002198,2210.0,3845.0,0.9988483437411488,0.870453123761341
1,0.5642511262040361,0.9865340322193672,2081.0,3829.0,0.4550006120540201,0.7948953211400658
2,0.5705832569153813,0.9862075100232476,2064.0,3814.0,0.8480032013338059,0.8689038986638188
3,0.5876219848762226,0.9848734475863966,2114.0,3941.0,0.2122620714809745,0.2950344113837927
4,0.6029184029718042,0.9787031319091972,2899.0,4262.0,0.4422596013657748,0.1013774715792387
5,0.6164079169157569,0.969528390354662,2013.0,1935.0,0.1645881886128336,0.3004976900480687
6,0.6221408142228729,0.966611306285793,2110.0,1968.0,0.1491547332722693,0.3100962956789881
7,0.629504115513241,0.9660057130520268,2307.0,1564.0,0.347685566406697,0.3628970753215253
8,0.6596939259902709,0.9374331770151272,2620.0,982.0,0.3579678175393852,0.3504460461404213
9,0.6642379577447918,0.9344224452148562,2587.0,892.0,0.3368633355852216,0.1646070104353129
10,0.7142251389582885,0.836495373185505,811.0,436.0,0.5637071511890125,0.0059450922120893
11,0.7389434272916217,0.7379937888599236,843.0,301.0,0.5986594370288761,0.0240415943974064
12,0.7411119138010629,0.7257181616283938,775.0,285.0,0.6137895622048527,0.0392209118325263
13,0.7599045286441579,0.674893654969781,2079.0,170.0,0.6622515713583297,0.2901766985795603
14,0.7616256870175222,0.6715621432812618,816.0,233.0,0.6038717631602573,0.0274412176070988
15,0.7647568889154827,0.6618265319245741,2571.0,167.0,0.1021639872501641,0.0404897807876357
16,0.7786884694520984,0.65540836847818,2222.0,145.0,0.6478516054313,0.2705861249653891
17,0.8051320233330014,0.6280994871746053,1932.0,112.0,0.6551014430354977,0.3133639198539401
18,0.8129443662188739,0.6211424396679281,1932.0,112.0,0.6335782175580713,0.3133639198539401
19,0.8245665136625968,0.6194429661226438,2137.0,94.0,0.6455748421695505,0.3279367289635613
