index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
0,0.2915750227943704,0.7948833394317606,1692.0,4545.0,0.4337337267771363,0.365026919497177
1,0.2975027637414105,0.7906790479217125,1775.0,4604.0,0.4261346612982452,0.4909954219460487
2,0.2976604324357825,0.7904875196293291,1652.0,4634.0,0.4435217354521155,0.3265529871601611
3,0.299979023961972,0.7899686597059159,1736.0,4654.0,0.4514858593307435,0.4505718024112284
4,0.3010965770099963,0.7891182088400548,1881.0,4586.0,0.4772692292761057,0.2606271453667432
5,0.3052041553780317,0.7889855166208101,1782.0,4701.0,0.4726003475692123,0.4095188836660236
6,0.3157855151078429,0.7875696917565924,1640.0,3991.0,0.1685854922997966,0.4350799401049312
7,0.3236352797530374,0.7848824204506993,1640.0,3636.0,0.1685854922997966,0.4350799401049312
8,0.3242538807027502,0.7832660778002203,1681.0,3779.0,0.1641902710162103,0.3708595686871558
9,0.3255548258136035,0.7790920189792834,1677.0,3726.0,0.180010297082287,0.3622388933316648
10,0.3256011646682658,0.7741003287443158,1580.0,4341.0,0.3992586600854992,0.2836597442608327
11,0.3313287893927357,0.772743188525761,1547.0,4459.0,0.4457471831869334,0.3438558392319828
12,0.3329565829857392,0.7722120499851002,1658.0,3627.0,0.1289636387993561,0.346853211213171
13,0.4004443813047734,0.7467951213706924,1760.0,2551.0,0.1545832726548811,0.2748569479768198
14,0.4012287318560416,0.7462509559610876,1882.0,2475.0,0.178837033841521,0.3304130980678552
15,0.4156062145791131,0.7268436625994408,1931.0,1875.0,0.1504689259968482,0.3448582727390483
16,0.4375363255617985,0.7204219340367022,1713.0,1691.0,0.2113580759651959,0.2811100302636623
17,0.454364155731019,0.7120769082680283,1686.0,1690.0,0.1947917692439447,0.3318188334193289
18,0.5393250875119935,0.6773077587484866,1658.0,953.0,0.1947917692439447,0.346853211213171
19,0.6414937248791407,0.5945230309741852,1725.0,299.0,0.163190878521651,0.3362838294021785
