Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
Completed,0.73,2113,2132,1587,23,0.054,0.7
Completed,0.74,1988,1433,2713,13,0.331,0.4
Completed,0.71,3405,2464,572,107,0.212,0.5
Completed,0.72,2816,371,1085,58,0.481,0.9
Completed,0.71,5071,3664,352,33,0.677,0.0
Completed,0.72,6156,2434,1349,89,0.386,0.01
Completed,0.73,1722,1124,1992,14,0.131,0.1
Completed,0.73,5212,387,4647,34,0.237,0.5
Completed,0.72,13655,1782,1195,213,0.501,0.6
Completed,0.71,10628,2553,1413,157,0.957,0.0
Completed,0.73,11912,1882,4756,72,0.639,0.0
Completed,0.7,8440,241,377,282,0.477,0.0
Completed,0.73,13008,4662,3290,114,0.176,0.0
Completed,0.74,639,3882,1064,11,0.295,0.3
Completed,0.71,12203,1414,2137,135,0.767,0.2
Completed,0.71,14315,2876,494,372,0.204,0.9
Completed,0.71,5034,1002,1811,35,0.596,0.01
Completed,0.71,2638,3704,150,150,0.093,0.1
Completed,0.73,6450,2924,3003,57,0.438,0.0
Completed,0.71,6681,2330,676,181,0.152,0.3
Completed,0.72,13353,533,3803,89,0.996,0.0
Completed,0.73,5965,4348,1573,84,0.39,0.6
Completed,0.71,4631,1572,227,43,0.925,0.0
Completed,0.71,5940,4341,78,66,0.736,0.6
Failed,,,3713,3582,3328,0.579,0.0
Failed,,,2527,315,4512,0.716,0.01
Failed,,,1017,2602,2489,0.12,0.5
Failed,,,1744,2181,2949,0.904,0.0
Failed,,,4613,4895,286,0.308,0.1
Failed,,,4736,1011,2629,0.003,0.7
Failed,,,1389,3262,604,0.662,0.6
Failed,,,828,1494,4834,0.314,0.0
Failed,,,3110,4244,2170,0.973,0.1
Failed,,,3131,2466,670,0.851,0.9
Failed,,,414,4591,3636,0.45,0.0
Failed,,,2815,3140,4323,0.352,0.0
Failed,,,3427,152,2814,0.474,0.0
Failed,,,509,2871,165,0.813,0.7
Failed,,,2331,2353,4414,0.163,0.5
Failed,,,3792,4634,2375,0.502,0.9
Failed,,,1233,562,3241,0.84,0.0
Failed,,,2705,2695,1203,0.493,0.001
Failed,,,3536,910,2204,0.365,0.8
Failed,,,9,3667,4546,0.954,0.2
Failed,,,4225,3830,2994,0.643,0.5
Failed,,,4128,1835,1324,0.43,0.9
Failed,,,1996,3923,4291,0.769,0.001
Failed,,,225,671,981,0.24,0.0
Failed,,,640,3967,1233,0.551,0.001
Failed,,,4563,1705,4167,0.138,0.9
Failed,,,2883,2616,1827,0.797,0.0
Failed,,,1773,504,3591,0.384,0.0
Failed,,,2445,3368,4732,0.313,0.2
Failed,,,3517,943,477,0.992,0.5
Failed,,,4025,4426,2826,0.068,0.6
Failed,,,140,2476,2402,0.747,0.8
Failed,,,3511,3278,1956,0.045,0.2
Failed,,,3450,291,4807,0.514,0.001
Failed,,,114,3046,2158,0.167,0.0
Failed,,,2042,2216,2655,0.825,0.4
Failed,,,4335,4461,616,0.478,0.0
Failed,,,4200,2456,3849,0.699,0.0
Failed,,,1946,4542,1824,0.102,0.0
Failed,,,213,4416,4301,0.538,0.7
Failed,,,3870,261,340,0.915,0.6
Failed,,,2256,2977,2680,0.264,0.9
Failed,,,591,2245,1889,0.727,0.8
Failed,,,3347,4528,4859,0.076,0.7
Failed,,,2894,1263,3547,0.188,0.0
Failed,,,651,4173,898,0.598,0.5
Failed,,,1485,1233,3837,0.378,0.0
Failed,,,1609,4811,1494,0.184,0.0
Failed,,,3336,773,445,0.655,0.0
Failed,,,618,3490,2787,0.058,0.0
Failed,,,2245,1722,2016,0.965,0.0
Failed,,,3897,4006,4988,0.369,0.0
Failed,,,3897,1729,3699,0.707,0.1
Failed,,,2228,4018,727,0.118,0.0
Failed,,,613,766,3998,0.891,0.4
Failed,,,3325,3477,1656,0.302,0.5
Failed,,,2654,2994,4762,0.878,0.0
Failed,,,3607,1216,3723,0.759,0.0
Failed,,,269,3341,762,0.42,0.8
