Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
Completed,0.8,5453,266,2105,87,0.945,0.5
Completed,0.73,7044,5000,5000,1,0.999,0.9
Completed,0.52,203,2414,2194,1,0.079,0.2
Completed,0.85,5167,2188,1,353,0.142,0.0
Completed,0.52,141,1,293,1,0.075,0.0
Completed,0.52,577,3998,4795,3,0.001,0.01
Completed,0.52,148,985,350,1,0.001,0.0
Completed,0.52,571,1337,322,34,0.017,0.7
Completed,0.52,193,2760,681,1,0.104,0.0
Completed,0.79,8528,4635,2087,4,0.869,0.0
Completed,0.81,14275,418,1408,223,0.949,0.2
Completed,0.75,13321,4179,3170,85,0.616,0.7
Completed,0.63,8548,3235,1105,238,0.148,0.7
Completed,0.62,5435,1977,4119,59,0.295,0.0
Completed,0.83,6152,2915,362,77,0.548,0.0
Completed,0.82,4595,1,1,371,0.999,0.0
Completed,0.83,6116,2119,382,282,0.613,0.9
Completed,0.57,6360,2595,2059,98,0.199,0.3
Completed,0.56,8074,249,4679,110,0.179,0.001
Completed,0.83,7990,3987,115,209,0.264,0.0
Completed,0.83,11078,1338,767,152,0.936,0.0
Completed,0.83,14323,3554,602,288,0.832,0.8
Completed,0.65,10784,4714,2685,111,0.452,0.6
Completed,0.76,2037,2296,4014,7,0.625,0.3
Completed,0.81,5513,3195,1236,9,0.567,0.0
Completed,0.59,1873,1920,2320,22,0.267,0.3
Completed,0.67,5848,1126,1918,106,0.275,0.01
Completed,0.52,1493,450,4460,11,0.026,0.0
Completed,0.68,3766,4107,1483,53,0.293,0.0
Completed,0.75,4391,94,3969,39,0.605,0.3
Completed,0.52,419,3688,3604,2,0.479,0.0
Completed,0.83,4136,2075,1099,66,0.665,0.8
Completed,0.52,306,2310,3704,1,0.153,0.0
Completed,0.52,26,2680,1,1,0.001,0.0
Completed,0.52,220,1986,1055,1,0.296,0.0
Completed,0.52,7036,1360,3949,79,0.239,0.0
Completed,0.52,5208,882,1509,128,0.002,0.001
Completed,0.55,10786,961,1773,221,0.026,0.1
Completed,0.56,2628,3763,1940,44,0.237,0.0
Completed,0.62,4121,1017,765,38,0.433,0.001
Completed,0.77,11102,3681,3108,56,0.98,0.0
Completed,0.75,9879,1948,219,359,0.209,0.9
Completed,0.8,8932,2594,1710,132,0.72,0.7
Completed,0.64,12831,3070,4690,162,0.402,0.0
Completed,0.52,3193,1828,514,145,0.032,0.8
Failed,,,3586,4375,3849,0.822,0.0
Failed,,,584,502,1438,0.478,0.1
Failed,,,1736,2767,3505,0.525,0.6
Failed,,,4740,1484,1249,0.182,0.001
Failed,,,4286,3509,2116,0.029,0.0
Failed,,,2210,2301,4391,0.687,0.9
Failed,,,1019,4410,513,0.328,0.3
Failed,,,3093,774,2943,0.98,0.0
Failed,,,2590,3017,202,0.701,0.01
Failed,,,916,1801,2633,0.109,0.0
Failed,,,2107,3910,2427,0.904,0.0
Failed,,,1600,1570,1587,0.675,0.0
Failed,,,3322,3015,2833,0.269,0.4
Failed,,,3320,2238,1768,0.506,0.7
Failed,,,1604,3605,3013,0.412,0.5
Failed,,,1145,555,528,0.977,0.8
Failed,,,1,1,4620,0.999,0.0
Failed,,,1,4017,4704,0.001,0.9
Failed,,,3343,5000,3098,0.999,0.9
