Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
Failed,,,477,3855,3055,0.333,0.7
Failed,,,3489,1821,2467,0.708,0.0
Failed,,,4717,2774,3839,0.007,0.0
Failed,,,1788,421,755,0.88,0.1
Failed,,,2467,3245,1643,0.77,0.4
Failed,,,4155,1218,3555,0.146,0.0
Failed,,,1204,2324,4666,0.442,0.5
Failed,,,746,2886,440,0.244,0.001
Failed,,,2751,231,4774,0.867,0.9
Failed,,,4047,4280,1537,0.416,0.01
Failed,,,1989,1317,3374,0.541,0.0
Failed,,,1252,4703,4341,0.68,0.0
Failed,,,4589,2046,1175,0.306,0.2
Failed,,,1735,1415,2018,0.028,0.8
Failed,,,3853,4957,4624,0.597,0.0
Failed,,,2889,124,309,0.3,0.0
Failed,,,4106,4565,3645,0.861,0.001
Failed,,,1457,2374,758,0.212,0.5
Failed,,,583,2598,4504,0.589,0.2
Failed,,,2606,406,2398,0.486,0.0
Failed,,,3046,4205,4951,0.164,0.2
Failed,,,64,1387,1899,0.763,0.0
Failed,,,1643,3642,3155,0.389,0.0
Failed,,,3998,826,1195,0.536,0.9
Failed,,,4711,3074,1329,0.641,0.7
Failed,,,2062,262,4226,0.307,0.0
Failed,,,1228,4689,470,0.931,0.0
Failed,,,3251,1879,2585,0.02,0.4
Failed,,,3264,3419,1262,0.948,0.0
Failed,,,1245,1235,4312,0.096,0.3
Failed,,,2050,3794,558,0.72,0.5
Failed,,,1670,2292,1987,0.584,0.8
Failed,,,277,3516,2581,0.822,0.01
Failed,,,824,1173,4177,0.915,0.4
Failed,,,3591,2689,1839,0.456,0.001
Failed,,,4399,2231,3698,0.628,0.0
Failed,,,2437,3899,1070,0.246,0.6
Failed,,,2033,378,3244,0.39,0.0
Failed,,,4803,3262,899,0.991,0.9
Failed,,,3184,1825,4035,0.164,0.2
Failed,,,1230,4547,1356,0.716,0.0
Failed,,,528,2016,402,0.561,0.0
Failed,,,2638,4114,3113,0.07,0.2
Failed,,,4100,802,2423,0.772,0.5
Failed,,,1487,3060,4844,0.359,0.0
Failed,,,1260,666,769,0.668,0.01
Failed,,,4327,2963,3373,0.208,0.0
Failed,,,2723,2113,1559,0.879,0.0
Failed,,,441,4250,3833,0.498,0.7
Failed,,,989,1690,2926,0.28,0.7
Failed,,,3427,4450,591,0.848,0.0
Failed,,,4875,475,4948,0.052,0.001
Failed,,,1963,3397,2318,0.575,0.4
Failed,,,2201,2367,4494,0.805,0.0
Failed,,,4637,3996,2147,0.313,0.1
Failed,,,3667,1077,2784,0.517,0.9
Failed,,,748,2553,107,0.104,0.0
Failed,,,45,260,1652,0.135,0.0
Failed,,,3119,3612,4366,0.735,0.5
Failed,,,3933,1318,1174,0.407,0.3
Failed,,,1654,4821,3592,0.961,0.0
Failed,,,1635,45,3977,0.58,0.6
Failed,,,4029,3593,1259,0.041,0.0
Failed,,,2982,1494,3185,0.866,0.001
Failed,,,104,4880,801,0.251,0.4
Failed,,,652,2308,2364,0.47,0.1
Failed,,,3685,3820,4746,0.898,0.0
Failed,,,4577,1096,344,0.197,0.0
Failed,,,2339,2768,3016,0.673,0.8
Failed,,,1046,3183,4565,0.146,0.0
Failed,,,342,881,3600,0.115,0.0
Failed,,,2744,2983,1011,0.512,0.2
Failed,,,4270,1937,4080,0.342,0.9
Failed,,,1395,4191,1781,0.786,0.0
Failed,,,1466,2036,2725,0.225,0.4
Failed,,,4199,4329,9,0.655,0.0
Failed,,,2503,744,4436,0.453,0.0
Failed,,,585,2884,2050,0.928,0.7
Failed,,,1131,554,1116,0.835,0.8
Failed,,,3205,3321,3495,0.297,0.0
Failed,,,4746,1610,1593,0.623,0.0
Failed,,,2169,4527,4267,0.007,0.01
Failed,,,2419,997,1461,0.362,0.0
Failed,,,4495,2630,3774,0.76,0.3
Failed,,,3453,2446,672,0.09,0.6
Failed,,,883,3919,3315,0.534,0.0
Failed,,,3774,2801,462,0.368,0.6
Failed,,,2966,2285,4781,0.541,0.3
Failed,,,199,3777,2485,0.08,0.001
