Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
Completed,0.55,0,3788,756,2382,0.609,0.6
Completed,0.55,0,1803,4334,4772,0.013,0.0
Completed,0.55,0,1065,2167,935,0.831,0.0
Completed,0.55,0,3357,2923,3172,0.297,0.01
Completed,0.55,2877,3589,117,1219,0.101,0.0
Completed,0.55,0,822,4972,3513,0.526,0.3
Completed,0.55,0,2868,1708,4163,0.457,0.3
Completed,0.55,0,1844,1758,2946,0.466,0.0
Completed,0.55,0,1614,4646,1620,0.894,0.001
Completed,0.55,0,3060,587,2482,0.706,0.001
Completed,0.55,0,2805,4717,4006,0.858,0.1
Completed,0.55,0,4684,2550,2011,0.056,0.2
Completed,0.55,0,2236,2381,4597,0.566,0.0
Completed,0.55,0,476,3961,953,0.277,0.001
Completed,0.55,0,2618,970,3701,0.85,0.8
Completed,0.55,0,2788,3888,1428,0.152,0.0
Completed,0.55,0,2367,2799,610,0.431,0.6
Completed,0.55,0,303,3360,1732,0.921,0.0
Completed,0.55,0,1978,609,2563,0.235,0.001
Completed,0.55,0,4862,4459,285,0.637,0.7
Completed,0.55,526,4195,1260,344,0.193,0.01
Completed,0.55,0,1473,3655,3051,0.68,0.0
Completed,0.55,2395,652,161,1402,0.476,0.0
Completed,0.55,0,3691,4753,3946,0.901,0.5
Completed,0.55,0,3137,1938,1681,0.705,0.0
Completed,0.55,0,1197,2976,4292,0.171,0.9
Completed,0.57,210,1701,849,4,0.985,0.4
Completed,0.55,0,3959,4065,2766,0.388,0.0
Completed,0.55,0,4759,370,4902,0.361,0.0
Completed,0.55,0,1253,1519,2037,0.319,0.9
Completed,0.55,0,4327,3571,4491,0.806,0.0
Completed,0.55,0,70,1649,3720,0.93,0.0
Completed,0.55,0,5000,3544,2327,0.001,0.0
Completed,0.55,0,1740,946,4591,0.001,0.4
Completed,0.55,0,1968,1,5000,0.999,0.4
Completed,0.55,0,1831,728,5000,0.999,0.4
Completed,0.55,0,5000,3214,5000,0.999,0.9
Completed,0.55,0,1183,1,4529,0.999,0.4
Completed,0.55,0,1527,501,4386,0.999,0.4
Completed,0.55,0,1415,748,4163,0.001,0.4
Completed,0.55,0,1,5000,4519,0.001,0.0
Completed,0.55,0,1614,1113,2377,0.001,0.4
Completed,0.55,0,5000,3489,2392,0.999,0.9
Completed,0.55,0,5000,3558,5000,0.999,0.1
Completed,0.55,0,1247,841,5000,0.001,0.4
Completed,0.55,0,2008,865,3298,0.999,0.4
Completed,0.55,0,1,3887,2152,0.001,0.0
Completed,0.55,0,4751,5000,4501,0.001,0.0
Completed,0.55,0,4063,5000,4498,0.001,0.0
Completed,0.55,0,3993,5000,2759,0.001,0.0
Completed,0.55,0,1678,218,4546,0.001,0.4
Completed,0.55,0,1690,3750,2247,0.999,0.5
Completed,0.55,0,1244,963,4684,0.999,0.4
Completed,0.55,0,1507,1597,3460,0.001,0.4
Completed,0.55,0,4909,3966,3735,0.001,0.0
Completed,0.55,0,4480,3713,2234,0.001,0.0
Completed,0.55,0,1724,1200,3346,0.001,0.4
Completed,0.55,0,1887,1124,4740,0.001,0.4
Completed,0.55,71,1635,1596,1,0.999,0.4
Completed,0.54,138,1587,1220,1,0.999,0.4
Completed,0.55,0,1246,2021,1,0.999,0.4
Completed,0.55,0,970,2419,865,0.999,0.4
Completed,0.55,0,683,4487,3259,0.999,0.7
Completed,0.55,0,775,2368,692,0.999,0.4
Completed,0.55,0,1605,5000,1961,0.001,0.0
Completed,0.55,0,1,4476,965,0.999,0.2
Completed,0.55,0,261,4512,3204,0.999,0.0
Completed,0.55,0,656,2408,971,0.001,0.3
Completed,0.55,0,3719,5000,2073,0.999,0.3
Completed,0.55,0,2741,1,2626,0.999,0.0
Completed,0.55,0,4251,5000,1872,0.001,0.6
Completed,0.55,0,4034,4483,1493,0.999,0.0
Completed,0.55,0,1,4476,3249,0.001,0.001
Completed,0.55,0,5000,5000,1911,0.999,0.0
Completed,0.55,0,835,2371,278,0.999,0.4
Completed,0.55,0,205,1,2642,0.999,0.0
Completed,0.55,0,1171,4634,1769,0.999,0.7
Completed,0.54,101,1511,1404,1,0.999,0.4
Completed,0.55,0,5000,4501,3255,0.999,0.2
Completed,0.55,0,2487,4122,4218,0.001,0.7
Completed,0.55,0,5000,1,2636,0.999,0.2
Completed,0.55,0,873,4423,3382,0.999,0.0
Completed,0.55,0,1,5000,2072,0.001,0.0
Completed,0.55,0,674,2423,726,0.001,0.3
Completed,0.55,0,1,4449,5000,0.999,0.1
Completed,0.55,0,5000,4483,3278,0.999,0.0
Completed,0.55,0,2468,4488,1638,0.999,0.3
Completed,0.55,0,5000,5000,1862,0.999,0.0
Completed,0.55,0,3121,2508,5000,0.457,0.0
Completed,0.55,0,1,105,5000,0.283,0.0
Completed,0.55,0,1403,2361,4907,0.449,0.9
Completed,0.55,0,1,2677,4672,0.48,0.0
Completed,0.55,0,4878,4562,785,0.21,0.0
Completed,0.55,0,1,3158,5000,0.232,0.9
Completed,0.55,0,4880,2072,5000,0.421,0.0
Completed,0.55,0,1,1970,4915,0.408,0.0
Completed,0.55,0,16,3863,586,0.081,0.0
Completed,0.55,0,1,4852,3594,0.333,0.9
Completed,0.55,0,93,3888,4781,0.215,0.0
Completed,0.55,2059,1008,1,790,0.287,0.0
Completed,0.55,0,4555,3498,5000,0.101,0.9
Completed,0.55,0,4179,4868,213,0.833,0.0
Completed,0.55,0,4923,3033,4638,0.492,0.9
Completed,0.55,0,4649,136,2185,0.671,0.0
Completed,0.55,0,239,2971,1259,0.511,0.0
Completed,0.55,0,4750,80,3511,0.301,0.0
Completed,0.55,0,3845,2518,4275,0.24,0.0
Completed,0.55,0,253,2713,598,0.494,0.9
Completed,0.55,0,1,3524,5000,0.073,0.0
Completed,0.55,0,23,3906,1,0.563,0.9
Completed,0.55,0,1,5000,1,0.946,0.9
Completed,0.55,0,3563,10,4735,0.294,0.9
Completed,0.55,292,675,237,118,0.791,0.9
Completed,0.55,0,84,8,5000,0.91,0.0
Completed,0.55,0,1,2117,5000,0.426,0.9
Completed,0.55,0,131,2458,203,0.623,0.0
Completed,0.55,0,5000,1229,1185,0.782,0.9
Completed,0.55,0,508,2359,4956,0.758,0.0
Completed,0.55,0,1,1491,1382,0.001,0.0
Completed,0.55,0,1,1503,1377,0.999,0.0
Completed,0.55,0,5000,1495,1371,0.001,0.9
Completed,0.55,0,5000,1470,1403,0.999,0.0
Completed,0.55,0,1,1516,1359,0.001,0.9
Completed,0.55,0,5000,1465,1424,0.999,0.9
Completed,0.55,0,5000,1542,1314,0.001,0.0
Completed,0.55,0,1,3052,3748,0.999,0.0
Completed,0.55,0,1,2963,3717,0.001,0.9
Completed,0.55,0,1,1500,1370,0.999,0.9
Completed,0.55,0,1,2594,2483,0.001,0.0
Completed,0.55,0,1,1,2345,0.001,0.0
Completed,0.55,0,5000,2692,3689,0.999,0.9
Completed,0.55,0,1,5000,4799,0.001,0.9
Completed,0.55,0,1,2973,3692,0.999,0.9
Completed,0.55,0,4111,5000,4061,0.999,0.0
Completed,0.55,0,1,2428,2469,0.999,0.0
Completed,0.55,0,5000,3052,3737,0.999,0.0
Completed,0.55,0,5000,3055,3681,0.001,0.9
Completed,0.55,0,5000,3246,3605,0.001,0.0
Completed,0.55,0,1,3165,3727,0.001,0.0
Completed,0.55,0,5000,5000,3184,0.001,0.0
Completed,0.55,0,1,5000,4789,0.999,0.0
Completed,0.55,0,384,4637,4403,0.999,0.0
Completed,0.55,0,565,5000,3903,0.166,0.9
Completed,0.55,0,1,2488,2448,0.999,0.9
Completed,0.55,0,1,4660,4343,0.001,0.0
Completed,0.55,0,817,4677,1,0.001,0.0
Completed,0.55,0,5000,1468,1426,0.001,0.0
Completed,0.55,0,5000,2787,2609,0.999,0.0
Completed,0.55,0,91,38,4516,0.324,0.0
Completed,0.55,0,1,5000,51,0.488,0.0
Completed,0.55,0,1747,133,3204,0.327,0.9
Completed,0.55,0,194,4623,1908,0.059,0.0
Completed,0.55,0,2312,4222,1089,0.485,0.0
Completed,0.55,0,3496,908,3779,0.322,0.0
Completed,0.55,0,1477,16,3606,0.325,0.0
Completed,0.55,0,2069,4035,1,0.49,0.9
Completed,0.55,0,4378,5000,3195,0.084,0.9
Completed,0.55,0,4611,4842,458,0.032,0.0
Completed,0.55,0,205,4908,1062,0.063,0.9
Completed,0.55,0,968,4792,2439,0.249,0.0
Completed,0.55,0,4882,167,4584,0.784,0.0
Completed,0.55,0,127,4869,4142,0.953,0.9
Completed,0.55,0,45,305,3062,0.415,0.9
Completed,0.55,0,1,917,5000,0.035,0.9
Completed,0.55,0,1,4100,5000,0.136,0.0
Completed,0.55,0,90,1083,3292,0.326,0.9
Completed,0.55,0,38,789,1578,0.888,0.0
Completed,0.55,0,4902,5000,3127,0.103,0.0
Completed,0.55,0,141,2940,977,0.965,0.0
Completed,0.55,0,5000,4127,1772,0.48,0.0
Completed,0.55,0,4432,50,4949,0.034,0.0
Completed,0.55,0,1,4753,1208,0.482,0.9
Completed,0.55,0,4992,1,2813,0.333,0.9
Completed,0.55,0,172,5000,4826,0.569,0.9
Completed,0.55,0,4371,152,4813,0.43,0.0
Completed,0.55,0,5000,1,5000,0.241,0.9
Completed,0.55,0,3944,4989,1732,0.042,0.9
Completed,0.55,0,140,3953,4425,0.856,0.0
Completed,0.55,0,1,1974,3101,0.778,0.0
Completed,0.55,0,1092,1155,999,0.351,0.0
Completed,0.55,0,57,4799,1138,0.31,0.0
Completed,0.55,0,87,2484,2213,0.031,0.0
Completed,0.55,0,3997,1589,4747,0.886,0.0
Completed,0.55,0,96,301,4115,0.963,0.0
Completed,0.55,0,866,1787,4801,0.899,0.9
Completed,0.55,0,789,78,4806,0.201,0.0
Completed,0.55,0,612,4413,4724,0.61,0.0
Completed,0.55,0,58,541,4584,0.643,0.9
Completed,0.55,0,140,4847,4177,0.279,0.0
Completed,0.55,0,303,3020,4463,0.914,0.0
Completed,0.54,210,1401,1,45,0.361,0.0
Completed,0.55,0,1165,4988,4852,0.367,0.9
Completed,0.55,0,570,4912,86,0.597,0.9
Completed,0.55,0,284,3617,4992,0.538,0.9
Completed,0.55,0,3927,4698,5000,0.721,0.0
Completed,0.55,0,4253,4066,4429,0.608,0.9
Completed,0.55,0,5000,2369,5000,0.64,0.9
Completed,0.55,0,4602,1522,610,0.03,0.9
Completed,0.55,0,104,2624,1079,0.345,0.0
Completed,0.55,0,1,2039,2302,0.753,0.9
Completed,0.55,0,29,1763,1223,0.029,0.9
Completed,0.55,0,233,583,3658,0.814,0.0
Completed,0.55,0,4741,2847,4991,0.711,0.9
Completed,0.55,0,633,4781,1351,0.329,0.9
Completed,0.55,1637,1,298,653,0.573,0.0
Completed,0.55,0,852,4906,4975,0.097,0.0
Completed,0.55,0,129,2023,30,0.39,0.9
Completed,0.57,59,114,82,56,0.638,0.9
Completed,0.55,0,1,865,1854,0.001,0.9
Completed,0.55,0,1,861,1856,0.999,0.9
Completed,0.55,0,5000,838,1867,0.001,0.9
Completed,0.55,0,1,856,1859,0.999,0.0
Completed,0.55,0,665,867,1850,0.001,0.0
Completed,0.55,0,5000,887,1846,0.999,0.9
Completed,0.55,0,1,547,1983,0.001,0.9
Completed,0.55,0,4782,859,1858,0.001,0.0
Completed,0.55,0,1,498,2001,0.999,0.9
Completed,0.55,0,1,1589,853,0.001,0.9
Completed,0.55,0,1,655,1931,0.001,0.0
Completed,0.55,0,5000,843,1868,0.999,0.0
Completed,0.55,0,5000,514,1994,0.001,0.9
Completed,0.55,0,1,500,2024,0.999,0.0
Completed,0.55,0,1,3425,2747,0.001,0.9
Completed,0.55,3,1,1,1,0.001,0.9
Completed,0.55,0,1,4601,2810,0.999,0.9
Completed,0.55,0,5000,3403,2785,0.001,0.9
Completed,0.55,0,1,1571,840,0.999,0.9
Completed,0.55,0,1,1,5000,0.999,0.9
Completed,0.55,0,1,3633,3956,0.999,0.9
Completed,0.55,0,1,3515,217,0.001,0.9
Completed,0.55,0,5000,4394,1034,0.001,0.9
Completed,0.55,0,1,1,4124,0.001,0.9
Completed,0.56,288,5000,1,1,0.999,0.9
Completed,0.55,0,1,1561,856,0.999,0.0
Completed,0.56,4,1,1,1,0.999,0.9
Completed,0.55,0,5000,1570,855,0.001,0.9
Completed,0.55,0,1,1593,840,0.001,0.0
Completed,0.55,0,1,1,5000,0.001,0.9
Completed,0.56,6,1,213,1,0.999,0.9
Completed,0.55,0,5000,1910,506,0.001,0.9
Completed,0.55,0,5000,157,2322,0.001,0.0
Completed,0.55,0,5000,193,2315,0.001,0.9
Completed,0.55,0,1,1071,1357,0.999,0.0
Completed,0.55,0,2219,67,2372,0.999,0.9
Completed,0.55,5,1,131,1,0.001,0.9
Completed,0.55,0,5000,1,4293,0.999,0.0
Completed,0.55,0,5000,2978,1921,0.001,0.0
Completed,0.55,0,5000,104,2349,0.999,0.0
Completed,0.55,0,5000,5000,3650,0.999,0.0
Completed,0.55,0,1,2387,3268,0.999,0.0
Completed,0.55,0,5000,911,2761,0.999,0.0
Completed,0.55,0,1,2962,1908,0.001,0.0
Completed,0.55,0,1,5000,2959,0.999,0.0
Completed,0.55,0,1,2126,3799,0.999,0.0
Completed,0.55,0,4492,3040,2069,0.999,0.9
Completed,0.55,0,5000,1880,490,0.999,0.0
Completed,0.55,0,3362,1,2397,0.001,0.0
Completed,0.55,0,5000,4476,2765,0.999,0.9
Completed,0.55,0,1,2942,2005,0.999,0.9
Completed,0.55,0,5000,4066,3236,0.001,0.0
Completed,0.55,0,5000,262,2283,0.999,0.0
Completed,0.55,0,5000,4759,2709,0.001,0.9
Completed,0.55,0,4055,4369,3789,0.001,0.0
Completed,0.55,0,1,4189,3805,0.001,0.0
Completed,0.55,0,1,4041,3330,0.999,0.0
Completed,0.55,0,5000,1878,470,0.001,0.0
Completed,0.55,0,1,1,2963,0.999,0.9
Completed,0.55,0,5000,3497,4067,0.001,0.0
Completed,0.55,0,1,901,1629,0.999,0.2
Completed,0.55,0,5000,1601,2317,0.001,0.01
Completed,0.55,0,5000,2069,1353,0.001,0.0
Completed,0.55,0,2069,876,1566,0.999,0.2
Completed,0.55,0,5000,1624,2293,0.999,0.0
Completed,0.55,0,5000,2156,1352,0.999,0.9
Completed,0.56,5,1,65,1,0.999,0.9
Completed,0.55,0,5000,3351,1116,0.999,0.0
Completed,0.55,0,5000,1562,2333,0.001,0.9
Completed,0.55,0,5000,1816,3834,0.001,0.0
Completed,0.55,18,1,808,1,0.999,0.5
Completed,0.55,0,5000,931,1588,0.999,0.9
Completed,0.55,0,5000,3336,1100,0.999,0.9
Completed,0.55,0,5000,1468,2401,0.001,0.0
Completed,0.55,0,1,823,1648,0.999,0.2
Completed,0.55,0,679,849,1561,0.001,0.3
Completed,0.55,0,5000,1277,2447,0.999,0.0
Completed,0.55,0,5000,1693,2417,0.001,0.9
Completed,0.55,0,5000,1734,2750,0.001,0.0
Completed,0.55,0,5000,2115,1348,0.001,0.001
Completed,0.55,20,1,809,1,0.999,0.9
Completed,0.55,0,5000,1635,2256,0.999,0.9
Completed,0.55,0,1,1908,1416,0.001,0.0
Completed,0.55,0,5000,2223,1324,0.999,0.0
Completed,0.55,0,5000,1234,4173,0.001,0.0
Completed,0.55,21,1,675,1,0.999,0.9
Completed,0.55,0,5000,923,1610,0.001,0.001
Completed,0.55,0,5000,1761,2396,0.001,0.0
Completed,0.55,24,1,802,1,0.999,0.2
Completed,0.55,0,5000,2841,1550,0.001,0.2
Completed,0.55,0,1,312,2197,0.999,0.9
Completed,0.55,0,1,2612,2912,0.999,0.9
Completed,0.55,0,5000,2121,3393,0.001,0.9
Completed,0.55,0,1,3435,812,0.001,0.3
Completed,0.55,0,5000,3199,187,0.001,0.0
Completed,0.55,0,1,1540,3014,0.001,0.0
Completed,0.55,0,5000,2102,4177,0.001,0.9
Completed,0.55,0,5000,3957,295,0.999,0.0
Completed,0.55,0,1,1722,3856,0.001,0.9
Completed,0.55,0,5000,3141,240,0.999,0.7
Completed,0.55,0,1,2503,2909,0.001,0.9
Completed,0.55,0,1,1359,4395,0.999,0.0
Completed,0.55,0,1,2210,4224,0.001,0.3
Completed,0.55,0,2852,3617,1915,0.999,0.001
Completed,0.55,0,1,3091,301,0.001,0.9
Completed,0.55,0,1,3393,766,0.999,0.9
Completed,0.55,0,1,3212,1,0.999,0.0
Completed,0.55,0,5000,2197,2175,0.001,0.01
Completed,0.55,0,1,3510,864,0.999,0.0
Completed,0.55,0,5000,2198,3446,0.999,0.001
Completed,0.55,0,1,3502,1252,0.001,0.2
Completed,0.55,0,1,1591,3018,0.001,0.9
Completed,0.55,0,1,3272,1,0.001,0.9
Completed,0.55,0,5000,506,3096,0.001,0.0
Completed,0.55,0,1,3292,3205,0.001,0.1
Completed,0.55,0,1,3137,1,0.001,0.0
Completed,0.55,0,5000,4057,404,0.001,0.01
Completed,0.55,0,2877,193,2205,0.999,0.9
Completed,0.55,0,1,3702,1872,0.001,0.9
Completed,0.55,0,5000,3150,182,0.001,0.1
Completed,0.55,0,4776,1702,1554,0.999,0.9
Completed,0.55,0,1,1742,533,0.999,0.9
Completed,0.55,0,1,1685,1536,0.999,0.9
Completed,0.55,0,1,636,2845,0.999,0.9
Completed,0.55,0,5000,445,2812,0.999,0.9
Completed,0.55,0,5000,396,4045,0.001,0.9
Completed,0.55,0,5000,672,2739,0.001,0.9
Completed,0.55,0,5000,380,4033,0.999,0.9
Completed,0.55,0,5000,1287,2995,0.999,0.9
Completed,0.55,0,2475,1690,1556,0.001,0.9
Completed,0.55,0,1,1710,524,0.001,0.9
Completed,0.55,0,1,4362,377,0.999,0.9
Completed,0.55,0,5000,4214,2241,0.999,0.9
Completed,0.55,0,5000,514,2108,0.999,0.9
Completed,0.55,0,5000,615,2746,0.999,0.9
Completed,0.55,0,5000,1392,3783,0.999,0.9
Completed,0.55,0,5000,1708,1563,0.999,0.0
Completed,0.55,0,5000,1115,5000,0.999,0.9
Completed,0.55,0,1,627,2015,0.999,0.9
Completed,0.55,0,1696,194,2846,0.999,0.9
Completed,0.55,0,1,512,3329,0.999,0.0
Completed,0.55,0,1,703,2907,0.999,0.0
Completed,0.55,0,5000,476,3806,0.999,0.0
Completed,0.55,0,5000,1697,1622,0.001,0.9
Completed,0.55,0,5000,1,2305,0.999,0.9
Completed,0.55,0,1,700,2839,0.001,0.9
Completed,0.55,0,1,594,2090,0.001,0.9
Completed,0.55,0,1,1854,506,0.999,0.9
Completed,0.55,0,1,2441,1847,0.999,0.9
Completed,0.55,0,5000,1584,3169,0.999,0.9
Completed,0.55,0,1,4444,123,0.999,0.9
Completed,0.55,0,1,1359,921,0.999,0.9
Completed,0.55,0,1,3989,239,0.999,0.9
Completed,0.55,0,1,4724,509,0.999,0.9
Completed,0.55,0,5000,4485,1,0.999,0.9
Completed,0.55,0,5000,2265,1737,0.999,0.9
Completed,0.55,0,1,4134,2489,0.999,0.9
Completed,0.55,0,1,4156,1405,0.999,0.9
Completed,0.55,0,5000,3394,1,0.999,0.9
Completed,0.55,0,1,4248,1970,0.999,0.9
Completed,0.55,0,1,2727,1,0.999,0.9
Completed,0.55,0,5000,2631,4676,0.999,0.9
Completed,0.55,0,1,3196,2347,0.999,0.9
Completed,0.55,0,5000,3779,1120,0.606,0.9
Completed,0.55,0,1,1716,2608,0.999,0.9
Completed,0.55,0,1,4258,663,0.999,0.9
Completed,0.55,0,1,3650,3452,0.001,0.9
Completed,0.55,0,5000,3370,4792,0.999,0.0
Completed,0.55,0,5000,3110,787,0.999,0.9
Completed,0.55,0,5000,2733,274,0.999,0.9
Completed,0.55,0,1,4104,2954,0.999,0.9
Completed,0.55,0,1,4712,390,0.001,0.9
Completed,0.55,0,1,3351,2086,0.999,0.9
Completed,0.55,0,1,3176,544,0.999,0.9
Completed,0.55,0,1,4101,2987,0.999,0.0
Completed,0.55,0,5000,3566,1453,0.999,0.9
Completed,0.55,0,5000,1892,4529,0.001,0.9
Completed,0.55,0,1,1409,815,0.229,0.9
Completed,0.55,0,1,3336,4769,0.309,0.0
Completed,0.55,0,1,2752,322,0.999,0.0
Completed,0.55,0,1,2562,3968,0.001,0.0
Completed,0.55,0,1,3349,4237,0.999,0.001
Completed,0.55,0,5000,4665,4549,0.001,0.8
Completed,0.55,0,5000,4155,5000,0.999,0.0
Completed,0.55,0,5000,4131,5000,0.001,0.6
Completed,0.55,0,5000,1415,4480,0.999,0.9
Completed,0.55,0,5000,2538,3108,0.999,0.9
Completed,0.55,0,5000,1622,5000,0.999,0.6
Completed,0.55,0,1,1705,4536,0.001,0.0
Completed,0.55,0,5000,3856,4156,0.001,0.001
Completed,0.55,0,1,3048,2834,0.999,0.0
Completed,0.55,0,5000,756,4722,0.001,0.0
Completed,0.55,0,5000,3321,3201,0.999,0.9
Completed,0.55,0,5000,4460,4354,0.831,0.0
Completed,0.55,0,5000,4551,1968,0.001,0.01
Completed,0.55,0,1,2522,3983,0.999,0.4
Completed,0.55,0,1,2089,3480,0.999,0.9
Completed,0.55,0,1,4779,4719,0.999,0.9
Completed,0.55,0,5000,3138,4253,0.001,0.0
Completed,0.55,0,5000,1097,4555,0.999,0.0
Completed,0.55,0,3614,2751,3414,0.001,0.0
Completed,0.55,0,5000,4128,5000,0.999,0.3
Completed,0.55,0,5000,4457,4392,0.001,0.3
Completed,0.55,0,1,1891,4410,0.999,0.0
Completed,0.55,0,5000,4722,4661,0.521,0.0
Completed,0.55,0,1,3360,4253,0.001,0.001
Completed,0.55,0,5000,4577,1969,0.001,0.9
Completed,0.55,0,1,3435,4291,0.001,0.9
Completed,0.55,0,1,4437,4122,0.999,0.0
